"","BR-Sa3","CA-Ca1","CA-Ca2","CA-Cbo","CA-Let","CA-LP1","CA-Na1","CA-NS1","CA-NS2","CA-NS3","CA-NS6","CA-NS7","CA-Qcu","CA-Qfo","CA-TP1","CA-TP2","CA-TP3","CA-TP4","CA-TPD","CR-Fsc","MX-EMg","MX-Lpa","US-ADR","US-AR1","US-AR2","US-ARM","US-Aud","US-Bar","US-Bi1","US-Bi2","US-Bkg","US-Bn1","US-Bn2","US-Bn3","US-Bo1","US-Bo2","US-Br1","US-Br3","US-BZB","US-BZo","US-CF1","US-CF2","US-CF3","US-CF4","US-Cop","US-CPk","US-CRT","US-Ctn","US-Dia","US-Elm","US-Esm","US-Fmf","US-FPe","US-FR2","US-FR3","US-Fuf","US-Fwf","US-GLE","US-HBK","US-Hn2","US-Ho1","US-HWB","US-IB1","US-IB2","US-Jo1","US-Jo2","US-KFS","US-KLS","US-Kon","US-KUT","US-Me2","US-Me3","US-Me5","US-Me6","US-Mo1","US-Mo3","US-MOz","US-MRf","US-MtB","US-NC1","US-NC2","US-NC3","US-NC4","US-NR3","US-Oho","US-ONA","US-Rls","US-Rms","US-Ro1","US-Ro4","US-Ro5","US-Ro6","US-Rpf","US-Rws","US-SCd","US-SCg","US-SCs","US-SCw","US-SdH","US-SFP","US-Slt","US-Snd","US-SO2","US-SO3","US-SO4","US-SRC","US-SRM","US-SRS","US-Syv","US-Ton","US-Tw3","US-UC1","US-UC2","US-UiB","US-UiC","US-UMB","US-UMd","US-Var","US-WBW","US-WCr","US-Wdn","US-Wlr","US-xAB","US-xBL","US-xCL","US-xDC","US-xDS","US-xGR","US-xJE","US-xJR","US-xKA","US-xKZ","US-xNG","US-xSE","US-xSR","US-xST","US-xTA","US-xTR","US-xUN"
"US-Aud",4653.05007844199,2950.89934193827,2926.07733733668,3188.58039442564,2749.84795882361,2565.83945100173,3456.88190692238,3707.95249795128,3407.0861202872,3239.98721369946,3498.8310748907,2969.73347458318,4082.95482679419,3247.86548610753,2332.2983057716,3217.42767740433,2902.07014108881,3035.9234567377,3032.18128478384,4964.09399784931,1869.34751080505,1784.45387526279,1476.38924279282,2188.932104417,1722.37077837952,2610.54181356357,0,3295.66154561705,3097.49905427077,3120.98024054829,3498.57102512955,2847.32897335962,3112.68739728062,2936.109685001,3059.36698583736,2319.48415295541,2999.68761097326,2951.25555635674,3115.20311308892,4905.79090007412,2517.60376532702,2494.65603862241,2701.59352815598,2614.87790156253,1399.48214384621,3946.80714262912,3952.85185353828,2069.96573395748,2278.90384260106,5398.10261941547,4355.70268544246,2592.23807703768,2334.95438208643,2101.96134378112,2683.03466513911,2854.52551886164,2033.49587798855,5234.18062940927,3533.22682038054,1873.69203007525,2734.0634909845,3189.29170068504,3329.55023864573,3721.55425379461,1267.08714567265,1295.28465749852,2800.67055986981,3094.41246360209,3226.91759318317,2941.53182001958,3314.16472529308,2226.33034551905,2414.03028865051,2258.4757096215,3004.95431549385,3056.3217638367,3177.8864696374,3869.12889391277,2962.53345192645,3342.13189937277,3399.30774067555,3170.95797139599,5625.23751296024,3644.20020066473,3394.53069197287,2901.44924746276,2382.43489390022,2787.17186369644,3141.11479141138,2984.05395069682,2988.76438261302,2887.59467753007,3244.26342404627,2149.78996076343,2270.60217756065,1928.34170486952,2175.56210155266,1837.75638984352,2671.05058242085,3036.07348160226,2503.67954726819,3483.27395124351,2053.77780377623,1979.58776138402,2049.22208577347,1221.64699466662,1373.96370070863,1487.81276967815,3927.05607628114,2238.11192168627,3157.58933241616,3139.98224262131,3490.49166961431,3069.5068317875,2839.72189541983,3000.29065837654,3135.01164902588,1966.69464853872,2583.10875364771,4290.50171542026,2379.03837056107,3008.69799125771,3088.73914334701,2580.36108698005,3211.62888674394,3089.24510855874,2849.59032830252,2997.2199067235,2896.16164641583,1032.22371149975,2420.82909267929,2716.95754361259,2366.34672571867,3371.87956309915,1494.51795256877,3546.19513680531,2780.85541909318,3265.56533391552,3595.79650011162
"US-Bar",3784.64033722785,2036.01561305191,2049.08982603798,1757.64106815877,1449.0571037326,2109.58658925666,2323.09933205603,2005.43053184668,2393.95681426637,2320.19052618916,2309.81781150254,2453.69681015961,2062.86997550773,2096.58785604052,1810.22405158432,2123.42405450545,1986.34101815961,2094.67848185558,1918.51609030635,4629.29920391501,3652.34627225194,4240.70347855026,3918.67145070944,2369.50532501686,2842.57737488193,2214.86270092212,3295.66154561705,0,2845.06697949866,2951.77037477948,1582.23692352157,2770.84262496083,2483.40091187941,2626.34586343743,1414.71245222728,2070.63028046739,1739.71590751376,1671.35033808826,2756.27514530194,3748.82004515626,2201.48664048325,2356.43688431868,2069.27850027461,2184.85818444348,3235.73360315357,3322.86019466289,2048.21918067354,2259.83364809861,3382.45821920486,5117.05479345579,4049.5636608973,2304.95489710119,2033.83497756977,2970.21405396372,3085.95264037974,2378.59066486176,1994.26751138104,3933.68894840569,1722.42386077604,3124.22011788742,1574.61703899174,1682.19137935424,1413.29868586693,1388.18407712274,3944.78516477273,3782.08614589326,1623.76734063195,1968.4826086135,1753.86849462329,2114.24430314857,2112.38195097088,2263.34461450833,2105.68576680496,2297.35613001832,1806.56522831319,1710.51857885637,1475.15191543068,1756.4364599717,3480.96624086493,2442.16900816609,2166.28236184956,1988.53106487198,3936.41328644197,3410.70232510459,1900.69814052783,3457.84517859826,2166.70664023059,2111.5572962056,1496.37331500746,1356.12985984926,1584.83126476947,1810.03015489974,2390.12242851851,2342.952498024,4857.32591757778,3187.54464120231,2866.74057725547,3918.16699458429,1924.06550943809,1693.21498906423,2127.77350628232,2424.40569222607,3611.07845813128,3799.56832780664,3787.93631789829,3941.23416566287,4018.43609659339,3696.32391864686,1759.85548245804,2865.47507536217,2911.87515849212,1650.05880675545,1613.32119846138,1623.34989120948,1867.12541985773,1855.26988180495,1936.97292002063,3383.9262909237,1799.95607442025,1609.58832295888,2348.24749187041,1781.24499668176,1583.61390046004,1746.6949276185,2230.06144640243,1667.50229674761,2678.51566868527,1931.27816598847,2612.94021002864,3639.47514640462,1860.41310359575,1716.39928243671,1869.16229209438,1717.71618609363,4267.60171503893,1128.04507633084,2685.42463552527,1460.15816917521,1484.36369349992
"US-Bi1",3175.32423344156,2113.73989453821,2369.71713528987,2904.00575613915,2837.37392170854,3170.72172608222,3346.54549190772,4124.70709212044,4071.32069011855,3834.33563548665,4064.73320922696,3639.92458151594,3786.421577141,3660.85233522663,2532.1158801642,2478.83395604154,2945.22104152238,3113.80229004857,3054.57001024852,4022.34137664846,3093.0339879633,4014.08424916922,3600.03725207336,2597.22043924945,2808.27204292751,2186.30039636589,3097.49905427077,2845.06697949866,0,2033.55058038692,2854.37348987303,3594.03747287786,3610.26320940187,3557.84177817306,2582.82409878091,2392.32583644404,2713.89780724467,2644.71794886448,3345.94260716161,4814.42887744205,2450.89173205173,2504.34953534301,2446.7265843394,2364.3499938518,3013.9165600423,4096.88176041143,3203.57595933997,2506.6100944251,2832.89704624782,5127.05050390783,4369.24825071182,3108.40770399684,2905.81001593244,2389.1248932744,2787.57217792872,3275.28141010725,2622.15252440298,5631.75324723042,2978.13147167271,2693.66991146702,2737.71240382733,2264.18204118872,2543.4079607617,2722.52774967726,3545.08559559693,3490.2229839578,2342.20760631124,2367.62998706586,2438.25221991952,2217.14732806937,2769.75579557821,2433.65046758124,2630.18462390863,2493.82258017493,2310.32709281933,2402.01515852828,2570.11124464007,2563.14863951971,3650.86233829947,1907.36512970595,1789.58723129944,1911.49828911019,4506.54181526117,4498.3553925921,2906.00996410712,2460.88877658546,2518.37943805379,2861.13761532835,2484.73399311126,2786.98828918258,2783.3847343952,2457.04059721418,3517.21805582769,2626.4818996081,4574.79942603209,2850.39859311619,2743.27175176433,3822.60199572412,2360.5887344592,2880.70551566752,2537.21271713019,2167.7833139494,3523.33772292983,3682.39140156833,3590.38096750579,3599.60321428454,3792.53513367224,3478.66443797592,3554.4691448819,2187.59717781584,946.249828078116,2224.53992046587,2480.09103707423,2273.73178997288,2359.37249395965,3055.34497321891,3217.71787723535,2230.13279985322,2079.26820796807,3782.12888404335,2698.80865793356,2411.54739604099,2182.47119807668,1728.67883374103,2448.64307954424,2815.62406245541,2375.40736476843,2068.37312873374,2141.37673766325,3221.17818729524,2190.46756615043,2371.89067019455,2494.01173882964,2445.04065433145,3890.12532404744,2951.12260841431,2075.05690587077,2972.74526906955,3197.93798821119
"US-Bi2",3937.08438265614,2925.23783774251,2921.48352801845,3405.24984318381,3009.67548595043,3530.72416517008,3960.10210030841,4209.47429814865,4323.31522637814,4095.50280299674,4236.90546635262,3869.1323234333,3811.03223831656,3978.77423927702,3180.67773082842,3415.3685273278,3572.05955537997,3592.67959154014,3418.48084864833,4774.98159826321,3290.62595897684,3903.41584859038,3564.93574109143,2720.46131493393,2936.22261581656,2547.95358360948,3120.98024054829,2951.77037477948,2033.55058038692,0,3281.07559987866,4007.22916084372,3972.24549922573,4032.46096094641,2512.17409554106,2519.12924894335,2726.84315120415,2715.75186690989,4103.40587416949,5337.16110084156,2682.2141104468,2836.60501286871,2843.14328071162,2682.46764676132,3237.22992013834,4608.37062871241,3044.68462997453,2805.89376865012,2949.11623819736,4951.59710692211,4253.05264264804,3207.1185182058,3096.50653262767,2885.1713614714,3092.02870848958,3368.34681881621,2704.32451532456,5630.32492260996,3503.06722475081,3093.24661923483,3323.74919657088,2918.89993146026,2571.95011253571,2959.10476490389,3567.97553264114,3496.98846485429,2476.40829256359,2709.63071041607,2570.77043647368,3098.80385284134,3143.7082266337,2818.48428286505,2946.68389620134,2834.11698074136,2537.04363549387,2435.81795694588,2713.98394146548,3080.87671060232,4016.38566734204,2717.22502961193,2579.82433023322,2483.80824282583,4515.42672255863,4704.95903987293,3396.54495008262,3404.89096105257,2881.94423498466,3110.09612135222,2597.39417807953,2952.13854662438,3009.35585768095,3119.05473554522,3920.99549469113,2885.68001708236,4446.43754121514,3063.58825834813,3004.24493145758,3653.67961574918,2893.84829237888,2850.17063095627,3042.40675426562,2405.50452967644,3558.45330145305,3638.90372771298,3603.71138973698,3605.80994195087,3672.01661137063,3621.5841127962,3786.38393552882,2367.7819977426,1931.46099314104,2572.23993187065,2580.98223439282,2681.89888198308,2506.98130710111,3455.89379242009,3614.34160031563,2672.03094939757,2655.51501829189,3852.87029747651,3298.27893702412,2353.09420876468,2785.69119152258,2466.86421115085,2818.41070248762,3125.80661719095,2896.29482919169,2599.06687165339,2836.42891397378,3311.36409616983,2591.86945296663,2683.05738099434,2911.58614751395,2826.73435154318,3844.13891345628,3216.08631673815,2828.4625983536,3387.771529328,3483.70041336859
"US-Bkg",3686.65500150745,2290.19902863146,2173.16960789099,2277.0859503699,1429.91230408176,2179.40289847894,2553.78985321916,1952.21265401007,2553.96277924062,2480.22414558026,2051.2553133273,2429.26500100257,1505.11679397681,2298.95023954892,1907.70467531496,2346.70615196861,2484.92546004746,2637.3831617706,2587.75362428574,4692.4692606226,3867.62526208965,4440.08281316644,4052.12805376217,2251.56571630322,2733.14684845415,1789.94509069975,3498.57102512955,1582.23692352157,2854.37348987303,3281.07559987866,0,2625.93612091506,2395.20690806929,2457.28163297968,1314.27745053377,2291.69535673465,1445.71063833364,1334.3237091495,2524.24674655654,3173.52969037225,2200.29463820094,2360.41146920821,2046.63715821715,2107.92067421287,3312.74984672958,3624.9003392285,1721.09523800264,1989.95363766194,3434.60305152034,4568.50000737278,3711.815859015,2705.68503374512,1739.00911053573,3115.25874442113,3280.26296847401,2778.65477718192,1990.64666013091,4176.46760815383,2318.80542631614,3071.17557623385,2216.26302511403,1550.67556898047,1314.02111488697,1183.2120917351,4123.41609543273,3961.13729963632,1591.94018423213,1520.6258071178,1778.11683683877,1751.91626821402,2567.76037028756,2333.57940321196,2300.87797005253,2551.59112349303,1546.97551318086,1593.45814275288,1828.31090741699,2308.84731050462,3753.98384175504,2623.04623143703,2385.67584021435,1987.57798380183,3982.96892643537,3386.19989909378,2275.74283238587,3376.06412435987,2141.81968323337,2105.98821247156,1407.95719901533,1293.4267357316,1488.55297320086,1519.10592240729,2069.99066025823,2321.99318533366,5048.20727964647,3353.84344142577,3110.23166358242,4243.33541513904,1520.23777903641,1463.94273147078,2613.5180078724,2166.54053899506,3858.58237475026,3974.32432153438,4018.75741577455,4109.43752601732,4125.06725879797,3887.37205600826,2138.21726358604,3022.55523653322,2843.59054805474,1705.59971967628,1581.18651853194,1662.06246493958,1790.30468533274,2438.47414527331,2572.79688116756,3372.05239355426,2044.98108816834,1899.03768459109,2068.5836680076,1657.27324634022,1715.36524634595,1941.9550899886,2456.62851060531,1308.08380203675,2706.50603901151,2117.04502983935,2715.55126716134,3798.65239150079,1769.92261206512,1691.37829320878,1647.66736501598,2144.30733991728,4492.92317442043,1487.56001678729,2724.78633891309,1899.97005931184,1940.00266427319
"US-Bn1",5511.31543526248,2159.37988407833,2323.13611052314,2261.15851666814,2051.33264512565,1072.99986956344,1897.55033004213,2168.12595274601,1465.88110072337,1330.54046490992,1599.74102756891,1200.3682538186,2445.86171345778,1463.98314668855,1631.45454798651,2402.93528858744,2093.03147448799,2330.87281021339,2383.19998806412,6156.17356970497,3095.24513214402,3523.2075691931,2956.2959962862,2740.91298187628,2177.79001915039,3253.4294315421,2847.32897335962,2770.84262496083,3594.03747287786,4007.22916084372,2625.93612091506,0,1054.82059679983,971.708817693615,2825.15525748377,2408.21238983213,2592.20092869643,2589.00327336265,1531.3980695942,3237.98778503319,2259.92410791981,2225.39134627326,2464.37257862796,2410.11162065391,2636.7655761459,2980.7652559208,3573.89333182676,1967.00681670381,3310.49046214418,6427.35615549753,5473.65687653484,3273.12083858574,1670.30473595662,3180.88425891936,3878.42892029703,3389.42753818774,2381.87811838718,4215.00704766314,2482.24807845923,2088.58072720858,1835.85956560995,2983.9617168509,2961.60672931218,3188.18186494611,3089.32527188607,3056.13764033161,3095.26621668757,3473.3655353023,3503.8246002188,2274.66838480892,2766.6216306812,1949.54224471351,1924.08814251953,2055.08576149171,3177.18261545332,3212.74167671696,3465.0213613838,3183.60908320501,3198.12709036598,3945.27140158551,3883.58047440204,3682.56680102171,6060.0111058542,2131.99012298439,2953.25365102837,3813.10302183211,2292.63228182822,1765.32844143223,2544.84292000555,2408.37924627926,2309.56446654904,2139.01222701535,1276.51207410486,2208.02466837493,4123.36797677697,2852.57034539468,3062.41213869052,3503.74607254603,2271.88966742051,2299.06014944833,2487.57251486743,4018.55612806004,2945.90948557943,3045.78344351491,3106.41321799744,3385.16936757054,3399.37514347477,3576.72740063647,2606.7902786616,3251.37830019705,3864.36359972517,2900.60594672029,3171.70131321258,2976.58798936629,2778.84659480083,1941.51053848606,2038.3219749035,3173.68443711872,3043.26751228992,3074.26351677137,1714.98557618788,3361.44408964093,2621.30308626574,3014.00424278018,4206.19745015602,1973.96917487138,4038.33443444633,3315.77178617579,3829.45214254828,3185.03655088055,2847.76391378291,3010.97253388609,1620.98568954515,3644.07915100753,3573.20390255179,2513.29420873177,3406.52368232861,2178.1149777567,2422.68073264548
"US-Bn2",5264.04416952724,2240.32241150562,2236.0404648063,2116.25961672076,1774.55708571791,1295.24273381555,1826.19623355359,1962.67029377686,1526.54718817976,1461.17319769446,1575.4036204505,1315.67320503013,2226.6589437988,1430.37666481992,1725.90669322354,2346.56745941604,2119.96908397634,2296.07008805747,2238.72264626132,5920.26686810636,3590.8856295506,4021.55002736285,3410.27562674535,2587.15743256251,2318.22345068147,3066.25306067089,3112.68739728062,2483.40091187941,3610.26320940187,3972.24549922573,2395.20690806929,1054.82059679983,0,752.161534769323,2553.20720954136,2219.39949609675,2351.38889221365,2305.65439980566,1628.25819675642,3128.10256601442,2191.66370659253,2091.90767102348,2253.30151296362,2222.47735687586,2720.1082458601,2815.6389470403,3278.59413962003,1830.62674684463,3372.95491419496,6229.20433099691,5340.88450262321,3029.81527974433,1584.4685883195,3260.91619170008,3722.75362206344,3152.39164808825,2277.05657904131,3853.33932108398,2301.42144517398,2487.44111886515,1870.66137961065,2750.09561252768,2704.2630849064,2901.21788005987,3613.68234106747,3421.21814191853,2783.69116917796,3229.40274831523,3149.73624838146,2098.44601737725,2650.49472925191,2211.7455584715,2032.67012264061,2342.07184836462,2942.00256497214,2951.76360713395,3133.43975380474,3018.398710212,3394.96116966658,3757.28588248218,3653.30918513575,3481.38699854979,5718.94301584561,1985.06876583957,2623.56416380093,3954.30206665619,2198.67193229845,1772.30687120599,2286.34500837196,2128.02156945602,1962.39291984838,1906.39786964766,1125.47364427627,2120.32333396948,4561.88834403766,3175.33363458664,3237.50750119041,3856.16221446772,2025.31897452746,1979.11551422482,2558.77701114355,3846.308182322,3461.23455437294,3510.67783547901,3624.31924264264,3610.26033707435,3790.96829076329,3686.44175890429,2234.75979401728,3318.87047866098,3737.54125587593,2689.8989452595,2923.06080951175,2589.59845355546,2518.66278848047,1951.20575470363,2037.21255272048,3310.32412948899,2812.09131962994,2663.69509701962,1658.28380524773,3099.16125208217,2587.90044135772,2849.30644843121,3885.31215027611,1721.21838815255,3981.83980758773,3099.88359574493,3677.92403365274,3315.62583663827,2653.52079768523,2749.90460830603,1609.86366928657,3298.39778459079,4105.71291222939,2223.69444795416,3265.13407466413,1921.24501799828,2099.01836142175
"US-Bn3",5304.00754795352,2253.13301435628,2115.64292299923,2379.48606160595,1800.97215479663,1352.77607436306,2144.77056753072,2138.04546791901,1684.25993875593,1603.18574356407,1695.30034975525,1347.92080317417,2111.79615583087,1608.52564086297,1749.76882134835,2512.53972155476,2358.60716791968,2560.34283974385,2517.63262349216,6069.13909583655,3469.95648921025,3872.02818969537,3149.87380440526,2580.76988024538,2232.7770446641,3059.39174910952,2936.109685001,2626.34586343743,3557.84177817306,4032.46096094641,2457.28163297968,971.708817693615,752.161534769323,0,2646.20200095872,2186.9042989687,2354.05093023936,2282.04803363046,1449.88681211372,2996.04188028867,2275.20022311164,2130.26976808067,2240.30616744668,2223.37733294607,2378.64539257128,3152.45203392168,3240.85362008729,1812.89289620287,3214.04979770235,6090.71628859424,5301.18911686148,3182.3943202958,1516.09667717257,3373.80492613609,3888.03534622289,3263.59020321269,2230.84991870206,4193.06170071617,2543.97042081848,2221.90765969867,2102.0769046348,2672.88340283721,2714.58297932452,2981.73097738338,3404.43086635312,3225.14524123359,2837.75861135652,3151.78532947075,3359.78057334795,1998.21027606996,2878.6462844618,2147.20712941646,2095.73158910556,2355.10330089765,2922.11005743966,2920.02304277976,3312.37157071907,3164.46035786463,3609.52240754225,3839.81816585637,3821.1893736759,3558.25787122567,5963.49964601759,2114.2178437499,2917.20654020381,3943.28278980915,2214.77165646386,1835.19873527519,2250.57366238406,2176.87390358144,1912.23364273747,1802.45444561768,1057.21949586949,2002.9636170759,4429.40626364024,2901.92140410045,3067.79733209303,3604.76671355711,2156.72650811933,2012.80363991338,2818.86695884483,3960.83853818315,3404.47615980309,3388.42067686752,3536.45345875606,3362.05541492176,3704.02321651959,3616.47458064215,2562.20813241531,3359.52744662529,3803.69754512109,2613.61410599543,2873.24880823766,2725.54053737301,2566.44110437231,2221.78687605947,2341.62134985302,3104.61064862361,2980.09460339225,3004.19708768949,1505.67943080025,3217.21154242871,2556.3019554054,2891.78122082282,4102.99291881526,1798.40476867116,3969.46575129656,3213.62122301973,3795.90460200764,3019.17781403131,2681.19966102367,2900.108538854,1599.57333025398,3545.83663694892,3894.50874340502,2465.92464016212,3431.68551496607,2178.53965082019,2392.48504161897
"US-Bo1",3457.37346724575,2179.88830083946,2049.76519998975,2255.02690594515,1416.14881537186,2319.54786502966,2742.20239692444,2419.24556585797,2771.10852291372,2680.64916508038,2365.19092897941,2574.54525153012,2059.05209175063,2453.65923356227,1812.74391450666,2199.24502228457,2377.9780421124,2536.98653174075,2282.82854806006,4392.89932491026,3528.11171206953,4019.65205842442,3624.04163167343,1918.23511899864,2360.86178007324,1646.67976127326,3059.36698583736,1414.71245222728,2582.82409878091,2512.17409554106,1314.27745053377,2825.15525748377,2553.20720954136,2646.20200095872,0,1309.85574769576,1000.45578399582,984.692150168327,2731.66109459825,3717.51628004629,1873.43936165654,2033.39948628453,1844.87682509693,1820.5789269628,2951.42908691372,3691.8331697879,1614.17578041316,1921.34908277051,3131.52666564129,4590.8214415322,3702.96873878893,2522.5436866235,1864.51765689322,2741.53085769328,2948.17485745483,2638.97388934017,1916.08271476033,4319.13929843008,2212.44862779358,2733.58591739171,2188.72548149053,1307.27293244628,885.137948929908,1252.29805896206,3773.86610289266,3620.89812220878,1290.23702349919,1638.30138790862,1470.95474689347,2018.92478593116,2476.22469572507,2298.00198062538,2253.57237665912,2517.15225845442,1138.15681367896,959.627273013233,1497.59218849352,2014.74880428339,3599.60803476482,2247.04587879138,1988.08758476017,1645.40146212434,4029.13624957281,3516.03621713733,1898.21492248615,3049.58991578716,2062.18579125738,2140.33188587309,1113.07634819187,1095.49627803334,1262.04302084513,1637.8493342052,2351.55353155991,2112.72451178489,4630.85161044199,2952.70357784461,2772.1042850992,3849.08956166483,1634.45014975407,1142.59721994123,2203.66388232221,2271.4372730782,3487.74290827362,3553.10423748837,3622.83160420438,3716.66457147275,3776.01179113045,3524.48802458686,2183.20345466279,2734.83166049878,2634.06943675585,1122.75324266008,1228.17477634846,1076.72018175161,1117.39737557148,2294.00394924518,2482.2988163707,3046.6654565474,1553.5083951671,1940.27245614624,2290.00427711931,1467.46094423082,1564.57940577739,1573.34686871793,2114.91452209172,1516.1879075696,2354.51146188264,1739.95686950387,2318.21728676391,3398.34511646887,1470.40765098954,1374.06670147599,1739.3939114687,1723.14211323369,4107.89877307566,1382.07256313429,2339.03246170815,1829.45030623855,1852.07229554017
"US-Bo2",4035.41439618554,1962.87582544131,2134.23902188684,1950.9971229115,1785.49325149002,1933.41760208181,2446.31775258906,2777.43066458584,2634.95838085865,2468.99575511998,2599.85535060154,2233.66462154129,3014.78327152429,2288.15653644615,1442.53627818687,1913.37099458837,2039.69620893025,2156.38957666141,1899.41031337393,4598.40876836587,2791.26203995153,3291.61191620342,2875.6812730649,1812.56594321342,1821.37514509946,2115.74977795212,2319.48415295541,2070.63028046739,2392.32583644404,2519.12924894335,2291.69535673465,2408.21238983213,2219.39949609675,2186.9042989687,1309.85574769576,0,1409.23036507936,1451.34549673469,2461.67068255689,4075.63945151202,1623.86271445528,1612.62731134567,1774.66786875733,1575.79910244968,2209.23690304756,3296.89219184583,2487.08785798246,1557.68718757182,2717.98777481181,5234.60625391483,4348.7609565132,2543.03579015294,1751.34457278828,2169.08724360502,2768.5348342817,2708.63769547574,1830.14848779648,4439.03843195926,2084.32258599263,2091.71293164752,1794.65799599882,1886.38429350503,1693.94999461843,2117.3622658509,2970.50294258937,2792.06553561847,1827.75645874349,2320.09469481704,2093.76868659519,1866.1409743193,2448.24366798069,1868.22703820625,1841.16994635712,1995.89652806967,1861.10415198807,1657.7714606339,2182.49774718901,2604.7033574593,3103.76154834988,2506.41927276415,2403.70180842527,2269.30923377176,4793.64726766724,3152.22317546146,1876.74870483703,2728.17732770777,1917.63685503168,1897.09961539087,1704.97334420575,1561.66191944228,1610.71362236407,1689.71855353479,2229.01541760337,1861.07422964489,3872.89655789708,2346.04733688199,2368.09880853545,3083.4506764806,1596.32540823103,1512.79395021138,1816.13757886666,2868.99837558569,2803.67814320193,2868.68776399467,2889.2638390841,2889.46594229679,3007.97801745968,2737.14531503443,2580.01057235942,2447.91110710444,2569.57439034309,1725.86587247755,2002.94044604912,1459.04433193228,1198.07738482798,1944.37867727126,2133.14240090374,2520.29302752987,1665.71422037408,2872.16048143107,1896.26101621387,2107.9960640814,2059.37886773041,1695.42251270944,2686.7546697882,1824.57681143316,2719.99622548182,1879.00604849023,2316.90313985525,2603.95876498939,1600.37454091843,1738.94512987022,1473.33064048636,2287.37114133354,3312.39327447275,2083.47367757292,2023.23652676759,1870.90732735818,2222.35639615781
"US-Br1",3840.92217185755,2097.47986523765,2044.79940971587,2192.64544256912,1546.23235545421,2180.31647494307,2591.08310865736,2349.6578329042,2646.91765010694,2523.90378777329,2093.43217926752,2270.87416770342,2214.78248518444,2411.83365241538,1747.65447771087,2103.35049888281,2347.27260940667,2509.12444281409,2341.11185008878,4504.07980516123,3448.50988400013,4051.93020080442,3508.24390106418,2168.3416251241,2451.36901286623,1966.59926257071,2999.68761097326,1739.71590751376,2713.89780724467,2726.84315120415,1445.71063833364,2592.20092869643,2351.38889221365,2354.05093023936,1000.45578399582,1409.23036507936,0,340.452148084454,2180.22897672506,3279.00478518585,2089.95142262256,2053.25522239749,2050.87975588734,1863.33087631332,2781.83951121349,3620.30829392085,1840.70109946013,1778.72822708882,3371.70323912969,4947.74825520576,4151.42386543196,2761.18626839596,1603.20439122757,2856.99336627829,3268.35415779721,2953.04018487607,2046.78291926245,4409.33553070985,2265.17006402968,2509.46651248619,2059.12973653494,1419.4073600568,934.753795927999,1586.54924527648,3664.74260501591,3582.72010751246,1718.37794362196,1850.38379262828,1848.79816785313,1522.94369330504,2831.50511026649,2221.09650798949,2290.70119046311,2360.80996167605,1525.30688337944,1231.31810423069,2046.95308391713,2451.04786849783,3741.24428163996,2539.27656478709,2397.43782673977,2008.14884366153,4544.33606974706,3411.46868453477,2000.35369651934,2906.36745832323,2286.58076520378,2038.08880087851,892.105454384349,864.129154813705,843.826401608745,1197.55952477007,1911.55275480461,2249.6792118256,4551.7107519477,2907.70185925445,2976.07766745122,3907.02809257824,1653.31910478578,872.680309521269,2306.45520788287,2560.96940659226,3482.53116023808,3583.27213173118,3576.99539092059,3639.13561164596,3783.27668833696,3550.36844108346,2386.17892862702,3078.13477024504,2825.16689483951,1291.95930808469,1373.68388030042,1334.3129076174,1005.44747474094,2221.12610786549,2411.30282543271,3111.79430550384,1996.96486613271,2323.90940752788,1882.97442031452,1893.50698617511,1780.93197796741,1851.60207920561,2546.44445618965,1565.96139966297,2613.45966924545,1948.66889929685,2609.33757967704,3298.14595814366,1591.552116782,1671.48215632231,1625.26563676059,2245.23269562518,4002.12105333532,1658.50165200253,2603.23637075883,1870.26291597693,2074.80257407025
