"","BR-Sa3","CA-Ca1","CA-Ca2","CA-Cbo","CA-Let","CA-LP1","CA-Na1","CA-NS1","CA-NS2","CA-NS3","CA-NS6","CA-NS7","CA-Qcu","CA-Qfo","CA-TP1","CA-TP2","CA-TP3","CA-TP4","CA-TPD","CR-Fsc","MX-EMg","MX-Lpa","US-ADR","US-AR1","US-AR2","US-ARM","US-Aud","US-Bar","US-Bi1","US-Bi2","US-Bkg","US-Bn1","US-Bn2","US-Bn3","US-Bo1","US-Bo2","US-Br1","US-Br3","US-BZB","US-BZo","US-CF1","US-CF2","US-CF3","US-CF4","US-Cop","US-CPk","US-CRT","US-Ctn","US-Dia","US-Elm","US-Esm","US-Fmf","US-FPe","US-FR2","US-FR3","US-Fuf","US-Fwf","US-GLE","US-HBK","US-Hn2","US-Ho1","US-HWB","US-IB1","US-IB2","US-Jo1","US-Jo2","US-KFS","US-KLS","US-Kon","US-KUT","US-Me2","US-Me3","US-Me5","US-Me6","US-Mo1","US-Mo3","US-MOz","US-MRf","US-MtB","US-NC1","US-NC2","US-NC3","US-NC4","US-NR3","US-Oho","US-ONA","US-Rls","US-Rms","US-Ro1","US-Ro4","US-Ro5","US-Ro6","US-Rpf","US-Rws","US-SCd","US-SCg","US-SCs","US-SCw","US-SdH","US-SFP","US-Slt","US-Snd","US-SO2","US-SO3","US-SO4","US-SRC","US-SRM","US-SRS","US-Syv","US-Ton","US-Tw3","US-UC1","US-UC2","US-UiB","US-UiC","US-UMB","US-UMd","US-Var","US-WBW","US-WCr","US-Wdn","US-Wlr","US-xAB","US-xBL","US-xCL","US-xDC","US-xDS","US-xGR","US-xJE","US-xJR","US-xKA","US-xKZ","US-xNG","US-xSE","US-xSR","US-xST","US-xTA","US-xTR","US-xUN"
"BR-Sa3",0,4156.28311598517,4353.9879250416,4577.21328772298,4059.7107293679,4945.65239094063,4984.84892372277,4854.7248268377,5439.68413372357,5359.63379273265,5077.73416511901,5286.93314524245,4554.43592870512,5048.3127894946,4269.01301176366,4214.50311200281,4604.47639043899,4758.11917498606,4614.91716107483,2449.39317275981,4355.40172715617,4586.53902619511,5244.25230509054,3919.3503076899,4448.73470750175,3089.04597864567,4653.05007844199,3784.64033722785,3175.32423344156,3937.08438265614,3686.65500150745,5511.31543526248,5264.04416952724,5304.00754795352,3457.37346724575,4035.41439618554,3840.92217185755,3711.54143563547,5319.52029515214,6153.09101390744,4300.97133213226,4353.87891678763,4126.11501899539,4306.56751653493,4866.29813173752,5746.65318686902,3924.56624032315,4405.30299151402,4691.92003683066,4530.53975815112,3699.01139261166,4119.32659124866,4621.1175306036,3368.41745894988,3248.5986436241,4140.36347607478,4301.4734338554,6632.3916248833,4568.73993518896,4972.27340749453,4491.46070698511,3319.20584765658,3448.97231994245,3366.85910947998,5023.42781552149,4767.42116749348,3116.40835637039,3032.72160172958,3156.87364576456,4042.62501661837,4483.16820085625,4650.47865908554,4663.38002604351,4734.93734146966,3058.84980121321,3279.28517972462,3030.63413138714,3529.35615477202,4975.32264185029,2843.8509841223,2486.39877362323,2549.07021467626,4572.53470121814,6034.15023937023,4197.18449704837,2689.23984459622,4427.80638357632,4675.587696333,3783.6952234781,3844.44427591402,4020.23383439375,4042.55147958306,5160.56860872019,4507.51976476907,5502.98394881841,4180.99930201322,3898.69331648779,4984.51358948861,3817.51334450338,4056.3583001899,4144.57817159769,3201.94766162238,4914.36515582044,5088.82090928674,4991.14406988835,4803.31499142328,4898.35142453396,4438.79332004967,4664.00260759926,3737.31433415475,3100.20180947355,3553.04568059651,3448.83768389039,3359.93103077792,3579.25231432522,4767.50823591507,4940.58449900906,4269.52189162138,3333.88454272611,4434.77255235076,4696.84715009782,3261.49660169778,3529.40024088691,3231.35931305914,2698.54884983421,4206.54859872799,2448.08996024808,3329.24869441683,2554.45706547022,4756.04427042815,3399.4453534984,3369.00082157653,4383.28129017336,3110.99797498705,4971.39067912682,3892.71242197771,2976.64612775292,4307.281278667,4389.67111877373
"CA-Ca1",4156.28311598517,0,1386.44269784235,1986.1268443442,1809.51579677005,1664.19921994072,2134.34649991081,2704.98708040495,2462.30830452359,2279.29257837393,2589.27023711016,2193.98137563608,2652.18737730763,2111.02738056776,1317.99137569473,1946.64845325352,1827.80796371097,2039.7549155354,2078.05289206603,4872.46526693928,2928.83692191145,3871.98620352659,3310.22237762322,2250.05907927038,2359.64773227563,2315.40294271118,2950.89934193827,2036.01561305191,2113.73989453821,2925.23783774251,2290.19902863146,2159.37988407833,2240.32241150562,2253.13301435628,2179.88830083946,1962.87582544131,2097.47986523765,2062.26466868796,2333.83636302003,3877.7624686541,1825.69022211916,1885.88944831423,1803.93068934839,1760.98720225226,2652.4028797246,3217.85517461725,2890.99721695282,1889.43328529412,2746.57379957146,5768.50636741839,4788.72776094546,2648.51367237403,1838.26020963777,2520.78599971425,3020.1128727532,2807.96507960714,1977.93598691864,4347.33207191132,1993.89567775449,2228.83138944638,1695.72021960619,1977.06476967738,2200.74759027708,2458.85970669969,3385.89830473469,3225.28572188764,2296.28378709957,2499.21655719628,2628.85874582682,1779.55651673749,1866.30011303408,1550.40422228876,1584.3601938906,1711.44426302745,2323.42355145467,2366.15849145051,2595.18405072121,1671.09299421037,3108.16888922646,2486.37624668401,2407.8154703673,2450.43151885506,4974.80383554179,3061.64632121927,2431.23844690012,3050.7228309526,1739.48777190151,1765.29385675211,1937.26907746966,1965.93886680668,1978.7132094464,1768.90684849451,2097.8846937287,1819.93594354453,4365.10914256267,2408.46813920589,2273.58596170914,3593.34007529429,1969.57521711607,2160.05269974012,2250.75902503925,2757.76977194031,3230.8720092306,3419.9711088405,3343.81022195966,3438.3657023048,3726.51067865533,3406.17902427728,2429.96993971808,2395.54274505587,2357.24557430777,1918.46470732427,2144.43710703544,2266.67094640494,2176.27907259618,2172.98796224903,2211.12234706964,2364.13708360382,2080.26333520645,2862.91345588439,1875.40129857828,2516.28000248174,1308.87251188301,1799.72069169982,3062.66751689454,1901.39833945659,2959.63794495434,2071.75811936317,2639.81388269794,3099.98285728362,1978.79801249377,2249.38411396303,1626.46693484486,2551.35221129186,3804.9403576686,2243.69795364786,2285.62144234572,2009.07186304112,2278.63292463669
"CA-Ca2",4353.9879250416,1386.44269784235,0,2515.49907898304,1539.10746505529,1924.03140902803,2842.23178319549,2797.88855833917,2671.29465448565,2480.48835439343,2568.28920428606,2232.85896792603,2327.47616402602,2323.60739553602,1664.40016512684,2605.62501688478,2601.83424364014,2776.79923509384,2643.33190588616,5471.37714887465,3211.18241632312,3981.07288985431,3195.77896884376,2287.83185917252,2514.79072679096,2404.15240756133,2926.07733733668,2049.08982603798,2369.71713528987,2921.48352801845,2173.16960789099,2323.13611052314,2236.0404648063,2115.64292299923,2049.76519998975,2134.23902188684,2044.79940971587,1962.94258646417,1685.05854760542,3022.52001283409,1868.48900482729,1916.53832510682,1723.46783856046,1718.21197627687,2400.97039468728,4060.57456573848,2667.22397758954,1965.86482577199,2702.39366317614,5460.01648735203,4522.71444620905,2919.59296521827,1795.1719450602,3081.21676612288,3493.74971468176,2977.96958172224,2012.27119350444,4718.98129241028,2634.33014109546,1931.49059953075,2368.57845667662,1842.54864602738,1911.90619132574,2422.32972636257,3378.9283566101,3340.35562117304,2273.19719562834,2479.50652712859,2778.50320293514,1811.45802083272,2492.31794756867,1721.2598965628,1975.25776660165,1956.12039748584,2257.86906381496,2145.7819864628,2777.35960866625,2271.45866905141,3902.91286378716,2818.30375742249,2920.05470476471,2450.57897681721,5364.05399598752,3348.83282004118,2885.86087263796,3384.2968923553,1896.85138918564,2106.41984065513,1618.65795027433,1816.65107838369,1744.40701308055,1556.9932290823,1951.4286282088,1918.18318115093,4527.37081965446,2546.73063558791,2552.51826830233,3759.37020838261,2164.95186302949,2094.85691641448,2794.46326062134,2809.87193569111,3488.05240618548,3626.5363528203,3558.55117308522,3470.89908975942,3967.3208699978,3704.48087890953,2648.27034511465,2464.54064771346,2590.28865715004,1599.75546949118,1823.81612200018,2376.90382498751,2289.71902397498,2646.24504537101,2738.00353913635,1985.23382824706,2389.48190615026,2938.3933170605,1806.52517264715,2517.62414699346,1360.09283894733,1873.0470028705,3325.92258340361,1793.22075880345,2828.76344291592,2418.43278919001,3109.03173371893,2925.93571610085,2071.37567649894,2355.41854735748,1704.240095543,2907.09936194439,3782.35871101011,2282.8610161985,3027.22932785874,2301.06919298524,2482.82913845782
"CA-Cbo",4577.21328772298,1986.1268443442,2515.49907898304,0,2224.51267491383,1574.25881020147,1237.58893495814,1998.89328486678,1884.9795109612,1916.83503744946,2396.02689207415,2169.47244808791,3106.11829769324,1447.60026779939,1484.48013926695,1403.8811891457,914.724188855283,848.130634437374,802.508124368754,4929.52625411819,3554.53514395751,3851.86999751338,3806.07120922943,2477.10235457383,2456.25520072958,2935.73763586134,3188.58039442564,1757.64106815877,2904.00575613915,3405.24984318381,2277.0859503699,2261.15851666814,2116.25961672076,2379.48606160595,2255.02690594515,1950.9971229115,2192.64544256912,2204.17611763355,2882.52797485102,4497.17381975455,2130.96191463567,2219.39324670382,2358.55276183729,2223.54679656755,3141.62542856831,2083.18885454925,3075.3724003015,2064.77118637668,3402.44236375813,6224.48690274387,5159.55343426847,2283.85941181706,2101.46180057675,2678.54222293775,2943.35955414439,2430.75568882748,2237.45364117311,3334.01024124256,1157.90343864633,2979.04042732422,1055.0116381988,2586.26271485486,2458.01548067093,2390.36668111029,3782.02958266124,3514.27026130404,2490.67767943633,2921.40570436471,2311.85940968515,2169.60401916861,1606.09461138827,2013.30643220801,1756.95500032011,1962.65223311167,2831.88699517488,2771.23026777947,2185.99377656855,2397.80725700111,2422.85000696435,3102.13861439168,2717.88984714032,2887.43365385404,4262.4690347387,2387.48732894077,1090.36922444846,3430.49978236018,2265.01291087098,1742.90530314083,2310.32614890551,2059.12227639704,2194.40501467705,2078.40229535924,2450.91876849495,2442.81132539939,4723.54780246039,3136.22394801608,3010.24488895067,3427.91335480831,1631.03408588288,2075.9558605483,1334.80697020834,3246.4671484893,3328.43877293837,3531.62610085394,3534.94582738892,3795.70228163309,3682.4361279925,3444.60467434088,1332.9992471512,3185.05663508038,3014.15544347627,2550.25136353703,2758.41978690844,2028.14888288374,2106.94552498434,676.845619005737,727.360735257987,3589.56211896883,2047.10058467798,1663.72869558878,2167.58044349226,2599.62681169088,2380.23327497164,2255.47905319392,2725.17606309238,1780.98550141333,3490.93709927781,2230.30578054139,2750.76153099137,3549.13457046085,2306.64773461121,2064.74593535954,1698.60377886888,2055.79742658976,4111.31333673857,1414.54506760764,2285.20571023038,964.816807574722,1162.24435707106
"CA-Let",4059.7107293679,1809.51579677005,1539.10746505529,2224.51267491383,0,1660.55538014372,2501.24572471659,1888.90097479468,2147.05245570069,2074.76787613812,1857.29039086295,1992.22956455305,1855.52215049085,1967.06267540346,1495.14527882154,2419.87584587973,2232.70698486947,2398.58776882215,2279.0874001456,4924.08742564044,3058.08609114735,3680.19905519844,3035.22886175479,1660.01723732975,2034.96586687426,1725.49796092582,2749.84795882361,1449.0571037326,2837.37392170854,3009.67548595043,1429.91230408176,2051.33264512565,1774.55708571791,1800.97215479663,1416.14881537186,1785.49325149002,1546.23235545421,1419.57262150956,2094.13513966522,3235.2572565902,1564.02628228153,1645.9462255632,1438.23074588563,1538.14218448763,2262.48739961185,3392.09070916785,2129.43958310444,1381.08236207225,2490.24378034557,4898.4716476491,3971.88576533651,2190.85827239233,1176.92755196391,2694.69358323474,2870.68807125138,2299.65424358435,1511.25090174858,3934.76116009005,2208.59367085935,2191.81561400881,1899.11874149574,1617.52040041351,1556.05504496267,1796.61668951267,3182.09590098532,3032.26401176855,1498.83990233159,1826.36594927434,2009.61246672508,1734.75863629744,2159.36353987728,1581.03204519872,1608.21978289967,1850.73182331967,1648.82006528124,1659.64567342752,1970.8748664833,2131.81447243272,3432.85270513193,2660.51414924772,2598.67546018611,2286.71238751101,4641.16241437167,2975.42441362977,2314.88702937546,3405.24974611367,1512.23712300544,1633.60603592782,1464.76437344306,1278.64632510942,1383.23474813822,1405.33149432149,1604.69899628853,1494.6096602222,4083.59727191126,2534.08014968558,2378.00774374595,3376.09126920472,1571.70268978588,1544.40313346661,2426.58139180826,2473.36840974241,3064.36826784878,3118.16431308791,3209.43488816785,3204.56565234641,3455.09485018627,3249.98236356962,2076.8146557809,2346.36391490663,2910.35277054964,1601.4574838493,1759.82355167997,1636.57011151645,1707.03866092748,2277.91875149351,2362.32556519941,2551.35416919501,1963.76467405436,2273.21486210897,1549.09754644522,1798.88477823874,1428.10688455121,1822.76204839023,2574.07131102419,1277.58971203381,2781.92731089803,2167.47924504024,2810.88118841497,2811.65494577693,1571.08157692377,1644.51540844954,1311.08984885221,2289.72461115954,3619.70210518477,1647.64084098464,2685.21088607081,1785.2393115772,1960.84055776548
"CA-LP1",4945.65239094063,1664.19921994072,1924.03140902803,1574.25881020147,1660.55538014372,0,1525.57226995437,1803.23569474503,1305.71785521145,1153.48720957804,1457.95732514566,1110.36231048916,2323.99598747058,1079.08375211294,1170.19743805276,1904.84562803005,1408.58506314782,1626.34736084867,1708.09030493022,5589.21635361838,2821.51160029819,3210.43491242748,2852.18343566926,2216.5019034613,1710.78049974525,2698.35152879276,2565.83945100173,2109.58658925666,3170.72172608222,3530.72416517008,2179.40289847894,1072.99986956344,1295.24273381555,1352.77607436306,2319.54786502966,1933.41760208181,2180.31647494307,2168.68963092716,1753.66458129546,3433.54031880494,1859.30540692961,1907.49164759454,2054.31354452011,1998.00766223248,2311.92290198469,2536.29521233452,3110.62949354641,1556.48627058141,2853.09331848949,6028.78534097782,5082.58133242765,2544.03705543869,1302.31263496489,2616.51383297945,3127.26543423097,2704.96064023502,1894.88346428792,3730.8895854788,1924.33019488448,1965.00114834635,1101.89949759497,2575.85715585539,2511.57061129885,2691.31198561811,2941.39216157689,2704.74877396861,2576.21764609847,2975.79315936671,2940.0613644707,1934.82191504505,2064.58184490535,1450.95962172456,1321.77851808823,1488.29757267466,2750.36243156671,2781.14389812835,2767.6140764922,2491.28355025475,2700.43816680815,3454.07186087506,3269.31050300552,3209.5495060314,5335.5168944853,1935.80279139397,2306.48877430416,3472.30429225151,1810.57521130124,1333.60343780909,2179.58207555697,1997.13984865842,1923.71350337903,1785.56627396776,1396.18788967089,1806.53216602455,3903.56847565539,2502.35514876278,2572.16347972471,2940.65960885184,1705.56942396837,1965.79839518161,1797.3191608281,3370.19074666552,2687.47422934618,2801.31501030567,2879.68182448882,3113.24589441495,3108.07226010131,3031.31275978573,2069.4411371677,2731.07428315896,3355.13133849561,2487.2221293696,2747.51520289222,2478.72345630479,2256.28618758863,1310.4766348936,1412.81433051089,2919.22324275661,2446.69867692648,2507.83868549506,1480.39868838431,2818.66260932843,2190.07116788801,2523.87499940466,3479.7128128841,1609.15558659188,3599.96237729089,2746.27482845776,3200.40939850215,2849.89335360943,2307.33412058831,2448.61367165062,1225.49121667618,2942.76120641242,3368.90446042376,1908.65211185201,2759.60206782946,1563.76095433318,1852.38212398767
"CA-Na1",4984.84892372277,2134.34649991081,2842.23178319549,1237.58893495814,2501.24572471659,1525.57226995437,0,2142.7510066488,1672.61759466832,1655.40906641936,2182.95001037086,1929.37452606468,3079.51955125985,1323.23631250253,1740.57553796107,1728.3421952253,1219.57085007841,1245.62457075724,1415.89946108845,5291.30954151035,3629.10181413376,3897.11433166155,3875.12990842045,2776.38609075854,2598.41960825732,3191.8891536796,3456.88190692238,2323.09933205603,3346.54549190772,3960.10210030841,2553.78985321916,1897.55033004213,1826.19623355359,2144.77056753072,2742.20239692444,2446.31775258906,2591.08310865736,2626.08943669251,2673.39095666467,4326.43223935157,2597.85297632017,2628.92891710744,2761.47802914959,2705.46237701637,3403.46537098525,1876.66354643366,3535.5341893784,2269.93112264388,3594.87535125595,6540.70538439966,5486.26211130544,2728.29440881578,2185.84792086367,2882.78809738441,3241.13541098401,2857.52317505629,2565.93527535254,3322.58977056414,1531.86085466141,3082.83510339152,1143.52220269982,2966.44231031388,2960.84129441525,2907.3717381393,3829.678669399,3612.06735356227,2888.40153456711,3299.30837478188,2878.04786928369,2337.49430538039,1907.13624094072,2340.50713063429,2053.37845968735,2242.37779708145,3173.88389338672,3241.6660953979,2750.36884170685,2650.34360340407,2447.00200236903,3460.00993681574,3140.20254169542,3296.97290624618,4812.61791265907,1979.39789666319,1861.24334873132,3614.12721161815,2475.99426528107,1928.21632592077,2706.15616415545,2483.90630027327,2489.03327675988,2307.73519626944,2238.71853817364,2654.47470849019,4786.61122578794,3383.08161524741,3317.83256512552,3671.29175281569,1950.79603796294,2357.89310659378,1816.27224024408,3575.39923900805,3432.42034441365,3600.81905069438,3598.56598992067,3936.53342200601,3786.48232662737,3642.51837097533,1589.82253788251,3502.30490218098,3399.74060593834,2976.45745451895,3194.44733546694,2569.37950899974,2595.84903188877,1223.23328334248,1184.01879372493,3868.29983978479,2476.9709029416,2033.57441482981,2199.60736808429,3028.34898523943,2617.57392712848,2674.2048078716,3269.44262515259,2000.13412881853,3843.44297637697,2739.7667518499,3135.73894263404,3815.15905923462,2666.3653433672,2524.20420253364,1943.10272871614,2646.65809550973,4171.4052525341,1886.23304499811,2666.3008248246,1450.67339436134,1541.49169759186
"CA-NS1",4854.7248268377,2704.98708040495,2797.88855833917,1998.89328486678,1888.90097479468,1803.23569474503,2142.7510066488,0,1107.57888178918,1288.22293853866,1163.81867738711,1600.96664282181,2053.80019856641,1221.30830580132,2198.99228579987,2765.80351049071,2149.44284118657,2141.33702142583,2216.0667350907,5428.16538267388,4056.60716435539,4269.93236399924,4189.88157866762,2753.10778937609,2998.45535259029,2819.57137788451,3707.95249795128,2005.43053184668,4124.70709212044,4209.47429814865,1952.21265401007,2168.12595274601,1962.67029377686,2138.04546791901,2419.24556585797,2777.43066458584,2349.6578329042,2260.87405747081,2410.80878687217,3282.322613259,2837.0892138037,2977.97816632544,2806.89087140845,2894.48870351482,3550.41892388407,3087.4598748117,2920.40284312507,2549.54559017216,3741.72692871871,5954.62791129432,4898.1471958346,2614.10461247167,2120.33771545018,3504.50217713172,3457.04880560346,2740.66173241324,2498.80388467075,3296.20145279585,2177.26376625463,3413.37909741336,1997.94921387886,2681.76826537589,2491.93210647807,2476.46804492997,4238.05246146094,3969.60343083345,2551.1934194584,2714.86817901515,2649.47784764198,2644.82583403312,2400.02072821945,2516.4794007158,2275.69026315949,2552.70820344145,2774.29919029015,2826.67341357927,2462.24093475819,2716.77910268498,3295.88925154785,3814.08716663453,3508.48878479102,3279.68930873574,4615.34859507571,2826.79891308248,2405.66660006029,4235.53430234358,2744.37699235658,2378.75821653032,2492.73878814445,2044.93812696763,2173.36295231206,2357.84621644283,1932.79949660413,2814.95042742196,5121.42044824914,3680.00934296506,3479.15190965505,3867.10248074214,2263.75683361745,2206.60840159936,2758.15783530778,3019.55424714556,3872.61612596436,4037.70293784571,4047.15694660331,4239.27848790583,4215.88318453088,3966.94729893734,1694.6423945353,3695.4930683517,3997.88644074595,2828.91053683206,2767.17603597422,2558.46927756584,2660.8350291244,2009.4494434427,1973.38791222683,4074.91690890665,2952.81141112794,1744.09112552187,2518.20701421508,2814.32460063683,2578.62727250433,3062.92401473076,3136.33234677724,1797.50574460354,3752.56381901108,3085.55003162189,3615.20753000265,3997.04651527138,2652.77867653439,2471.8883616326,2152.26006975608,2725.02329371542,4588.22564816286,1700.9102108495,3392.66262792488,1674.52845398337,1688.64550387567
"CA-NS2",5439.68413372357,2462.30830452359,2671.29465448565,1884.9795109612,2147.05245570069,1305.71785521145,1672.61759466832,1107.57888178918,0,529.638830787447,1023.03996001985,924.23542358715,2487.26153808814,833.710629615318,1952.88785044057,2514.38752822681,1922.69368246865,2021.57043012963,2140.63490886952,5949.43623392223,3698.32083022856,3870.48385615835,3733.18138004962,2687.06445407523,2651.59787964413,3232.15055639007,3407.0861202872,2393.95681426637,4071.32069011855,4323.31522637814,2553.96277924062,1465.88110072337,1526.54718817976,1684.25993875593,2771.10852291372,2634.95838085865,2646.91765010694,2664.81378463383,1856.44142405006,3412.28880972227,2763.87420025282,2793.59579927939,2792.50302096888,2804.64479567032,3252.83944370012,2719.17583247989,3605.28919881595,2292.71217501584,3714.95454655954,6610.85225858504,5555.19965437106,2681.65036691462,1886.32613442248,3338.40078329518,3482.33996872226,2885.12333511019,2416.54015513565,3371.95702242247,2124.33037869078,3001.38735506785,1626.80966389048,3107.05339613186,3058.04986184652,3124.77483954934,3805.60785124734,3571.9890180115,3018.21476507317,3446.45401619371,3222.80682566154,2431.38752163939,2416.74125602199,2312.01606721178,2100.99764557065,2324.49776593066,3300.55080353401,3321.28691721295,3079.57038095698,2810.98186919511,3137.51674950826,3921.67863688703,3668.25325634697,3657.73285409485,5420.72295208417,2216.35591945678,2399.33168928141,4040.29200077613,2668.22797120266,2145.72456253619,2685.75599823604,2446.32434666851,2423.41793209673,2262.57651778637,1409.92157468473,2667.32881554851,4695.74173763581,3366.14858947916,3293.23748108847,3623.48586808751,2175.78970786843,2316.83008237525,2406.81987972049,3776.29430691704,3480.89509755494,3633.87684303561,3656.61925053452,3882.22503082875,3819.6967900266,3741.6274605537,1927.0761645193,3669.89122479872,4062.42336007154,3065.98781035125,3322.51147309104,2882.42807528526,2742.43006574351,1743.59277493543,1783.65848330912,3941.99320789725,2948.3407691448,2374.27897444118,2168.26264538726,3249.16212970048,2692.79285944765,3120.17875732524,3695.58851804818,1905.03809633336,4055.5853590068,3148.94914981752,3656.29377035657,3726.51111057381,2803.7400248624,2744.68932673174,1952.24248842229,3187.82345603846,4161.65205075003,2029.86342886756,3335.67080889367,1631.37846068293,1817.93267712901
"CA-NS3",5359.63379273265,2279.29257837393,2480.48835439343,1916.83503744946,2074.76787613812,1153.48720957804,1655.40906641936,1288.22293853866,529.638830787447,0,991.978405416933,684.680379221181,2391.8442532885,877.351530956159,1795.24406188032,2410.72348599481,1889.05437424334,2058.95464454085,2141.17838343734,5925.17808627611,3519.49908588582,3778.12225461179,3562.70564985151,2617.08288246083,2510.28745746384,3154.27683353436,3239.98721369946,2320.19052618916,3834.33563548665,4095.50280299674,2480.22414558026,1330.54046490992,1461.17319769446,1603.18574356407,2680.64916508038,2468.99575511998,2523.90378777329,2538.61787526088,1760.6154228188,3320.56102245448,2614.20299844167,2663.69447595664,2682.14922093612,2649.29225317192,3082.23962184005,2805.86241069798,3523.6024844052,2113.57833904125,3636.62511666849,6518.48760224408,5477.21155655983,2765.42238947755,1713.66887773173,3156.60913239787,3400.93777839333,2970.99662810431,2364.23929427341,3600.81285725738,2115.30067036177,2806.70644705234,1494.51889625704,2994.39279889971,2930.98353474427,3037.5451245948,3631.15433851137,3435.5866366014,2940.27957300927,3342.43795621245,3228.02788485375,2294.45528681008,2417.12669632395,2133.80575972052,1970.84068581602,2135.0793957886,3217.51963147069,3231.67377139933,3084.59286128617,2750.9684348674,3208.86285552906,3782.07979305163,3584.62952668163,3525.63962451063,5512.06521919154,2265.21054716215,2511.16335576578,3887.0280277161,2539.40930450149,2006.14143781631,2555.04644254525,2313.84952374025,2292.1601469994,2144.12179730634,1412.09111714463,2531.28478827528,4541.69138916471,3218.85804061737,3145.93696136921,3581.4356575576,2036.49823707587,2222.80215976842,2326.41859796011,3732.0673432503,3316.22385508919,3476.93206670078,3489.61514367575,3742.88518485426,3704.96257106454,3631.42887364505,2102.89550551747,3492.1225166518,3869.42646021303,2945.21041815678,3191.16340886349,2859.16029636072,2654.37375597503,1744.22203364281,1825.11641127957,3768.55694324543,2794.02681688322,2529.76406588965,1978.3420077754,3146.6038593566,2606.39666754409,2934.49493247242,3684.22224536966,1869.33943432029,3944.48104924678,3085.78682344155,3579.46649593969,3565.13502953451,2718.78220936789,2727.99798794378,1774.15462489816,3207.93702812837,3992.67425631199,2063.49719901997,3238.12041272282,1722.67113344731,1917.24065176904
