SITE_ID,IGBP,GRP_LOCATION.LOCATION_LAT,GRP_LOCATION.LOCATION_LONG,GRP_LOCATION.LOCATION_ELEV,GRP_CLIM_AVG.MAT,GRP_CLIM_AVG.MAP,GRP_CLIM_AVG.CLIMATE_KOEPPEN,UTC_OFFSET,data_year_length,SC_source,NEE_source,FC,FC_F,SC,SC_F,NEE,NEE_F,LE,LE_F,H,H_F,USTAR,USTAR_F,NETRAD,NETRAD_F,TA,TA_F,VPD,VPD_F,WS,WS_F,SWC,SWC_F,SW_IN,SW_IN_F
US-Fwf,GRA,35.4454,-111.7718,2270,8.4,557,Csb,-7,6,-9999,NEE,0.552515974440895,1,0.820591815000761,1,0.819346188954815,1,0.807004031644607,1,0.855916248288453,1,0.857808458846797,1,0.898134413509813,1,0.888835006846189,1,0.885858816369999,1,0.856144454586947,1,0.804398676403469,1,0.891136087022668,1
US-GLE,ENF,41.3665,-106.2399,3197,0.80,1200,Dfc,-7,21,-9999,NEE,0.38076693101712,1,0.655161652400134,1,0.567443458375294,1,0.750750041960389,1,0.869917547834844,1,0.869933282980866,1,0.957856033903995,1,0.957871769050017,1,0.95770130496811,1,0.956416268042967,1,0.816108593487748,1,0.885909701242028,1
US-GMF,MF,41.9667,-73.2333,380,6.08,1258.79,Dfb,-5,6,CO2,FC+SC,0.330567594282238,1,0.741484184914842,1,0.330567594282238,1,0.752518628345499,1,0.74543795620438,1,0.729641879562044,1,0.756415374087591,1,0.786648418491484,1,0.786648418491484,1,0.678813108272506,1,0.133943506690998,0.791666666666667,0.674707268856448,1
US-Goo,GRA,34.2547,-89.8735,87,15.89,1425.77,Cfa,-6,5,negligible,FC+SC,0.523309145673604,1,1,1,0.523309145673604,1,0.626996622855057,1,0.729508944870391,1,0.576328039430449,1,0.800862541073384,1,0.800280668127054,1,0.800280668127054,1,0.800383351588171,1,0,0,0.502259036144578,1
US-Ha1,DBF,42.5378,-72.1715,340,6.62,1071,Dfb,-5,29,SC,FC+SC,0.651475654035937,1,0.703228284144865,1,0.651475654035937,1,0,0,0.724319585389318,1,0.725013965180151,1,0.668369642801726,1,0.0443743599292431,1,0.0443355677621575,1,0.747482388356143,1,0,0,0.0441299692766037,1
US-Ha2,ENF,42.5393,-72.1779,360,6.56,1071,Dfb,-5,16,CO2,FC+SC,0.39984785615491,1,0.83179806362379,1,0.39984785615491,1,0.618105117565699,1,0.803177731673582,1,0.8107918395574,1,0.389636929460581,1,0.940999308437068,1,0.897413554633472,1,0.855892116182573,1,0,0,0.352724757952974,1
US-HBK,DBF,43.9397,-71.7181,367,6,1400,Dfb,-5,4,CO2,FC+SC,0.21050284605094,1,0.479959604438266,1,0.21050284605094,1,0.282703354930095,1,0.316095270571571,1,0.59284421477848,1,0.650775122629384,1,0.650302966713008,1,0.650184927733914,1,0.59284421477848,1,0.812252446029956,1,0.650775122629384,1
US-Hn2,GRA,46.6889,-119.4641,117.5,12.8,197,Bsk,-8,4,SC,FC+SC,0.373673853524983,1,0.51639858544376,1,0.373673853524983,1,0.421472165183664,1,0.476642710472279,1,0.543449121606206,1,0.630219028062971,1,0.528904289299566,1,0.528904289299566,1,0.543449121606206,1,0.44987736710016,1,0.205652521104266,1
US-Ho1,ENF,45.2041,-68.7402,60,5.27,1070,Dfb,-5,22,-9999,NEE,0.465050771395611,1,0,0,0.61603133755055,1,0.627471064741453,1,0.747897519110581,1,0.821206090032073,1,0.831172749515105,1,0,0,0.495237250104585,1,0.903680133869148,1,0,0,0.48411444797992,1
US-Ho2,ENF,45.2091,-68.747,61,5.13,1064,Dfb,-5,11,-9999,NEE,0.323704786792766,1,0,0,1,1,0.540997801559648,1,0.639372822299652,1,0.761909946905592,1,0.8261106271777,1,1,1,0.94852331176373,1,0.9575918782147,1,0,0,0.261401816824291,1
US-Ho3,ENF,45.2072,-68.725,61,5.31,1072,Dfb,-5,7,-9999,NEE,0.209148090209881,1,0,0,0.774157541389649,1,0.236360969886586,1,0.290640073002216,1,0.465421718159301,1,0.809795007169861,1,1,1,0.946454178073263,1,0.972770825185765,1,0,0,0.410759679311693,1
US-IB1,CRO,41.8593,-88.2227,226.5,9.18,929.23,Dfa,-6,14,negligible,FC+SC,0.491068518156334,1,1,1,0.491068518156334,1,0.703757578720907,1,0.864316448269118,1,0.88279059912641,1,0.945685833496317,1,0.945306897450942,1,0.945188734598083,1,0.951035758524024,1,0.946435556424799,1,0.9494059260708,1
US-IB2,GRA,41.8406,-88.241,226.5,9.04,930.25,Dfa,-6,15,negligible,FC+SC,0.522133753117966,1,1,1,0.522133753117966,1,0.688096976333881,1,0.852934690028594,1,0.886711382855752,1,0.930712721299507,1,0.928446492668978,1,0.918001308024579,1,0.936070298716311,1,0.92859098375616,1,0.931834428423678,1
US-ICh,OSH,68.6068,-149.2958,940,-7.4,318,ET,-9,5,negligible,FC+SC,0.608148503103322,1,1,1,0.608148503103322,1,0.476987495436291,1,0.492937659729828,1,0.50589859437751,1,0.49333698430084,1,0.693569733479372,1,0.676067907995619,1,0.497843647316539,1,0.345347298284045,0.631944444444444,0.334907813070464,1
US-ICs,WET,68.6058,-149.311,920,-7.4,318,ET,-9,14,negligible,FC+SC,0.441318933804808,1,1,1,0.441318933804808,1,0.586794366748007,1,0.605990116958826,1,0.63100732876796,1,0.751208900440378,1,0.870343136256421,1,0.431195538373168,1,0.789734836294308,1,0.297200076587458,1,0.674055183708055,1
