"","BR-Npw","BR-Sa1","BR-Sa3","CA-ARB","CA-ARF","CA-Ca1","CA-Ca2","CA-Cbo","CA-DBB","CA-Gro","CA-Let","CA-LP1","CA-Na1","CA-NS1","CA-NS2","CA-NS3","CA-NS5","CA-NS6","CA-NS7","CA-Oas","CA-Obs","CA-Ojp","CA-Qc2","CA-Qcu","CA-Qfo","CA-SCC","CA-SJ2","CA-SJ3","CA-TP1","CA-TP2","CA-TP3","CA-TP4","CA-TPD","CA-WP1","MX-EMg","MX-Lpa","US-A32","US-A74","US-ADR","US-ALQ","US-AR1","US-AR2","US-ARM","US-Atq","US-Aud","US-Bar","US-Bi1","US-Bi2","US-Bkg","US-Bn1","US-Bn2","US-Bn3","US-Bo1","US-Bo2","US-Br1","US-Br3","US-BRG","US-Brw","US-BZB","US-BZF","US-CaV","US-Ced","US-CF1","US-CF2","US-CF3","US-CF4","US-CMW","US-Cop","US-CPk","US-CRT","US-CS2","US-Ctn","US-DFC","US-Dia","US-Dix","US-Dk1","US-Dk2","US-Elm","US-EML","US-Esm","US-Fmf","US-FPe","US-FR2","US-FR3","US-Fuf","US-Fwf","US-GLE","US-GMF","US-Goo","US-Ha1","US-Ha2","US-HBK","US-Hn2","US-Ho2","US-Ho3","US-IB1","US-IB2","US-ICh","US-ICs","US-Jo1","US-Jo2","US-KFS","US-KLS","US-Kon","US-KS2","US-KS4","US-KUT","US-LS1","US-LS2","US-Me2","US-Me3","US-Me4","US-Me5","US-Me6","US-MMS","US-MOz","US-Mpj","US-MRf","US-MtB","US-Myb","US-NC1","US-NC2","US-NC3","US-NC4","US-Ne1","US-Ne2","US-Ne3","US-NR1","US-Oho","US-ONA","US-PHM","US-Pon","US-Prr","US-RC1","US-RC2","US-RC3","US-RC4","US-RC5","US-Rls","US-Rms","US-Ro1","US-Ro2","US-Ro3","US-Ro4","US-Ro5","US-Ro6","US-Rpf","US-Rwe","US-Rwf","US-Rws","US-SCd","US-SCg","US-SCs","US-SCw","US-SdH","US-Seg","US-Ses","US-SFP","US-Shd","US-Skr","US-Slt","US-Snd","US-Sne","US-SO2","US-SO3","US-SO4","US-SP1","US-SP2","US-SP3","US-SRC","US-SRG","US-SRM","US-SRS","US-Sta","US-StJ","US-Syv","US-Ton","US-Tw1","US-Tw3","US-Tw4","US-Twt","US-Uaf","US-UMB","US-UMd","US-Var","US-Vcm","US-Vcp","US-Vcs","US-WBW","US-WCr","US-Wdn","US-Whs","US-Wjs","US-Wkg","US-Wlr","US-WPT","US-Wrc","US-xCL","US-xJR","US-xNG","US-xRM","US-xTR","US-xUN","US-xWD"
"BR-Npw",0,1689.21524999202,2092.19291770615,3410.26259699872,3271.52561612701,2216.99217604231,2864.79835355949,2600.89106463677,3482.40655834138,2717.22817480154,3405.2068159537,3324.45154274438,2365.7692385526,2975.70525259093,3127.37596493144,3016.43162708878,2944.38342074266,3268.56928971217,3277.60012039532,2713.15950582547,2893.96210708531,3093.00710988811,2747.14282338956,3377.12502822713,3086.54767049001,3343.72236992539,3538.57276636561,3291.44677477924,2801.94960637796,2468.99553523327,2295.05203179818,2373.60506956114,2665.08542767281,3042.87891895495,3030.7410494008,3593.79054253221,2505.21829671217,3423.88638866442,3649.77519500655,2807.56151185636,3254.65046380715,3486.8608000754,2750.04700244017,3621.07386627195,3273.82271787471,2590.02446961124,2180.96014935665,3783.35157523379,3116.59771262807,3276.13808303953,3213.92407024642,3603.91459698079,3223.02198618008,3222.22959360498,3215.03087154397,3086.090347595,2199.66986273157,3619.29018989873,3281.18040830503,3111.0841005812,3138.2877223877,2401.45540510902,3174.32329979368,3110.2614048012,2989.91984700093,3132.52876969564,2513.06259064079,3641.53194526013,2745.34875746767,3045.56436375329,2360.07460103635,3343.59569529003,2387.19793479109,3224.56740481276,2610.54503502359,2300.08477480151,2355.28429114958,3606.97294201944,3468.72366859532,3420.25213905565,2918.01847983152,3485.87788993338,2226.57520128227,1910.68040086138,2871.73218087269,3415.00035250125,3088.64621391955,2737.40355487426,2436.51359814589,2845.98358213534,2485.63724252872,2537.64377992307,3484.45541846877,2367.98701112759,2472.32977243076,3049.36599260879,2501.79826823705,3597.81851576386,3546.04505017334,3734.76125634406,3663.35470667327,2633.26522666891,2354.42914775311,2740.93369441171,1752.57637773469,2365.58271131169,2257.24034185553,2886.30739438824,2895.52447762168,2328.64247425472,3185.60096962067,2407.07727731837,3031.8433481531,2735.55473496755,2665.74213767351,2482.08727721479,3338.08634049714,2025.13921820368,2652.07569033513,2563.23056344689,2145.23091573994,2228.45034373281,2310.88961889099,2246.7176401953,3797.08486095696,3438.54316888458,3240.0222379265,2707.74460470132,2876.50235815517,1588.48134274789,2729.12571704852,2891.91031822722,3274.81587237842,2946.0002312607,2805.97352147977,3283.04866039924,3129.83151929693,2516.48892968458,3391.30598344195,2984.91210586045,3098.38103112942,2632.26340301301,2965.33486613123,2911.0834786171,3199.69398721157,2664.56095619545,3473.9351748044,3341.38145644825,3197.58390534223,3532.56620676164,3647.85722523548,3226.37529319663,3022.76429355552,3545.21058161499,2768.45199412393,3640.04893779403,3680.77294153502,3258.67535593336,2670.44843323428,1843.41595754284,2441.3206892879,2081.23149669922,3085.04406100697,3419.18906868093,3595.57039323824,3490.86315807438,1922.46412110236,1911.90904713711,1635.53783641855,3639.0467887757,3387.93769650878,3480.90380090557,3331.8944351382,3540.17741309337,2572.75178447658,2606.80877527444,2322.28025907795,2579.69973814503,2105.25576087232,2513.51521517341,2870.93867998793,3069.91735603305,2717.94835068032,2615.50469602663,2742.94632029352,3302.43669425427,2591.2773881604,3003.60314476245,2622.02760481876,2821.34706927729,3564.0983314305,3588.70861208826,3427.69642921694,3509.13409205524,2546.00619944732,2796.31457051855,2225.14478236062,2372.13372828047,3599.56341001765,3048.66057032708,2971.40116878283,2603.28633253141,2624.65901140473,3132.8151363897
"BR-Sa1",1689.21524999202,0,1306.934,4325.8947965,4177.38262175,2609.63948,3627.886431,3080.300325291,4411.9982044755,3482.342,4368.307765,4163.24719527,3086.00724628431,3812.13183542183,4000.44347980603,3854.20563773715,3815.13765336256,4154.21500000001,4137.5465,3423.727,3667.8795,3980.949,3566.27297581,4304.053,3884.97,4264.4842945,4543.6007125,4166.299224,3573.669,2790.6885,2962.269,3077.69,3225.6265,3956.68949999999,3978.5070299665,4589.6475,2910.8364,4008.05190000001,4629.2047608,3760.0669180725,4258.6585,4451.569,3952.59423835,4625.08275,4245.663,3075.58222485396,2046.98998119166,4152.80406133333,4068.0025,4318.28122017628,4242.11325573535,4682.536,3927.1815,3798.22,3806.7865,3752.987,2497.37564166,4602.5645,4113.4458744955,4035.945328184,3934.4265,2725.7635,3932.790509615,3884.6546097775,3876.4853796,3797.20498,3352.94038443,4690.2125,3845.37049927263,3709.28266903218,2702.2064403155,4293.7165,2946.5001694971,4164.5185,3334.641,3235.1435,2876.05914265243,4638.409,4365.219558043,4367.53125,3724.563,4471.367,3111.08854323563,2847.36050000001,3659.3485,4380.86149999999,3937.922956,3159.1750646484,3121.859,3390.47756780908,3103.98375078488,3083.51407327627,4489.83828950995,3011.9325,3144.871,3638.1265,3143.20899999999,4574.0485,4479.64747189851,4822.480176855,4679.6913496,3510.2556485835,3289.94112808551,3029.785267484,2190.857,2990.77316196385,3027.9385,3607.235555117,3785.72926211,3167.058415,4141.761,3100.675,3987.4115,3693.7615,3020.31970378488,3168.981471,4287.52767408851,1783.0825,3362.26902035301,3176.51660025,1972.4232814205,2014.69227,2803.9183405,2769.5600125,4126.1355,3897.53349999999,3808.68999999999,3587.0335,3380.40096716529,1976.07241635,3600.4322912985,3876.7855,4211.0914785,3614.67033529128,3427.69810717475,4110.63028474345,3830.11541288524,3305.25167178983,4308.285010901,3907.947961829,3700.1028085,3236.3250575,3517.5566338355,3518.624239,3716.8796635,3458.513816,4340.1855379405,4178.727387864,4098.073471526,4484.95595877799,4653.3595,4195.904,4032.138,4505.85399999999,3651.48575,4652.34236747809,4709.7389918,3905.1775,3129.07116666667,1847.2585,3052.573,2944.8385,4006.593306,4312.90450000003,4597.21499999998,4487.70916666666,2422.0675,1838.646,1738.5945,4674.6975,4311.575165,4406.02525325971,4222.64160070749,4589.54175,3077.54210978699,3353.51629170065,3483.07519,3083.77374933334,2172.08937179167,3023.92604875,3561.78752200001,3996.14447025141,3268.21762539999,3256.1593476,3854.426024,4130.11773919441,3408.77612759619,3761.72011729149,3199.2785,3510.2143732,4550.35525,4609.60322617605,4374.981541735,4461.34853168894,3419.411,3683.45301478892,2998.13158595679,2880.50130609154,4657.45276652513,3758.51094776895,3747.51047713102,3212.35702355249,3135.42421660434,3944.89352545705
"BR-Sa3",2092.19291770615,1306.934,0,4894.0679225,4691.17963175,2916.00427,4015.39624544444,3535.26873655451,5016.300469643,3965.56100000001,4876.219975,4600.25054692,3589.76239135336,4334.83586797804,4511.8838650987,4400.863268238,4346.37680238975,4673.28,4661.7235,3975.9525,4233.62350000001,4530.187,4098.55669581,4865.102,4370.448,4818.7996115,5010.0528575,4789.189893,3957.694,3127.559,3388.8545,3489.91699999999,3621.3965,4477.5885,4533.4909456295,4946.9055,3257.5121,4192.6951,4973.028017702,4272.4709888405,4734.89450000001,4995.4985,4214.25335055,5046.66625000001,4657.3245,3536.95830205646,2278.62503730833,4050.13167425,4508.437,4800.15467703436,4751.57573388642,5023.132,4361.879,4188.3855,4139.3005,4184.877,2762.61134078,4982.83300000001,4647.60576150651,4508.25663934,4485.206,3095.633,4425.039680315,4391.29923405099,4319.1406668,4300.5085565,3755.43412327,5019.37449999999,4186.63682027168,4182.5681732482,3018.9482137255,4787.2325,3393.7337248201,4631.723,3674.96900000001,3547.1235,3254.46761225732,5040.66700000001,4894.52920760499,4875.22625,4129.5,4989.7125,3393.37223209773,3125.12100000001,4067.4145,4882.0705,4381.147192,3380.9038770624,3568.6195,3634.69186158971,3567.26302469119,3366.35516404629,4943.45413878303,3451.9015,3562.222,4029.2385,3679.5785,5028.428,4978.9087227735,5140.37928547999,5143.9668788,3938.3763716505,3676.502598782,3422.571352338,2505.28950000001,3401.85274120817,3509.689,4103.346931933,4300.03234466,3515.98326500001,4578.249,3466.3275,4479.39750000001,3976.7535,3261.58347211461,3592.2071065,4680.9401931885,2026.682,3811.51258973158,3472.41898175,2210.5855037565,2172.50622,3221.850323,3157.405841,4367.2085,4221.0135,4221.0435,4070.29600000001,3755.82127550727,2343.19874665,4121.16088341749,4281.9535,4738.120232,4004.968936324,3806.34221068619,4697.67921135729,4374.96715612171,3722.30152435869,4797.8254397245,4406.63362108599,4299.6112815,3764.7298095,4117.1659002845,4060.07558925,4280.6878035,3975.530899,4925.965175768,4717.702208903,4603.247670887,4923.3565050075,5007.81850000001,4718.2335,4484.0485,4994.79850000001,4135.20125,5029.35216697809,5044.29105488001,4443.0725,3447.13266666667,2143.3725,3419.35800000001,3277.27250000001,4314.532802,4842.40449999999,5024.09600000001,4907.35375,2716.275,2135.6635,2067.6575,5047.6535,4795.303035,4901.64539526393,4645.290890401,5029.7015,3491.8570219975,3968.37013080064,3712.1381015,3284.61725350001,2479.46021370833,3368.81337575,3764.667626,4590.99002144255,3669.6196054,3670.51975260001,4278.489827,4674.41945607093,3786.86057125531,4198.88974558011,3579.4575,3931.74794265,4987.69175,5007.3077428911,4830.69573326501,4933.13689691304,3931.3535,4171.96572623783,3290.20211251888,3298.40343433602,5057.35805372787,4354.7772033409,4190.94749712479,3702.91509400716,3640.82085834426,4539.9043416145
"CA-ARB",3410.26259699872,4325.8947965,4894.0679225,0,216.66574175,2484.9119535,888.0088395,1682.1897787905,190.5198713945,959.277266999999,222.352025,362.46309385,1555.70133682706,540.231109895413,391.976222575378,479.553053431128,523.925056056077,221.2406635,276.3822305,1135.742775,624.0145755,343.814111,857.144361790001,120.420005,481.7220325,128.4651135,342.4457705,233.0431726,971.4425265,2361.2828705,1728.4689675,1533.869166,1537.1094535,483.9929115,748.0514514465,333.0875815,1914.7323335,1719.0640955,455.6457104405,794.552658375,319.607855,227.46418,872.482254600001,453.426277,565.915450999999,1750.85509881148,3544.31424165,3477.268088625,441.926522,326.979377630433,299.747119490459,300.031455,1242.753924,1505.4239085,1446.9264175,1157.911336,2603.96838285,366.446438500001,280.59352207,408.0252108825,410.5225965,2108.735409,869.69787962,860.449028367,913.476878999999,876.266082500001,1190.51328469,414.81454,1479.3344629504,948.596739340983,2662.8563024855,314.2631095,1862.7444244674,483.986304,1203.97685,1372.965684,2358.37859926032,435.079168999999,163.3637195905,393.441155,767.531768000001,239.628694499999,1547.10501854613,1670.3779465,768.099736499999,188.3033535,523.919811249999,2015.02023772515,1415.569263,1819.29683127966,1624.7154528084,2180.01921845013,412.429617535245,1649.960414,1493.6983265,1441.79374,1569.493353,354.9427295,289.919159010001,381.979897885,399.111924,1032.4812439185,1246.002193646,1935.2384448115,2851.2834805,1683.69874541914,1522.116656,813.421361124001,679.93395576,1583.5434875,472.8676665,1395.7025915,587.7450595,833.391617,2251.6218789329,1569.8162685,537.797522150501,3594.9961925,1236.15988900468,1703.98482075,3802.8297506825,3627.1657715,2063.753764,2038.2289815,2453.043894,1928.983971,1561.886206,862.853194,2190.59451191794,2852.25905065,877.14655561,870.392144500001,168.652534,1477.66917675413,1551.113404618,485.955396687404,713.847206471181,1292.07319345864,344.6942362885,681.1281532375,1094.103105,1366.343911,1007.4542768555,1360.0905725,1150.7401695,1000.327186,167.269959771,266.070571379,512.2460074885,242.789598031,433.7661715,369.4951455,599.825973,364.359683500001,721.570400166666,347.313538143815,404.76312585,1308.2045585,1809.732814,3284.554432,1735.9979385,1870.8813825,609.431452,281.2393615,296.840688500001,293.046534666667,2282.2843195,3442.622639,3270.949289,361.892179,255.594909,164.693525886944,467.9818396025,395.418494,1665.7446790075,1216.52391294565,1244.9859805,2399.41453351191,3311.18892879167,1924.67306025,2046.8053885,329.67700730412,1565.9517143,1558.8448787,826.8741965,388.961671928008,1196.48223713174,771.190732083852,1878.274356,1396.9041252,393.391963,352.873915905099,408.212304615,243.149534079067,1049.694837,827.342930955807,1507.80766219255,1885.58850004613,313.415764217122,407.390327874588,574.861799818265,1389.55129036929,1450.69034064702,326.084764563361
"CA-ARF",3271.52561612701,4177.38262175,4691.17963175,216.66574175,0,2352.70086425,752.991603583334,1481.118429567,356.2760558495,791.320191249999,245.71674075,375.68906746,1435.38882045787,444.095784227402,321.028689608004,365.640430912594,395.214206006858,139.73379375,212.891763916667,912.608525749999,550.16575375,330.67062775,718.455230620001,232.90226225,387.992712,195.62952125,446.29274525,313.4036232,873.826828750001,2228.28705325,1602.718215,1369.91058425,1324.84525675,406.48658475,721.614229078501,508.04710375,1798.72879575,1571.62036625,587.819817132,656.198128190499,351.14232975,378.36688625,774.18661215,590.06446775,605.811976000001,1537.65135023697,3364.63469851667,3173.725764625,325.2862915,388.160679824389,208.765716717521,463.18269525,1045.85254275,1288.08000575,1188.61723675,911.11845825,2440.39966541,491.05199875,285.7807477155,294.752345635,385.08517775,1924.98381125,740.560739715,701.983405712999,727.710876749999,710.788954583333,1076.89305867,554.34313325,1407.15519490114,740.09566419583,2498.2360643015,292.11421025,1748.3825953892,514.14949675,1049.85281675,1247.44610625,2157.00965362839,596.84522725,231.1537404175,560.743633750001,760.76640875,365.783176250001,1403.49587012297,1545.38568925,744.49916325,317.11258975,416.0958565,1835.52472414656,1310.20422325,1646.60165325827,1487.90635025449,2031.94539652704,564.156148952737,1492.63035825,1340.77865075,1216.49841675,1396.29386875,462.02623775,401.739292416,576.011313995,575.131360050001,862.8488467585,1103.2601444955,1738.035289968,2631.88980175,1560.53793012487,1335.42102675,702.94633031,650.24697546,1443.23801625,508.93872375,1283.91066825,541.92997725,725.151122249999,2024.54312926042,1387.20988375,680.348025399999,3417.45086325,1194.41587520683,1520.4075915,3594.3917811435,3414.33351725,1870.38840175,1897.46498475,2227.06871075,1685.17174725,1324.09096775,713.92204375,2001.21793584526,2698.5499354,711.468171423,726.451020249999,202.56023725,1308.04283911166,1396.48088320117,518.257551478528,652.89368906244,1163.30239585803,362.2399537515,548.2642219215,920.468608999999,1225.331485,826.275483977501,1150.14435275,966.73041575,845.15415175,241.2120593405,222.8787191295,427.5040527245,365.5648062155,564.340628750001,372.98863025,566.938334249999,481.9251595,612.178881250001,521.511345841908,579.60639608,1109.74805625,1600.31443075,3105.59816325,1500.32630725,1652.85771525,607.924130249999,382.6560505,431.461000999999,463.28278675,2103.12280525,3229.91477475,3058.06054175,540.01020125,288.11734275,293.778054848661,474.243968481,488.18419675,1454.3623426075,1014.46702880765,1083.24272275,2168.10690161904,3096.771065375,1735.575845,1715.78442125,287.664718164439,1343.43884275,1347.41012195,662.413073750001,448.329639778071,1114.09823505602,756.984751080207,1757.13713875,1124.45911665,493.39174875,477.490790452462,562.214172485,360.645625262324,868.52687125,578.395981695004,1396.28911351484,1674.22050082512,473.937786857326,338.722484248313,509.53630591894,1154.04295352239,1229.50135977321,272.884388874086
"CA-Ca1",2216.99217604231,2609.63948,2916.00427,2484.9119535,2352.70086425,0,1984.52826211111,1588.5875452635,2504.1926154895,1657.14301,2495.385735,2245.48707572,1240.80114424606,1954.1003942742,2099.33323578561,2023.83320490739,1994.81420137296,2350.79423,2376.33854,1833.20256,1873.30004,2138.00631,1692.26379654,2483.82099,2062.03647,2427.9116835,2779.7192705,2274.64020825,1539.33312,1487.02846,1169.85366,1228.24993,1630.90226,2015.737,1938.9726192985,2697.14188,1221.104405,2420.68685,2894.0804924525,1865.5710950845,2329.41263,2585.27662,1928.2272159,2876.83240333334,2462.987,1589.922096931,1687.14840206667,2636.6483390625,2159.93681,2299.916564894,2359.42583531376,2794.06283,2328.07996,2231.75443,2263.93345,2220.32614,1018.35476757,2793.65921,2240.2285630755,2233.9136576905,2204.36444,956.759630000001,2237.743492015,2187.7162818815,2132.83099475,2146.30013725,1424.13316282,2904.82613,1595.31150343254,2163.68268217207,1223.2471150895,2349.55807,1239.8412493021,2131.38026,1404.30096,1291.44606,1406.34083969576,2664.4314,2512.823283641,2404.66582,1703.643,2608.97604,1122.11453617599,1244.70318,1639.72339,2536.90454,2005.309554,1399.24512712565,1209.23119,1852.3850286526,1281.55111453281,1459.19614282581,2492.621825526,1057.8191,1194.53929,2188.87238,1553.45064,2783.10822,2711.895797342,2755.890038465,2583.35388045,1624.943457536,1399.618571881,1637.2720169095,1215.01624,1254.42078780624,1404.98651,1787.541157443,1764.42534426,1176.98846,2145.74928,1319.94843,1977.63213,1740.40027,1695.6409249641,1446.175322,2320.2195172885,1435.93453,1444.46888605031,1237.33048775,1577.4117034915,1345.70698,959.9090095,1010.6910995,2814.59003999999,2518.06277,2417.76646999999,1722.1616,2064.80249713838,1393.48778065,1737.6974886515,2046.41493,2381.24334,1816.00643509688,1742.04255795965,2112.48600377084,1924.34060963303,1443.09375629602,2295.0626264805,1949.5778289235,2289.0379045,1647.5003565,2024.7768909415,2144.51674625,2342.064865,1706.63482,2490.4412910805,2297.607155182,2131.7151519015,2558.202995887,2894.14965,2333.82488,2031.91354,2637.89988,1824.79995,2857.62705065619,2903.28402338,2442.45905,1636.96848333333,1387.95119,1355.12345,1412.96844,1989.0606615,2384.5715,2729.48787,2471.29080333333,1066.13109,1303.1078,1414.81464,2826.5332,2398.275435,2586.75075061666,2172.9659704575,2493.5187,1407.5454475675,1656.38070454135,1614.046795,1684.72247058631,1397.908150125,1330.267464,1967.0547095,2188.53170247568,1780.8124846,1689.9503408,1969.493655,2160.6819673168,1397.64902333813,1736.11862839127,1638.09051,1924.2020553,2463.64731,2833.31930128748,2378.49255797,2701.18215139753,1606.59733,1981.58487279577,887.002530190648,1335.24352333755,2756.37754013871,1994.05026914525,1923.12193292216,1591.36677744081,1623.32909183554,2190.6934640609
"CA-Ca2",2864.79835355949,3627.886431,4015.39624544444,888.0088395,752.991603583334,1984.52826211111,0,1240.84746927211,979.1915798685,1006.07255855555,941.917483999999,791.541624275555,1617.99679755611,802.326904881686,872.879420157932,791.505432109199,852.729531774857,691.573064,619.111305111111,1027.15318344444,775.405085222223,811.175088444444,1151.49767390444,829.915474,785.048896777778,761.548305722222,1035.0809955,965.461217599999,1203.449618,2357.84667211111,1738.18164544444,1438.55757911111,1438.64068211111,998.185970666665,1194.5831591915,1107.457464,1660.11170155556,1505.89833122222,1190.1886848065,1010.45367451433,731.062342999999,895.025254,960.1374495,1295.955329,759.852155999999,1403.06599084349,2934.15169724167,1927.97889758333,858.843692666666,967.761103059643,890.198827196723,1126.459179,1368.15548455556,1408.54698122222,1360.72596788889,1135.61030511111,2103.52624368333,1056.013566,695.008129761834,544.563650097749,773.676267333334,1605.56286633333,1019.94345262611,963.617676778778,984.696093805557,959.049222861111,1362.74770659111,1283.697888,2139.37136581611,908.924265585263,2321.35140475883,778.343580666667,1732.6921051121,1000.792368,1013.40488166667,1127.35646411111,2082.18004132071,1038.371263,781.967912719,959.975583000002,1107.90671266667,957.749997999999,1368.27078626919,1472.61309433333,1088.31299766667,918.677684000001,918.433577194443,1376.588469475,1502.908421,1685.59825509129,1688.97729459393,1979.84791128907,940.83995462189,1347.87753966667,1145.97961433333,1240.05234622222,1322.73264266667,1026.152229,939.650613292499,1294.17837834,1279.5826649,1032.71563973861,1185.0520239745,1508.89068009317,2137.15793166667,1370.5306006976,1112.658481,1002.90645079922,1210.02480305444,1400.09152822222,913.131332111111,1549.93934544445,1020.85381366667,775.430261555555,1764.93951391016,1446.74596333333,1103.6246579655,2994.51126411111,1561.29802438382,1423.61469025,3125.09891174311,2939.72486766667,1466.90203816667,1667.20062022222,2143.84564344445,1730.51493788889,1466.85598455555,1038.62610733333,2204.56176754681,2289.03891109444,1040.8310064575,967.72702011111,716.218922777777,1402.64047030396,1364.89834623789,970.801344461491,1008.23021716124,1184.93613777829,903.306660211999,947.538598000334,1199.40458383333,1449.63225983333,1014.36339353106,1407.6061465,1211.0845315,1182.59371622222,827.1207536885,748.888457844501,942.005456535499,904.649996510999,1151.765309,851.318291,975.155706000001,851.416644,888.800819888888,1209.81585456809,1252.2140707,1444.05248288889,1348.06769344445,2774.25679855556,1247.27121044445,1162.74837266667,688.321722,803.859482,1010.609314,974.017119666666,1819.394971,2647.81547233333,2674.98052355556,1268.899289,903.700763999999,939.836173113336,1073.9467637135,1273.947547,1223.624973103,1151.56419394743,1147.85944988889,1817.12873296825,2569.78050391667,1572.07204858333,1241.48389275,742.476297692035,1382.61579868889,1442.81311648889,939.672181888891,1000.85724569339,1404.95262158738,1142.28370338055,2083.22718411111,1397.41883702778,1289.072906,1157.59668979326,1100.639138235,1033.48901332426,992.608451333334,657.922922480934,1293.51488246633,1566.82059086373,1162.30522339575,731.409829977916,720.289923771748,1304.92674826285,1449.79712596383,752.979204168479
"CA-Cbo",2600.89106463677,3080.300325291,3535.26873655451,1682.1897787905,1481.118429567,1588.5875452635,1240.84746927211,0,1741.763336645,727.040781611,1666.5104779605,1397.9415544565,953.179487580182,1058.38791348363,1224.61685989895,1124.22790168442,1097.54488494837,1419.422814301,1412.41208989367,640.347967594999,1004.6025415255,1305.8833334415,802.0717630805,1647.1394986605,1139.814254851,1542.05285341684,1922.6482217835,1551.696477984,1182.231970113,1365.8772716895,894.334448800501,720.3105851965,477.4907671925,1181.3772986725,1457.7501846715,1946.0242011385,1019.061087945,1399.1268979725,1987.624931012,1095.4167369355,1503.5396976625,1771.4809636005,1222.570066889,2100.03338067484,1671.7964775915,374.257896237222,2059.06991649584,2181.2659524355,1373.043666359,1559.11588570532,1583.92364942888,1980.7615364535,1110.579950697,1097.2510318065,1140.3533993095,1090.219003325,1421.6529082285,1878.2632008915,1331.0638737135,1275.86213598225,1402.4031669815,907.439788711001,1139.4797509365,1064.0947939405,1043.7762120355,1097.01259831117,821.412456165,2063.57157255,1603.63923591244,1035.43120129807,1308.112512976,1562.6686648415,942.414295869099,1455.261868655,722.943344103501,1259.158519075,916.587106924895,1879.415973901,1579.816319173,1676.914728657,1367.736278118,1827.871702155,1227.73832434683,1486.9199964065,1315.720539181,1674.708836026,1107.08112583,1058.60996702692,956.741415436,604.036971537181,785.972375427248,862.09349837536,1786.66972801826,864.501823784,860.842835070499,933.1304793465,503.348569339999,1864.872580027,1787.945550902,2126.1509969485,2062.363553303,830.277345600499,989.250911646999,645.400264691,1894.2813859115,1320.30386525896,1065.000538704,962.0657661715,1124.277523598,1236.732598061,1503.277991136,1435.181866312,1435.431357223,1200.600757915,725.917828958506,507.619343423,1791.951551152,2121.02036302,1618.16603533261,920.0592424215,2322.451689358,2090.1449411395,1051.750456142,874.102005111501,1613.521204158,1286.033552163,1136.6552323965,912.236916641499,965.125611045662,1970.31610587,810.2509466995,1138.0893512405,1494.293103167,851.964486810594,886.717831552526,1533.70306591985,1097.50493306687,762.059245022449,1518.610039653,1077.839761119,1079.53170117,856.362869872001,853.4469109495,931.445201198,1096.3219184475,777.0176273485,1600.6546078595,1433.118539578,1233.5934375385,1704.8706569705,1979.018268876,1446.6308364735,1344.574401946,1733.917165541,1073.292772549,2025.55610438141,2064.209657242,1316.30193257,806.766623840333,2198.6088136535,496.674296865,1247.759735861,1401.5581459625,1595.5220974,1853.488678019,1728.88775610033,1631.845337642,2097.520439935,2116.586894448,2081.9979002335,1635.9560410225,1756.82571689283,1592.733289325,1903.354832761,532.914903922,594.73415488465,1220.76403443,820.566873967071,1782.5584017035,727.438428088,973.2917903785,1314.4564617162,452.013962724,457.059764317,1122.6356401865,1429.71334279638,1409.07577387791,1344.00090374286,1033.576462078,682.6848545965,1868.660707834,1981.04444409812,1816.5234770685,1850.46542980522,807.4578990425,957.513857245308,1276.45093602633,836.70649130761,2000.42877625647,1138.54699152707,1114.71197911613,528.215610586278,552.67774217111,1370.94757627692
