"","BR-Npw","BR-Sa1","BR-Sa3","CA-ARB","CA-ARF","CA-Ca1","CA-Cbo","CA-DBB","CA-Gro","CA-Let","CA-LP1","CA-MA1","CA-Na1","CA-NS1","CA-NS2","CA-NS3","CA-NS4","CA-NS5","CA-NS6","CA-NS7","CA-Oas","CA-Obs","CA-Ojp","CA-Qc2","CA-Qcu","CA-Qfo","CA-SCC","CA-SF1","CA-SF2","CA-SF3","CA-SJ1","CA-SJ2","CA-SJ3","CA-TP1","CA-TP2","CA-TP3","CA-TP4","CA-TPD","CA-WP1","MX-EMg","MX-Lpa","US-A32","US-A74","US-ADR","US-ALQ","US-AR1","US-AR2","US-ARM","US-Atq","US-Aud","US-Bar","US-Bi1","US-Bi2","US-Bkg","US-Blk","US-Blo","US-Bn1","US-Bn2","US-Bn3","US-Bo1","US-Bo2","US-Br1","US-Br3","US-BRG","US-Brw","US-BZB","US-BZF","US-BZS","US-CaV","US-Ced","US-CF1","US-CF2","US-CF3","US-CF4","US-ChR","US-CMW","US-Cop","US-CPk","US-CRT","US-CS2","US-Ctn","US-DFC","US-Dia","US-Dix","US-Dk1","US-Dk2","US-Elm","US-EML","US-Esm","US-Fcr","US-Fmf","US-FPe","US-FR2","US-FR3","US-Fuf","US-Fwf","US-GLE","US-GMF","US-Goo","US-Ha1","US-Ha2","US-HBK","US-Hn2","US-Ho2","US-Ho3","US-IB1","US-IB2","US-ICh","US-ICs","US-ICs","US-Ivo","US-Jo1","US-Jo2","US-KFS","US-KLS","US-Kon","US-KS2","US-KS4","US-KUT","US-LS1","US-LS2","US-Me2","US-Me3","US-Me4","US-Me5","US-Me6","US-MMS","US-MOz","US-Mpj","US-MRf","US-MtB","US-Myb","US-NC1","US-NC2","US-NC3","US-NC4","US-Ne1","US-Ne2","US-Ne3","US-NR1","US-Oho","US-ONA","US-PHM","US-Pon","US-Prr","US-RC1","US-RC2","US-RC3","US-RC4","US-RC5","US-Rls","US-Rms","US-Ro1","US-Ro2","US-Ro3","US-Ro4","US-Ro5","US-Ro6","US-Rpf","US-Rwe","US-Rwf","US-Rws","US-SCd","US-SCg","US-SCs","US-SCw","US-SdH","US-Seg","US-Ses","US-SFP","US-Shd","US-Skr","US-Slt","US-Snd","US-Sne","US-Snf","US-SO2","US-SO3","US-SO4","US-SP1","US-SP2","US-SP3","US-SRC","US-SRG","US-SRM","US-Srr","US-SRS","US-Sta","US-StJ","US-Syv","US-Ton","US-Tw1","US-Tw3","US-Tw4","US-Tw5","US-Twt","US-Uaf","US-UMB","US-UMd","US-Var","US-Vcm","US-Vcp","US-Vcs","US-WBW","US-WCr","US-Wdn","US-Whs","US-Wjs","US-Wkg","US-Wlr","US-WPT","US-Wrc","US-xAB","US-xAB","US-xAE","US-xAE","US-xBL","US-xBL","US-xBN","US-xBN","US-xBR","US-xBR","US-xCL","US-xCL","US-xCP","US-xCP","US-xDC","US-xDC","US-xDJ","US-xDJ","US-xDL","US-xDL","US-xDS","US-xDS","US-xGR","US-xGR","US-xHA","US-xHA","US-xJE","US-xJE","US-xJR","US-xJR","US-xKA","US-xKA","US-xKZ","US-xKZ","US-xMB","US-xMB","US-xML","US-xML","US-xNG","US-xNG","US-xRM","US-xRM","US-xRN","US-xSE","US-xSE","US-xSJ","US-xSJ","US-xSP","US-xSP","US-xSR","US-xSR","US-xST","US-xST","US-xTA","US-xTA","US-xTE","US-xTE","US-xTL","US-xTL","US-xTR","US-xTR","US-xUK","US-xUK","US-xUN","US-xUN","US-xWD","US-xWD","US-xWR","US-xWR","US-xYE","US-xYE"
"BR-Npw",0,33934.38716,31415.59793,58110.7418204999,58064.530352,68450.7954666665,54725.009295,63106.8541187219,57717.8296049999,48104.690505,72299.8350265,48530.293597412,51591.1614449999,63512.6017599999,68287.17184,65526.6625449999,62791.507485,65470.19592,65410.2109,66484.2674400001,58544.156755,60126.607195,60625.24077,67053.9113040176,56637.724165,64286.407235,72790.5915349998,61871.535195,59854.089085,62160.96531,60249.3398081785,60406.0808704704,60566.46294328,52514.04793,55377.555245,52460.8712399999,49413.59474,52216.05467,58838.51834,30177.2726896215,29344.90733,36666.811075,37394.8042750001,31465.2585493396,53578.7842893999,32406.26971,32957.75829,30717.45913875,96583.55598,34928.66537,45508.561485,38924.5081689999,37804.2560585,39057.481635,37133.055295,40279.016295,78632.6074900001,81067.85001,78705.894395,41604.871085,44619.8519899999,39278.878715,39194.728375,44324.991105,101921.78623,79220.6480464997,77564.8322294996,77484.9228649998,43544.184955,41525.1812499999,55682.9026911251,52602.8233642188,58378.0568300334,54976.8819246,35845.099235,32899.752075,35971.12902,35358.52678,47425.3149709999,44278.8464774499,40688.6093950001,55851.799049591,37355.65266,40312.487145,30941.468695,31923.55675,27713.868335,77533.7269080062,29725.9589000001,80367.543378041,35417.995655,44368.60914,29352.188575,31677.355045,35937.27837,34012.76456,36200.4964142501,49099.3545949999,35586.9875100001,55546.98464,46703.068465,52301.0452773131,79787.6980631473,50195.3371149999,50195.3371149999,41223.29418,46663.1872949999,82641.8287249998,84062.1161524999,86691.2310949999,88142.3565803901,35833.98436994,33209.894506875,37792.9202074924,34379.25983,35429.61919243,29333.9386,28260.4042645932,43349.63199,32216.41278475,32244.010868288,46985.7122349999,46011.2216249998,52904.293105,46864.92854,43852.9780949999,41570.7176016,38961.1392735485,36079.2629900001,56954.7289449998,36315.15372,39630.063626825,34652.28244285,34042.7531655,32680.1450025,36496.20407,36047.755,36267.584815,36545.62983,31565.71576,46761.13657035,28073.56848116,41329.1042159915,34345.975265,81539.8149909999,55106.8614761587,54848.8045665626,52965.2825730325,58378.0271059499,53220.134075,41799.338984,43027.6679449999,44890.669205212,47579.906258935,46076.526671195,44671.84469302,47177.7331309499,46733.6064425174,84617.3811602126,44444.5757849509,42130.9154794,44576.5638774999,33611.873195,33801.269985,33078.18413,35079.00054,37707.7241,35622.5578318501,35983.97946611,43518.76393,37024.26305,28286.392085,41024.2755649999,38576.435745,39169.0510295,40466.5655805,34657.866385,33979.205595,33898.27301,30858.3295,30733.36177,30658.932995,34450.344305,35025.1619150001,35107.904555,39195.71166,32827.16675715,40626.6509999999,48337.0028299999,54788.211285565,39256.6605925,38532.3492105,39272.338514,39103.842323,39977.788991,38205.492079,81519.0705646346,54323.3198769999,54580.8777083,39853.29985625,34798.524948,32505.04057798,32359.4348005001,36785.751695,52437.2172297099,35620.345805,36368.4374,35314.3740914001,36369.8345675735,32248.502385,50549.6443116499,57646.5869949998,61056.536825,61574.3689849999,33123.687415,32802.001865,41097.14713,40845.58632,85709.5556016666,85186.8907816667,50292.81111,50845.93939,31989.6203233333,31875.2163666667,35571.8757783333,35019.977635,47253.93381,45814.9858300001,80178.8096400001,80246.785235,36767.317,36296.924155,28901.67705,27271.08043,41578.68975,38179.482515,49768.1487583333,48443.0093983333,32032.78755,31311.92832,37639.62961,37627.4968299999,37455.90806,35727.96527,36163.64353,34888.0574866667,37550.4334,37698.87346,44099.573435,43775.23416,47256.09605,46574.435535,32520.270955,32435.076825,37433.6463716667,40272.033485,40477.9164699999,36073.7824133333,37184.2129266667,35886.914245,35405.14675,34990.8309266667,34682.5645266666,56225.1267300001,54423.41459,36026.1522416667,35647.1122533333,38180.9600099999,36490.923945,87195.7478249999,87099.3564816665,54297.298195,53584.35763,40295.44618,37742.351495,55600.2626316666,55813.2929866666,47504.2421133333,45534.9847283333,54252.7208233333,54069.4787666667,44000.6986016667,43539.632875
"BR-Sa1",33934.38716,0,17227.3366,43471.7400215,43724.9211785,44818.0745666667,40072.1821600001,46265.387486807,37628.25425,35929.66725,48501.4156259999,36198.5739653751,33923.493325,46024.559075,47578.6172500001,47710.427025,45124.886575,47102.7063249999,48056.2459749999,47596.92815,39333.374325,40458.3194749999,39850.718375,44569.9028048924,40484.1391000001,43851.3793249999,50853.82586,43034.991025,41521.258775,43857.5547999999,40118.9794932765,40362.3034013734,42059.8000417499,36047.457,38042.1126,37480.844475,37686.950025,40667.44715,41476.3225249999,32107.9772517332,29303.2250999999,35864.7119249999,34304.3052749999,31482.9585336568,36541.5984034,35743.0702249999,35772.707025,32120.48163175,70781.438025,44237.370525,32502.839435,39704.9101125002,39901.6418805,33356.6808,30601.78005,30888.7517249999,55012.838125,56049.592125,54553.6210000001,30156.607875,31848.091175,31345.6125250001,30731.238925,31670.8501000001,75539.8124999999,53668.8869715,52119.95346,52654.944225,29967.264375,29592.3336,38052.1355015192,37217.3469625911,38452.2276605724,38805.1182305172,31136.219075,41961.30977,39411.3979,35249.3690999999,35730.6828205,34153.7314009,38189.576325,39584.7013736673,37702.072975,31530.92265,31117.69665,30756.79035,27569.43615,54430.4393569835,25839.604275,57163.9387411206,43575.3049,32502.50835,31060.5084500001,33672.383125,45357.2713249999,40849.38945,31736.9142495,29921.043375,31859.7415,35070.739425,34503.32965,37529.2357074307,62770.4911664466,33805.3554,33805.3554,31925.4536,32205.311575,57522.6289499999,59350.0220291667,61380.8707,62668.5790120399,43756.740821846,37155.268533955,30271.37919076,29320.17939,30370.68635459,29325.0141500001,32745.8068215095,35733.0382,31685.4822555,38576.168302747,40359.88304,40387.44545,44594.0728000001,37936.1857749999,37209.171345,31101.0604973,31858.7445074265,43385.7513923,41080.72645,47218.217965,36851.1829317,28461.9872489499,27539.1484209999,27322.621607,31709.6094500001,31695.91435,32031.727275,31540.818725,29477.1248500001,35141.17736386,35766.03088347,34518.477261831,32264.28055,57301.8533985,39117.8411927212,38719.5524015625,39649.860314505,41024.1769809749,39331.323,35738.626276,36282.63145,32417.2174005705,32995.27980831,33990.886063705,32294.7041906,36088.0638973,35364.914230305,58323.3119315308,36662.037065574,34233.59582275,36550.3830445,40781.228175,42109.0251249999,39811.0765999999,44772.352425,34759.069675,41049.98799845,42277.4576855,31540.96685,33367.1558,29918.46195,30809.124375,37468.19695,39587.395933,41937.002367,39818.819175,39746.729925,40496.5872000001,25906.314525,27496.119,24967.079825,45771.680175,44124.614575,44210.2349750001,40442.023495,39340.31320835,30663.7173,30201.712875,39514.35672439,37495.207175,40618.026798,40479.5266759999,40895.345559,39339.5001690001,39408.5767445001,56948.657962092,41890.5139656001,41927.8429977999,39993.62280825,42262.7365529,35335.41125532,37420.0334035,28996.28025,34891.77305206,40998.8968749999,44905.95395,42792.2082027,46025.4088248036,34132.7715,36535.050229825,41396.266075,42860.45125,42251.7320999999,34045.0353499999,33834.19315,29621.57645,30177.4528249999,61356.9027750001,60625.7804999999,35374.5473999999,34436.532275,32333.5517416666,31554.569125,33360.59795,33057.665,36793.1114249999,37084.40025,54786.1081250001,55417.6208500001,32846.4922249999,32875.89255,32707.366325,33035.8323499999,30686.004375,29132.7221249999,33407.76705,32814.364025,29788.3430499999,28927.246675,44551.24755,44756.639,31336.9396,29736.7997249999,30013.0093583333,29461.8969250001,40639.2814,40877.0469749999,32212.565,31079.05195,37046.6164750001,36302.662825,29861.9894,30440.1477,30174.1479916667,30803.099925,31166.648575,37522.7174333333,38693.7431666666,37204.0352999999,36470.3517500001,43877.7256583334,43528.507475,41775.2650499999,39954.6448499999,32858.1960916666,31396.3693166666,40943.345275,39756.9523999999,62177.3261083332,62005.4355999998,40782.0335249999,39363.0783750001,32450.678225,30385.085925,42236.473875,40603.5755999999,37904.3116916667,37180.3966750001,40768.514175,40340.8319416667,33323.0139416667,32907.6744583334
"BR-Sa3",31415.59793,17227.3366,0,41713.6165625,41931.324887,45883.2323350001,35522.359155,44183.7829119529,38593.4504999999,31462.896,50779.3388185,33346.4852027229,34094.2269999999,44856.7570000001,47392.646,45989.211,44229.383,46489.6199999999,47163.812,47012.6315,38804.517,40785.115,40260.953,47105.2432343775,40007.602,44034.5685,52143.1553549998,42721.4045,41112.263,42866.041,40225.7567657945,40907.3505013005,41986.021814735,34049.848925,36444.2925749999,34904.51745,32416.2215,35380.4605,40053.3765000001,28829.7068767276,27854.80185,31722.491375,32679.3135,27860.6133648288,36207.9078858999,30876.6445,30385.4974999999,27572.49673225,73693.9611749998,39180.162,30003.5039,32485.768114,33732.696775,26921.9565,25819.4539999999,26820.863825,57274.2190000001,59089.9355,57056.7285,26837.7395,29767.5315,26494.1955,26060.9445,28606.81075,78997.1881500002,56980.4735164999,55164.2777854998,55336.3377499997,26381.965,26939.3935,36793.0473786235,35573.5247417073,38341.6414874619,37028.5443084879,25928.2125,36641.11561,35440.119,29489.4225,32632.8920795,32228.31463485,31284.4174999999,38331.1911996994,34254.1014999999,28947.643,27413.414,26791.907,26391.61,56776.3158964973,24606.2425,59068.2241029814,39095.01,29345.4595,26711.355,30803.3375000001,41117.8195,37500.3165,28183.10130725,29989.858225,28995.373,35454.793,30131.49115,33974.010943896,62933.7076828784,32583.4415,32583.4415,28634.921,30559.102,60637.0625,62089.5618958334,64442.4599999997,65680.00518658,37708.314386956,33224.236882507,26359.405017789,25159.20653,27076.149950035,27377.763,29289.5554391265,30424.7675,28301.6818705,35151.260087543,34129.44176,35308.45,40213.9405,34267.374,33307.639245,27837.6019418,27030.3008053645,38821.6743296999,38617.4565,44445.0097149999,31672.566639725,24722.26430575,24281.387499,25797.2472205,29351.714,27772.6165,28021.7615,27302.9615,26666.173,31714.1830561,30318.3165458,29969.8215743485,27929.2875,59527.9704535,36567.1003169413,36417.6479015625,36312.4344494813,39542.248991625,36805.286125,28966.564564,30973.424,28789.0170085325,30364.07128202,30833.611032165,30223.770179595,32426.7316611505,31862.173887498,62257.0633404911,30926.547232863,29139.03724575,30505.3646755,36452.442,37765.3895,36768.595,40095.7995000001,30199.0104999999,36062.45545995,37334.1371685,28299.2395,28204.772,27305.5695,27317.8885,31201.292,32739.9623165,34836.4796855,35472.591,35022.065,35997.1765,25303.5125,26353.1095,24774.812,40228.2690000001,40112.70145,39342.5717999999,34266.42387,35859.7080881501,26458.02675,30071.3245,37661.74981416,32467.7976999999,34302.3911325,33965.5929295,34478.480257,32644.7237155,32576.636365,59459.5097745116,38028.6634402,38347.9115303,34317.12238475,39327.6337360999,31864.38602287,32669.1523805,25702.008,33573.27292434,36371.499,40871.6434999999,37544.6540719,41160.386752588,29577.336,34301.240092575,39320.227,41789.2115,41745.4585,30950.1165,30447.537,26689.775,26200.034,63995.2248333333,63507.7173333334,33206.7179999999,32615.2015,27610.1946666667,27348.0188333333,30714.3791666666,29905.6648333334,34489.6775,32931.9095,57424.672,57961.9679999999,30460.75,30233.3485,28246.9925,28758.261,28313.8995,27425.255,31698.3155,30675.1993333333,26781.7655,26071.611,39646.356,40197.141,27518.9065,26659.805,27013.0776666667,26476.4668333334,37334.7365,37370.1469999999,30183.465,29632.072,33930.7185,32905.0105,27218.4915,27146.51,26897.7136666667,26825.2135,26990.1695,33345.7115,32763.6283333333,31957.383,31074.3755,39835.4258333333,39456.2221666667,39542.9519999999,38239.331,29696.2193333334,28365.5978333333,35332.573,34279.374,65155.6301666667,65029.2810000001,38357.5115,38212.4,27765.481,26617.6015,39599.5261666666,38547.798,35071.4121666666,33052.8611666667,37793.5503333333,38642.2173333333,30077.507,29496.1031666667
"CA-ARB",58110.7418204999,43471.7400215,41713.6165625,0,4486.2204275,21993.4371955,20096.11926,20112.702748777,16091.0058105,23500.6830415,21860.926866,19852.1972762554,21504.623876,16888.863043,19499.9495125,18145.842754,17241.2681055,18088.909898,17895.4032595,18552.6704444999,16245.69019,17061.1869785,17573.920424,19170.5425046424,15363.3027865,17035.8702665,21784.769406,18115.6783665,18450.9434019999,17740.8135465,17200.1768900255,16874.9963881315,17269.46148108,20569.14984,18555.441272,19789.3497585,23278.8117289999,25599.148623,15677.1534465,42895.4881157184,42636.6766994999,42838.0647655,46047.43106,38924.9356451607,18078.62090745,48468.579575,45816.977095,43367.41040025,41077.914147,58301.5082439999,21743.116302,43806.7874715002,47139.2189465,29419.1946715,30457.14767,29867.3762504999,25695.4108629999,28012.3113450001,25717.2775415,25318.8599535,25823.0422505,29164.6167280001,28836.224836,25316.744588,45651.2995385,27054.772326,25228.041477,25421.5363975,24326.277156,23262.576499,18620.2771320339,19348.0248780223,19683.6920910717,19239.6840381093,33750.2357955,54271.201632,49126.6389265,39737.0994439999,22258.624346,24243.412548,32947.408188,19504.1203823048,46747.4942645,24632.0721295,37077.0162230001,36158.699648,40773.9182105,24597.2955413795,37365.2310895,28183.8225739839,57058.703295,21952.5158685,43217.7544879999,47391.7706074999,58994.2964524999,53797.1041615,35417.159531,21964.5182155,35438.987524,19163.9052135,25103.0712989999,23217.3813562698,33087.1982507739,23134.952065,23134.952065,26127.725085,22257.922706,28656.037936,30011.864686,31885.1469275,34110.41086353,56775.143109336,49663.37790555,34636.4524321651,32117.038703,34686.825803545,40720.6563119999,47347.0734833944,24406.9507075,41193.121131,51386.971319152,29600.0552475,30270.7514395,28384.6236445,24103.672184,30753.72064,25419.21481265,31815.679787944,58046.539075,22221.7201815,61052.97074,39755.0198074,31598.8063053499,30728.7880844999,32216.073186,31688.36651,34288.2571285,34978.678597,33784.395358,39089.36437,21627.75908531,49290.7839396999,28459.7682835155,35304.400517,29017.695273,17104.2509896512,17851.7017223,18615.6123739275,18362.338576375,18451.301763,30261.945845,31446.5899015,22105.0874394705,22544.61789139,22775.989134403,22055.61212355,22277.3769779,22306.765721229,30786.2106622833,28754.184926628,30080.30192345,28086.012229,55767.7412255,55933.0208204999,54868.1700609999,60023.1460970001,34363.189093,53219.969924675,56019.30435272,27078.982166,35784.8968455,43758.4279055,22751.0763885,41531.445389,44311.1683325001,46643.2304599999,55441.9573075,56016.7479405,56321.728954,35247.3494745,35601.016514,33981.802786,59773.3493159999,58748.8428315,58667.4930545,42919.1139695,53336.5011059,26302.0480605,20769.8733145,18575.8939040699,40400.343639,46006.2050790001,45596.0475199999,46689.1277230001,44993.9199080002,44673.7620345002,28727.04174714,19771.1881273,19742.0507712,44167.738102,56353.8339409,48509.73457932,50587.7182475,31746.5579215,18211.01494246,47929.1209405,59477.800741,57137.3003651,60572.1034298166,43561.7904505,21066.82595615,22047.363598,21842.7360259999,22662.988261,45615.7156284999,46132.7956934999,27566.124924,28441.7164534999,31837.2535355,31739.0612141666,22810.4820199999,22551.28646,44050.5182935,44598.3541056668,37751.9477805,38314.3294751666,22386.8297575,23160.6508155,26515.5340609999,26900.969494,37049.975131,37424.8650169999,45561.5441899999,45556.8852344999,26369.4818225,29341.8642609999,23259.856918,22465.7753433333,40364.224047,39868.7996014999,58398.202079,59487.811516,32925.221946,34252.0724765,34025.1225016666,35934.024057,50674.8448245001,51055.1225319999,24023.894638,24228.3206185,21831.868149,23118.3772529999,39417.4288865,39839.0325339999,30718.8186626667,28233.9294135,28474.306486,43826.0514118334,44767.2043741667,45890.9398514999,45478.9460495,57876.2014750001,58369.8405576666,18515.2826599999,18758.632012,36117.8198695,36493.782362,50498.2802925,50725.6332735,32911.4618235001,32540.5767233334,17757.731316,17895.927772,30975.367752,31333.0024705,18543.1368121667,18310.458264,23016.5631195,23311.8080418333,22851.975624,22703.6854339999,27296.0023013333,28437.917296
"CA-ARF",58064.530352,43724.9211785,41931.324887,4486.2204275,0,22073.486567,19423.5300034999,19988.225950777,16129.6970965,23307.2831205,21806.4099835,19692.1717029054,21596.8567985,16629.7617145,19125.193412,18312.294421,17098.208896,17803.061923,17902.1075865,18818.2417424999,16284.456504,17163.915589,17551.138339,19194.0006105674,15117.001352,17161.5988515,21739.921178,17809.2113505,18044.8579245,17682.629895,16847.1817260015,17322.0133627215,17432.84618626,20084.3887815,18087.395553,19167.169753,22956.1069419999,25226.21899,16143.215885,42541.6930162025,42824.4979619999,42873.7087189999,46428.7734239999,38890.4345761126,17968.52250645,48484.3197175,45810.207306,43270.89879475,41217.1173174999,58584.5310404999,21603.865948,43215.4035025002,46409.1383219999,29533.074483,30439.295034,29907.7985724999,26094.1480009999,27864.1011325001,26099.1863715,25167.054262,25996.7034765,29030.5792135001,28743.2914515,25454.2121805,45476.7200675,27205.014432,25542.4315605,25652.59531,24090.140053,23746.741777,18952.6458770463,19831.5890547347,20272.2540844127,19896.4241326513,33353.4580085,54120.767464,48821.1643195,39434.3338604999,22214.018717,24128.06104305,32205.2057485,19537.3835936881,46622.6401615,24256.2833755,37265.5256140001,36421.5838895,40515.7740785,24493.8411978965,37430.3007735,28181.3045598979,56657.481592,22239.9137725,42975.4866979999,47111.9524929999,58830.8795274999,53358.562622,34948.24748475,22243.3087355,35257.8550095,20030.0720275,24276.584138,23609.0974949698,33092.2504151036,23080.716072,23080.716072,26180.740505,21907.539141,28929.706579,30036.9445943334,32044.2457804999,34016.23258599,56487.2130098361,49592.8669290175,34157.7709461646,31706.5828064999,34311.96199842,40683.797222,47006.3246584944,23752.7887915,40804.170091,51355.895550852,29156.4097695,29991.473792,28100.302764,23715.4975985,30507.9287945,25228.0760614,31520.970008424,57936.6419473,21573.680353,61265.6324985,39725.6248335,30959.2565498499,29975.2644684999,32427.4643510001,31675.9743625,33996.7575975,34655.843424,33435.343354,39299.9161025001,21587.74675512,48573.2973031999,27976.290007071,34875.9075675,28820.714958,17470.3217401138,18472.7820245625,18774.397157385,18442.317816125,18323.8640335,30167.846533,31588.721134,22472.0549046105,22243.86950199,23044.520472515,21947.10244305,22566.0565107,22523.225400423,30212.5663119978,28453.741914565,29973.3156541,27858.922776,55627.2188644999,55912.2146679999,54858.2964954999,59861.4490780001,34391.4563365,52919.456215775,55802.6742605,26850.4811855,35707.2921695,43429.7267285,22764.2087035,41170.3614995,43905.4518365,45964.9667155,55056.093748,56008.2206044999,55723.198341,34887.107949,35700.6604695,33979.3644665,59435.8518579999,58199.840633,58099.7264545,42335.2751955,52665.2034403,26369.8069675,20793.6940135,18632.9989210199,39943.51574,45741.7890195,45105.1120949999,46193.4528415,44421.0284060001,44389.1133480002,28519.915368183,19080.741468,19349.1194927,43752.5726205,56191.4502828999,48163.90120682,50655.4549625,31874.219424,19018.98062946,47585.9739714999,59449.334809,57268.6452365,60489.7807652226,43469.405473,20710.95691615,21578.651504,21557.2432609999,22441.973717,45919.2525409999,46309.5695849999,27470.189617,28305.9963174999,32006.2498385,31771.130372,22596.5428929999,22514.7879964999,43663.6077318334,44035.0008355,37084.4653791667,37672.8553413333,21677.589633,22660.4527285,26390.2844049999,27051.2741485,36534.169364,36781.8288855,45349.1408955,45345.0627075,26108.9222195,28964.4124649999,23011.7021618334,22608.7266723333,40533.763997,39955.869049,58302.851808,59298.0026735,32982.729127,33937.557596,34512.7539158334,35561.4425280001,50750.2636494999,51032.5486884999,23835.9619405,24233.214007,21757.1452235,22883.9942349999,39028.832573,39263.8626399999,30715.4892971667,28435.8232335,28808.327355,43482.1406273334,44576.7248960001,45957.4416159999,45713.4461235,57429.4134105,57888.963103,18086.945532,18181.913533,36221.9297776666,36407.7974915001,50220.1809655001,50782.310294,33132.4513098334,32943.0790301667,17633.3623005,17658.8558640001,30956.306103,30869.5572105,18451.7708956667,18536.0433175,22455.6773908334,23196.5920535,22872.0179448333,23213.5528709999,27168.1756628333,28828.2970695
"CA-Ca1",68450.7954666665,44818.0745666667,45883.2323350001,21993.4371955,22073.486567,0,21067.8153466666,16132.5924174753,17896.7816316667,29726.0906333333,14971.3661516666,25403.0978383029,24790.9278,19844.7189416667,19278.8039333334,19694.3873583333,21124.3821166667,19702.9299416667,19176.6098583334,18023.0960333333,18859.0971083333,17398.70254,17351.3161066666,19358.4405618857,21772.5397,18752.89887,17012.1084116667,18381.4769516667,19836.323885,16784.899555,18019.5928009624,18320.8613487668,19120.5465662117,22655.0838083334,19886.769325,21657.88604,28994.0000016666,30000.952415,17645.8007366666,53860.2918768274,55437.3233066665,53536.37901,55931.8910099999,51308.0664273217,23106.3567882333,59932.6212333334,57506.4296,54206.4068925834,31052.4901316667,73922.8414849999,28205.3099299999,55877.7696976668,59124.5223438332,38444.3816866666,38869.2293699999,37834.161925,19372.6456566666,19972.0270383334,19442.8810583333,32762.919965,28756.43412,37058.66925,36042.6922499999,29734.6322166667,35186.1605966665,18866.8042698333,17593.1940611667,18960.6443383333,29199.3279833333,32852.24905,22262.7645860605,23624.191705407,19322.2065269394,22162.6584199551,44818.2123833333,69170.4360466666,61959.27405,50523.3614199998,29012.029751,30582.7476702333,42387.9129033333,21437.891178038,56882.7069166666,31043.6149666666,48683.7325333334,47475.8353166666,52619.372215,20700.3254448682,49764.0837166667,21331.5266521939,71878.8331183332,29590.0243333333,53058.3492216665,57656.5841833332,73910.7321333333,69165.5423833333,46947.8779931667,22596.4380416667,45268.3053499999,22787.0567833333,30438.2336699999,25244.0181184856,28252.2092302718,27073.1028,27073.1028,35172.1009666667,29234.6878833333,21492.0479383334,22420.8230608334,24832.87489,25855.4567730601,70714.1160746541,63098.7932294451,41680.2043258415,42354.3277749999,43437.5185244233,52984.5849199999,59823.8626366307,33417.3294666667,53975.3886113334,65173.2047000187,38340.0540933333,39982.9675983333,32697.00297,29051.1979683334,40699.38558,33424.5764207167,40986.540080756,71866.1973389999,21531.8465333333,77803.4432983333,51317.809996075,43367.0516726499,41575.5447278333,43116.2298651667,43854.4403033334,43795.2715816667,44453.7270833334,43071.7894833333,51515.2929683334,28455.1632155217,63236.5011029449,38636.5628297432,45074.61345,21649.666439,21978.4691553533,22399.7724522458,24591.1561399995,19761.389861525,23574.3008966667,39020.1388076667,40390.8273,27591.1303599038,24314.6900276117,28849.5735143208,26345.7243594833,26337.6337151328,26864.3305718105,21697.0146878878,36724.4216697895,38068.3368844667,36412.7295326667,69314.7662649997,69104.2908533333,66676.3441849999,73614.9600983335,45201.1999566666,66758.183207675,69633.147163415,31197.5310833333,45063.92585,58001.686615,30384.76095,52457.13344,55870.7159525,58454.5398214998,66839.1707833333,67958.1056166666,69422.3093483332,47586.633515,46660.1049333333,45200.5846833333,74464.5614333333,72373.2627,72506.6875183333,54824.8608249999,67391.4198123833,33921.9061499999,23859.4346333333,21868.8144560816,52131.5309166666,58180.0750313333,58343.9516558333,59346.3329055,55965.0601805001,56826.3296206668,20264.7122698254,24892.1588721,24727.5302447833,56203.47520925,70717.573194,61711.0354819701,64169.6458973333,41077.3445999999,21836.0722838067,60330.4513500001,74666.6733833334,71386.5355557334,75495.3138023154,54502.9435833334,24762.25780255,19841.1935483333,17433.9035833333,18386.1609216666,57941.4386333331,58524.6330833335,34612.3327533334,35611.8210049999,24986.0914716667,24249.8131383334,27143.6544566665,26336.9884566667,54170.3775,54807.6684166667,49519.5078599999,50317.8911933333,28546.0354833334,29989.7443733334,18901.1017566667,19158.790185,46337.9354833332,47103.9360833334,58619.1446333332,59023.4604666666,33194.0716316667,36692.8633333332,27250.8008833333,27856.7983833333,50982.4082500001,50603.8194000001,73175.9419649999,73889.7301799997,41532.1730833333,42463.9983333333,42147.5884499999,43556.8112833334,62394.1753549999,63035.679855,30120.6295333334,30039.1607,29374.8101350001,30972.3452349999,49920.9512533332,50491.5417533331,39000.2149116667,36018.9407949999,36651.9964916667,54707.1068533335,57028.5572699999,56425.4024199999,56392.5750199999,71031.4938883335,71636.1453833332,23101.1977783333,23731.6106916667,45115.7607200001,45108.5998866667,61463.9701066666,62060.1148383332,25429.2011916667,25472.7830233334,23041.8982333333,23490.1543000001,37305.260855,37204.7651033332,23095.0658333334,22044.6233166667,29454.1981016666,30265.5787016666,24871.51335,24580.1054816667,30936.68815,31627.0714133334
