"","BR-Npw","BR-Sa1","BR-Sa3","CA-ARB","CA-ARF","CA-Ca1","CA-Ca2","CA-Cbo","CA-DBB","CA-Gro","CA-Let","CA-LP1","CA-MA1","CA-Na1","CA-NS1","CA-NS2","CA-NS3","CA-NS4","CA-NS5","CA-NS6","CA-NS7","CA-Oas","CA-Obs","CA-Ojp","CA-Qc2","CA-Qcu","CA-Qfo","CA-SCC","CA-SF1","CA-SF2","CA-SF3","CA-SJ1","CA-SJ2","CA-SJ3","CA-TP1","CA-TP2","CA-TP3","CA-TP4","CA-TPD","CA-WP1","MX-EMg","MX-Lpa","US-A32","US-A74","US-ADR","US-ALQ","US-AR1","US-AR2","US-ARM","US-Atq","US-Aud","US-Bar","US-Bi1","US-Bi2","US-Bkg","US-Blk","US-Blo","US-Bn1","US-Bn2","US-Bn3","US-Bo1","US-Bo2","US-Br1","US-Br3","US-BRG","US-Brw","US-BZB","US-BZF","US-BZS","US-CaV","US-Ced","US-CF1","US-CF2","US-CF3","US-CF4","US-ChR","US-CMW","US-Cop","US-CPk","US-CRT","US-CS2","US-Ctn","US-DFC","US-Dia","US-Dix","US-Dk1","US-Dk2","US-Elm","US-EML","US-Esm","US-Fcr","US-Fmf","US-FPe","US-FR2","US-FR3","US-Fuf","US-Fwf","US-GLE","US-GMF","US-Goo","US-Ha1","US-Ha2","US-HBK","US-Hn2","US-Ho2","US-Ho3","US-IB1","US-IB2","US-ICh","US-ICs","US-Ivo","US-Jo1","US-Jo2","US-KFS","US-KLS","US-Kon","US-KS2","US-KS4","US-KUT","US-LS1","US-LS2","US-Me2","US-Me3","US-Me4","US-Me5","US-Me6","US-MMS","US-MOz","US-Mpj","US-MRf","US-MtB","US-Myb","US-NC1","US-NC2","US-NC3","US-NC4","US-Ne1","US-Ne2","US-Ne3","US-NR1","US-Oho","US-ONA","US-PHM","US-Pon","US-Prr","US-RC1","US-RC2","US-RC3","US-RC4","US-RC5","US-Rls","US-Rms","US-Ro1","US-Ro2","US-Ro3","US-Ro4","US-Ro5","US-Ro6","US-Rpf","US-Rwe","US-Rwf","US-Rws","US-SCd","US-SCg","US-SCs","US-SCw","US-SdH","US-Seg","US-Ses","US-SFP","US-Shd","US-Skr","US-Slt","US-Snd","US-Sne","US-Snf","US-SO2","US-SO3","US-SO4","US-SP1","US-SP2","US-SP3","US-SRC","US-SRG","US-SRM","US-Srr","US-SRS","US-Sta","US-StJ","US-Syv","US-Ton","US-Tw1","US-Tw3","US-Tw4","US-Tw5","US-Twt","US-Uaf","US-UMB","US-UMd","US-Var","US-Vcm","US-Vcp","US-Vcs","US-WBW","US-WCr","US-Wdn","US-Whs","US-Wjs","US-Wkg","US-Wlr","US-WPT","US-Wrc","US-xAB","US-xAE","US-xBL","US-xBN","US-xBR","US-xCL","US-xCP","US-xDC","US-xDJ","US-xDL","US-xDS","US-xGR","US-xHA","US-xJE","US-xJR","US-xKA","US-xKZ","US-xMB","US-xML","US-xNG","US-xRM","US-xRN","US-xSE","US-xSJ","US-xSP","US-xSR","US-xST","US-xTA","US-xTE","US-xTL","US-xTR","US-xUK","US-xUN","US-xWD","US-xWR","US-xYE"
"BR-Npw",0,6626.26950000001,5369.942,10513.6367775,9171.06297,13405.3301644,8916.9674019,17887.036649613,8236.628526,12507.397,14682.44545,12471.11789,10098.9524685,15390.5285,20710.4375,18974.2025,16648.721,11374.2765,13428.682,11624.8795,10857.36,15703.601,15023.457,15136.8345,12616.267659625,9909.17050000001,14104.9445,8942.11119000001,16999.805,15314.9045,10968.141,12246.2789358,10285.14015,15320.5498435,12966.16,18549.1565,21895.3115,23193.7395,16044.397,8774.13500000001,29608.750328075,36155.0555,18900.7892,18623.29895,21831.8424513554,10037.08087023,19660.3215,17519.718,10504.3284425,14173.369,21883.025,19588.521961771,9155.56240050001,16750.771821,9171.47500000002,28575.3199999999,18524.4125,12758.635,12219.2165,11692.139,8772.18499999998,10661.455,8949.5295,8745.994,6747.49680284999,12877.5315,10445.24467,13564.9857865,11053.081865,10304.855,24017.0895000001,17528.8543765,14983.7580651,16050.1772273,16094.6126896,10667.3,30441.361459,16048.81,25554.16425,10188.18504,24687.41813735,13057.765,11455.2725545,30170.3875,28856.9125,7099.53299999999,14676.072,9739.496,11129.8719424575,18346.0345,11448.4214886362,29658.2935,10889.01,18153.2955,29864.0285,34469.468,24445.756,41855.9005015,17213.697,6829.09,20552.9545103082,22564.2547,29293.9698795,13158.8159507216,24531.8275,22796.0035,8310.19500000001,9209.38,12543.0825,15544.490304659,12532.8446824135,26957.409265,28687.189551,11029.6066421595,9231.944487708,12322.986472887,20316.909,25003.4483127007,12026.4375,24206.1748595,27993.75272,27927.589405,17866.625,17063.0655,24160.046,19933.1478806065,13647.697538,11588.636109,56519.8912441,19452.393,37382.344185,14484.35034,12089.67434101,13781.109030065,11710.894965,19408.419854,10759.265,11943.46,12761.145,37088.53425,16241.33746364,13100.1952745,8311.54089726299,12853.8115,10333.5723235,12473.4433424279,15525.2918854567,18189.2473521817,9792.6305667768,9266.51799232878,20217.3604051855,19018.766601007,9378.861592,10348.20589,10152.0854706,11081.72169625,10652.7560995,10573.1102045,13293.1030810595,21443.986482824,19253.8974136955,18196.387147183,26115.39,29004.29,36359.425,39752.415,11111.2255,22220.830508604,23374.32673867,9328.87499999999,12917.646,16787.2335,19643.216,21069.185,10758.471677,17068.4401675,44933.577,41664.3810000001,48576.6815,18089.5125,15527.8575,19297.2995,26961.7295,26702.6963,31772.557692274,23563.164818,30678.678373,12180.768,11573.0038664285,17087.0964472,25131.2665,31224.4729825001,12467.8486485,11930.046409,16574.2475170833,17376.618673,10812.3558207785,15852.218318,18192.90573,18871.954805,26726.41398865,46882.690051565,32019.65313377,11533.6615,14544.7662845,10170.38425,24767.1542036655,33671.33692135,22391.7346159335,12428.54,11948.63848,13469.1755,12957.9324436762,20468.5994565802,12795.7125031552,10172.3671268388,15915.3866447319,15361.7791816496,13944.7184595824,13068.3780948058,13254.2195635981,12162.190672345,14743.451071234,15567.496093969,18258.8209051009,11905.5461686012,25076.492281757,8824.4598510056,13707.031545033,15795.0761073821,24042.5091308874,11304.5575958395,34748.8776436845,17618.5531525181,13893.5684785457,19721.9160729719,9161.06382803193,27316.7037602427,12466.5598257254,12335.4093179863,18577.5050603015,12594.8625643468,13099.4819569039,17186.5230448294,14889.6595961756,13012.6366669772,16139.754717817,16860.0560195742
"BR-Sa1",6626.26950000001,0,4302.311,9725.01575800001,7766.5224795,15092.3646192,11752.3000004,15197.7339765605,10298.34049555,12543.939,14720.1693,14648.380305,10200.4030431666,14810.0135,20433.0405,18778.184,16953.495,11242.48,13071.4475,11112.0215,12278.094,13073.5155,17047.605,16471.3605,12714.974772375,10841.868,15026.401,10128.52395,16765.988,15799.262,11937.102,12933.9868732,12802.09115,16360.715047,14308.103,17302.5255,21496.528,22359.9405,14107.91,10536.8435,32085.9353698415,39763.5499999999,17826.7565,18104.9136,22465.274719034,10710.73138674,20557.238,18293.9605,10143.57236625,16348.041,23994.704,18165.7450938075,8816.287476,17669.4607865,8794.75249999999,28881.9985,20267.1875,14475.029,11462.3565,11725.79,9432.92199999997,11268.12,9085.734,8741.5085,7264.481394,14552.439,10522.02137,14378.7753015,11634.484275,10188.4115,24132.9455,15325.360672,13243.2928011,14348.1097104,14141.27421205,13502.7525,32978.41791,17608.3335,24182.26075,8411.30416,23442.12720055,14139.4905,9762.07122899999,29690.3755,29005.054,6985.13549999999,13053.3425,9917.314,11806.6030887155,17608.192,11700.3880923585,31763.8485,12369.574,19274.7415,32074.699,37388.876,23761.9185,41947.825459,16105.7435,7433.1695,18593.2101593982,21671.3926,26520.1630495,14818.9589287311,24355.257,22817.3235,8813.582,8274.73450000001,12940.6425,14030.027423066,13039.5999778425,27760.40599,30434.7882760001,9074.5350638745,9036.2927498555,10018.891110024,19764.588,26171.3198685712,10003.6845,27746.6040405,31316.926285,28912.07164,21466.3735,20429.825,25150.927,23894.5205980265,11347.4155965,11917.146141,57059.4696097,21448.2600000001,38606.477545,11907.26318,11623.97973054,12447.29039931,11310.4778995,17117.9355645,10267.884,11454.226,12063.24,36520.5205,13126.9913327445,13685.5921615,7113.89153738,14213.705,10273.4824525,11395.7716660435,14671.713742238,19586.3184492309,10654.0249066317,9672.47660757751,20349.4118621805,18486.2459378345,9321.2360465,9499.620827,9495.65479835,10307.41409675,9923.16368750001,10180.5634575,11057.142354682,21047.4040786735,18315.1930749505,17142.3350826875,26776.407,33070.714,39660.4,41619.945,9427.13499999999,23565.737981166,25299.22654727,8902.24350000002,13359.7365,14770.3685,19682.7735,19365.3925,9962.36722700001,16774.8403545,46579.9015,42669.5295,49821.3845,17604.875,15404.703,18524.965,27190.3874999999,25844.16075,32373.9654977915,23200.88640925,30961.230321,10602.3735,12529.6604895545,14274.2650917,26198.1215,30861.3017315,11323.7360145,10665.2579715,14484.06001475,16612.859694,10987.925803626,14139.266943,17174.08695,19368.52432,26793.67420595,47403.624205105,32477.090850625,13169.32,11955.9836847,10448.98925,27574.9736001045,34302.824083593,25113.1901569035,12474.245,13251.58548,16696.9915,14930.3003740124,21150.8732966093,12208.4692244742,10974.0988871991,14708.9242156401,15199.8813487759,14549.9787055652,9627.89499009779,13328.0365132374,11310.0778503195,15174.8202751064,11189.4481622719,14915.2568630446,11800.6754386354,28039.6505422955,8137.59736975364,11868.5803511313,16079.8814159204,23527.6513195473,9134.13521240498,33483.2177629817,17333.5261418425,11364.0725523143,22897.7520933202,12378.1368896583,27437.399988114,10800.0437917524,10608.6744959582,23084.800895804,13372.074267343,11329.8841281054,14179.0792144769,12742.3489463093,10636.659785095,18626.808903677,16453.1512612385
"BR-Sa3",5369.942,4302.311,0,10745.4184725,8677.29021199999,15289.9379966,10922.6281019,15318.869894984,9699.71515735001,11642.932,14724.93955,13944.029553,10433.7386448333,15021.58785,20584.524,18570.3555,16592.5505,11344.007,13256.458,11859.718,11873.088,13602.055,15707.299,15479.7265,12213.628578,11027.263,14359.6775,10544.3561,16239.007,14903.1795,11183.998,13213.7421567,12474.75835,15771.551541,13320.628,16957.7215,21495.2105,22166.924,14128.8585,9181.67799999999,29598.449148755,36995.126,17426.1757,18209.76565,21454.594090697,10715.51777049,19738.5045,17471.239,9907.60450375001,15856.262,21851.7169999999,17841.3626275185,9253.995586,17084.1935485,8799.85800000001,28122.0669999999,18427.2735,14257.739,12241.6915,12366.273,8645.88699999998,10715.328,9410.2905,9021.7475,7570.3379378,14238.934,11089.184175,14589.0667435,12316.577805,10286.553,23156.031,16974.793981,14371.2607571,15575.17962645,15716.28193355,10685.472,30876.049023,16089.8,24049.70625,9595.00721999999,23137.8660595,13458.343,10709.3279525,29231.3405,28488.6510000001,5733.534,12673.884,9859.74999999999,11981.1622441255,16519.8875,12180.9703111303,30141.4665,11964.358,18289.416,30516.79,35276.564,23819.93,41622.771444,16372.0825,5846.557,18523.4816064183,21036.3066,26264.316275,14447.1707014857,23907.3125,22259.0715,8543.181,8343.192,13068.1655,14938.8228894465,13159.331953834,26633.17442,28786.927062,9016.10580539101,8831.36658583751,10309.507754105,19135.4105,25112.1516543049,11656.054,25296.214318,29309.429855,28309.17508,20202.533,19625.8285,24680.019,21942.6740722255,11139.2243725,10831.77493,55847.1630243499,20560.7455,37329.4491950001,13187.083658,10227.206322295,11967.071185045,10091.270669,17054.1472205,10299.653,11411.598,11934.693,36182.1085,14042.599806085,12146.1599995,7342.934497774,13659.5225,10866.9988005,12002.1142866295,15717.9885144047,19132.8729191582,10296.2487665555,9699.60256828582,20328.2016687955,19901.4397850825,9669.100052,10613.9655985,10018.6644654,10409.0871435,10638.508041,10856.8900405,12329.812485031,22149.734961188,19240.039312923,17603.1197396185,25315.412,30006.796,36926.091,39998.1609999999,9524.082,22447.028774039,24202.986721915,9349.318,12959.7955,14432.2825,18793.566,19574.367,11234.7762425,17159.8083405,44857.1564999999,41062.6795,48653.724,17142.398,14512.518,18140.4765,25901.23,25501.97675,30885.107934508,23257.5137082501,29886.977761,11864.5985,11558.568547438,15067.3729789,24696.936,29866.3664435,11222.0650955,10965.7240445,15230.8672273333,17526.829053,11870.23945943,14321.368346,17450.40815,18317.86117,25845.9018941,46668.493220065,31333.19025408,10913.7325,12557.973833,10652.74625,24644.855473799,33026.173367147,22577.8244861634,12030.423,13499.749625,16710.4985,14217.3905833946,20028.7092028422,11682.1902470271,11365.7897410029,14268.5339498789,14711.8295003546,13757.25469357,11508.1850668992,14058.0575160335,10884.9035119916,13653.6229286011,12971.4808225165,15069.4020884914,11003.5811927742,26165.1904662094,8084.0691185762,12265.1755076517,15760.8734618976,22674.160381521,10189.7083393695,33513.7666512672,16881.8605262206,11439.8506643104,21142.8051945929,10553.8299957544,26429.5296960539,10933.8027817537,9613.2889818556,20355.1650305905,13260.4950066008,11640.386428466,14809.0052904327,13127.6602428075,11998.3211844057,18130.664080365,16923.0747978718
"CA-ARB",10513.6367775,9725.01575800001,10745.4184725,0,5107.57905650001,10232.682772,7704.0900773,15031.1911620745,6048.9669343,11356.578128,12405.866619,10586.834703,8360.31893783332,14794.8109845,17287.1950505,15948.9317385,14286.549847,8126.7807565,9555.09584450001,7629.346824,8964.79437450002,11650.5044435,14717.7619675,14144.1063135,10857.684398375,4484.029523,12037.9338025,4672.9138605,14970.985301,14056.0267785,9547.59811649999,8051.14810330001,6186.44200549999,13559.515982,12949.4385505,14936.988172,21888.304626,23035.0664445,15248.4164375,7864.5675335,34069.4197357,42143.4115585,19730.6567345,20432.7525675,24408.3654498275,4844.31144694,22746.045021,20314.382226,11020.48930275,12708.011059,25704.5437865,19909.090301687,8671.0545855,17047.059116,7578.8730665,29979.6328945001,21875.0225795,8715.61704650001,5834.283437,5391.1366915,9210.92487800001,10250.716184,6979.63701749999,7079.40109999999,8552.71101999999,9011.29895399999,5690.82401400001,9831.576245,5815.787246,5366.47885,25210.2012485,14930.275821,13069.9378469,13567.1411166,12006.31738675,15776.4854875,34052.7854595,18563.617331,27366.9253645,6532.07284049999,24966.8800723,13282.287862,6844.1838695,30663.7179145,30909.967903,10734.9902265,15047.2726415,9563.48537200002,6634.6684886115,16979.777887,4723.97400908025,33100.580756,10251.242586,21950.4931035,33716.591383,38199.3271675,22365.4200765,44576.046535,17317.786496,11825.341172,20495.3598544183,22706.076626,27665.1572355,11749.1361320416,24905.917428,24092.0597685,7790.71910699999,10018.7715645,8245.6015055,9961.51539217999,8267.17931012801,29708.1090585,32160.9417215,13155.326561296,11703.0198740415,13929.5195906995,21770.758336,28130.8895800382,7704.20561399999,29074.0221115001,32412.128815,28473.420165,19342.169059,16994.564977,23875.2061045,22837.63614555,14046.055465,14887.956253,59295.48020765,19133.9100685,40015.532065,11058.824022,12997.256067905,14422.570292925,12663.5423565,19793.8793295,9009.28943150001,9720.92847100001,11003.8076755,39273.0349805001,13079.658082327,15922.033635,6172.2382621825,12681.5117875,4767.78043900001,10940.5156619009,13894.3705656717,16694.1862785936,7664.54074167124,8494.63952225987,19414.813059588,13340.9786955525,6988.0846605,7296.7604755,6200.27888125,10450.01918525,6038.832712,7079.9130505,5189.0419740985,15168.409257446,15500.390171809,15899.99568481,28405.0927955,34382.464672,40078.5773585,42671.4783829999,12268.812549,25457.792749008,27081.968832,8638.400551,17001.9194895,17648.5478,21282.537346,20804.338603,8528.17400500001,16339.9327945,48696.484803,46450.293855,52163.7383490001,20106.0455975,17666.162584,20815.4834015,29439.212727,28477.7027935,33933.239387287,23461.9398485,32896.6192775,6668.8239025,13135.267324467,14004.5784323,27466.9982025,30684.7382620001,13342.606233,11750.6688445,12653.8295200833,12369.380512,4417.029280866,13283.5903605,16267.751451,20585.2752965,29220.4392678,49341.687321655,34536.581527785,15823.118284,12473.5223348,6835.2100655,29524.026961737,36850.102002489,26670.0829310151,15843.3266995,10208.6207835,11760.498482,12741.598143076,23321.3986547176,13214.6919711117,5310.25786590771,15090.8496762263,18047.3743733504,15372.102188426,7784.99410275387,7595.31556963539,13954.1266587842,16856.5878356746,13058.8833305445,16547.0687748996,15237.6518349877,29586.589233776,10596.3221273188,15441.1368037392,15510.130160283,25724.7690084572,7644.54992642852,35797.6794976879,20452.5371967829,13905.0533946162,24011.0864173652,12730.9038915749,29621.1818992822,11176.9514893851,13385.6189140183,24212.832621053,8252.31879415679,11339.821866534,17365.3916494423,12135.1523658131,7540.7298920655,15650.388392694,16793.6896207556
"CA-ARF",9171.06297,7766.5224795,8677.29021199999,5107.57905650001,0,11054.6593416,9156.17308160001,14366.437409067,6973.09379345,11162.109183,11770.311768,10940.5211435,8825.98012633334,13629.8026755,17210.677478,15721.0956985,14256.9516095,8031.8478005,9950.879186,8233.52097600001,9118.34321000001,11549.398344,14535.315592,13999.9040925,10562.47749475,7487.649749,11849.9242055,6829.7610535,14897.8337185,14242.0364985,9270.506199,9405.04226920001,8742.41445399999,13144.231744,12129.6514805,14537.921186,19894.5126885,21176.1870575,13822.620082,8078.3985955,32004.220170896,41018.9642825,18015.5518505,18955.1318515,22976.7685363365,7009.93085519,20758.1030955,18561.320324,9740.61332825,14390.7949665,24388.9874305,17862.78857152,7682.64050000001,17078.5150325,8631.04615550001,28368.924762,21140.946275,10411.3283015,6444.9707885,7163.15376450001,10021.9546035,10698.958874,8897.54929499996,8582.24668800001,7408.49230495,10940.4971045,7439.3425505,11450.682606,7985.428944,7157.8772885,23408.5008215,13540.531213,11116.3637876,11619.1745333,11394.50674875,15897.631806,33573.4149465,17634.583088,25531.616451,5714.3680985,23141.98430315,12279.658739,8213.97349400001,29039.313548,29052.377068,8024.718232,15049.1981475,9565.64632750001,8706.70031811399,16334.6985525,6841.98646940751,31975.3319105,9961.469451,20166.412137,32245.3381975,37323.5595235001,22024.5895765,42897.50306925,16360.3810435,10085.6421215,18820.1934013083,20726.091327,26197.538695,11550.9963732354,23354.662728,22465.973326,8785.122438,10726.377045,9945.09110250001,11483.929927078,10304.6725800035,28048.2404195,30992.8217195,10893.9847367975,10275.0647016575,12763.9896840065,19827.0775365001,26256.3168129752,7801.465298,28037.7052825,31736.853747,27182.4829125,19376.774816,17332.221253,23434.512353,22425.292096941,13323.7943625,14435.693185,57637.0719412999,18253.8233635,38404.0759945,10717.13423,12413.187662995,12924.831658735,12680.4690625,17631.8129875,10161.833581,11205.2306005,12350.965809,37700.0788210001,13530.250679414,15040.698016,5337.75841496301,12284.7882285,6858.84053499999,9253.32343184156,12223.3186141108,16387.4700343941,8598.32540640689,7692.7336679832,17668.194886836,14301.9466549895,8400.086574,8148.8338945,7018.1251989,11101.95580875,8377.764037,8479.16676400001,7114.06126885551,16501.9268973205,14270.466351185,14139.74781988,26527.856957,33298.594456,38949.6313905,41541.029749,10628.247947,24009.822876056,25792.00485654,9465.51068100002,14462.05611,15745.49202,19864.2468305,18828.287418,9088.787091,15740.953673,47043.8761515,44794.3122865,50442.2789825,17815.7171895,16439.0810335,19192.9153685,27608.427431,26696.7697545,32468.1954346535,22018.76627075,31534.2349755,7297.504048,11885.1686973285,12765.1538972,26047.428214,30445.4052145,11779.9101265,11476.4942695,12700.84306125,14754.9639685,7285.068602232,12794.7890785,15755.426131,19931.277312,26884.37548045,47110.472470805,32954.13639463,15731.369287,11992.4854061,7005.4277985,28094.7096855395,34422.882789973,25561.3645120917,14252.735669,11565.8433895,13485.521211,12059.4062828097,21649.7838434253,12886.2746580676,7236.63208912417,13634.3151785383,17769.7143821324,13929.1569026261,8199.51637728627,9560.39112981925,13542.5374973176,16175.190858003,12175.890886676,15254.8441814948,14375.5271943376,28326.3657550449,9417.44536699019,14957.5998080569,14944.9891837019,23584.4817298413,7863.39597708651,33825.1224948494,18833.8599233411,13122.4623916848,23556.0022791978,11771.5142298897,27951.8899221409,11141.1269517466,11767.1386069202,23484.8532938119,10248.4462662854,10717.1142265013,16840.177998031,11595.9011760608,8155.06174321684,15350.4589605975,15606.0324933639
"CA-Ca1",13405.3301644,15092.3646192,15289.9379966,10232.682772,11054.6593416,0,7858.6944598,13122.69164009,8585.28888715,10612.0857534,9325.34609500001,7144.4551536,11700.9634607,11685.2933384,11494.8098642,11045.337705,10369.5706292,9627.71211419999,9516.07409,9434.3917292,9322.21517759998,12490.7256142,10402.3669434,10189.0168916,9580.70135647499,11158.2264142,9236.12805340001,9502.0752892,10904.8697292,11283.3136192,8843.0272416,8172.1820518,9386.63726920001,10098.485437,8536.28790659999,12902.6744592,14296.5367192,15117.1397566,12350.1082142,9869.5943642,24562.4891443675,32993.977595,18156.1963142,16046.2399416,16429.0232537265,10646.53174474,16268.8385466,14884.4388966,10019.83878485,21849.4373916,18704.2957692,15873.6643462855,12334.7821705,13385.9635512,11712.4914916,22352.2496642,15748.0064034,7929.28179000001,10055.4695466,12443.008045,10461.6517934,9491.50829340001,11342.4568116,12023.4301966,14992.408659,17868.8828466,13620.3604916,18786.4569715,8179.474895,10617.2912966,19065.4163692,11265.3081176,10621.1877894,11040.7429107,11353.27320615,15858.3760916,27828.6183492,12949.1526142,23132.7596692,11311.8321266,19140.26367205,10043.8342416,13422.8035721,20954.0023566,22953.2478142,14514.7969292,15628.7900416,17441.8877192,15376.00280338,14368.9173642,11199.2251151275,24294.1371434,8344.17200999999,17997.1481192,25429.2818384,29312.2079292,17508.4079208,34907.8499172,14967.4831966,15724.6462034,16315.9602833387,16815.4176192,23106.8285732,7126.42033172775,17620.3569642,17754.7335142,11868.6644434,13459.367095,16941.6440192,19001.507630453,17599.232143544,21254.5098442,24067.6271101,15443.34997375,13252.827510358,16146.5711026125,16287.5769692,21611.2491168581,13814.30121,22976.7988855,25422.072065,18526.2478092,11822.9211868,11348.7933708,14602.7652066,13889.68617253,15469.4353331,15033.0494792,47734.54457065,11994.2991918,29930.9792358,13158.6960572,14226.944303805,14266.222282025,14150.0249907,16636.3340237,10654.979095,10110.5997466,10837.167295,30944.6877692,14148.9271726815,14513.2081632,10497.2506722415,10206.3224292,12516.9389637,9023.6000415204,8683.02109781607,9419.33700035236,8496.82079976139,10791.3251431884,12212.809475122,9320.8045574025,12966.1460957,15156.95876,11421.445831,11358.3387454,13890.5539956,15297.1359394,12876.851366987,12426.8241233695,11995.662459657,10515.8642183275,19584.4422642,25959.94769,31357.6186144,31545.1508692,14915.6352192,17789.244441428,19150.327404425,11380.029095,14811.5487692,15518.1270416,17681.6591792,16643.3355792,17346.157022,11831.1820452,39585.1294192,37273.5733192,43093.6088416,17110.7411642,14879.1927384,16826.4136434,21605.4147158,21018.6993692,25742.448235285,16739.24706045,24560.1949362,11395.5812466,13136.8246838685,12358.6125672,19007.0829142,23847.0702931,14540.9937908,16602.5522676,17466.1592811833,16124.9561137,9632.42108520851,11360.5231362,12238.0593642,13675.1468842,21099.7592541,39261.40340236,25639.859436805,15715.5498466,12928.2194115,9870.10414339999,21797.7290363445,27199.054268677,20007.1583803058,15380.4691692,19822.6177992,7913.02792920001,8957.18590840709,17104.6063613075,14909.7493688086,10120.291675581,13557.2349342389,17657.4455105764,12011.0479284471,11903.350319505,8279.67125961219,15744.6136583068,14948.0233507713,15800.1253062474,14968.4558722552,16016.2282854708,21501.8686702143,12163.6433756639,16351.8856348639,11636.1245114734,19989.2214789014,9715.72678653049,27802.4134010812,17476.6823435851,14435.3698947284,16505.4065543012,10681.022878083,21336.097753561,12819.2148012911,14930.2506101426,17267.338032633,17147.3266779451,11337.5679058397,17494.5350891931,11764.6350626232,9374.53220502855,10113.1793742665,11982.6597095731
"CA-Ca2",8916.9674019,11752.3000004,10922.6281019,7704.0900773,9156.17308160001,7858.6944598,0,15816.404756392,4382.69042989999,10187.9838519,10873.0717902,7645.00433040001,8740.04188710001,14816.9523519,16368.8833019,15019.6994019,12745.2060019,8776.2223094,9518.37685189999,9276.3456019,8619.79300189998,13843.4467019,11500.2342019,11336.7410019,9635.634471525,6628.8559098,10601.2427519,5768.4028653,13207.3637019,12240.5694019,7702.86605190001,7783.5972661,5717.6423019,11581.5722709,10591.0411519,14619.1801019,19971.7096019,21263.8428019,15227.0204519,6069.08435190001,29442.3115883685,36126.8432519,20633.4110481,19253.5161519,21480.0217378985,6739.39000868,20648.5993019,18279.6768519,11254.44862865,15196.7965461,22477.6800018999,19654.6131844975,9911.01706390001,14660.3583679,9368.82580189999,27511.9802519,17852.0382519,8214.5762019,9209.85540190001,9949.78565189999,8010.85150489999,8908.85450190002,7614.89850490001,8412.64760489999,9927.7572864,12935.5543704,8915.2070519,13676.2854884,6789.99157190001,7304.56235040001,24010.7065019001,14508.3869834,13203.7361953,13974.33452705,12776.81863485,13028.1732519,30947.5837959,14574.5065019,26839.5618019,9299.25530190002,23810.90818665,11207.7924564,11324.7582014,28272.2564519,28857.7366481,11481.9331019,16300.6831519,13071.9639019,10250.163048995,16441.7162519,9016.13583506975,30218.8018019,7383.62075489998,20554.0310519,30472.5170004,34780.0541519,21623.1191519,41487.0226368999,16908.3804481,11918.8832519,20368.646645737,21380.9659481,28153.7414039,8741.69106159415,23267.4609481,22413.8250019,7925.3666402,11665.3715519,12390.4841019,16601.9464229275,12448.204189747,27474.6285669,29027.3547579,15257.2407601515,10972.020647288,16413.465864389,21106.0181019,25970.7036585864,12208.9433447,24654.4968064,29033.3589219,25662.0960369,14235.5606402,13105.8313019,21097.2281504,17336.0939519045,15882.9969794,14418.3567481,55832.5821072501,16101.5036519,37364.1226319,13019.8295289,13473.52065634,15559.234285025,13544.1983154,19994.9952079,9092.71535189999,9389.4785519,10427.0930519,37000.2974519,16328.0488093845,14771.1884784,7382.27111154051,11748.8040519,7868.6371649,10292.1301478211,12784.9589578333,13333.0889965779,6415.38538599659,8632.65007003745,17664.127926814,13366.4345682365,8529.76395890001,11462.5129013,8605.29189874999,10425.05160465,9736.12909520001,11057.7272204,11860.4909658105,15693.350887495,14970.0342813005,14926.064777361,25393.6265436,29279.0734019,35989.7689049,39384.3505049,14063.3830519,22614.070633558,23836.657265305,8364.31905040001,15996.2724019,17576.9340019,21147.6647019,21125.3787019,13070.8598992,15355.5988669,44953.2722481,42495.0933981,49111.6546019001,20291.1070019,17179.3437519,20203.3749019,27236.6567519,27180.4379019,31792.508352213,22129.0048494,30684.7285559,11058.8873019,12279.5130440005,15188.6752041,23537.9887549,29434.8756409,14174.2724964,14020.6738334,16370.9036029,14488.2518969,7363.457344307,13135.4902279,15517.2022819,17616.7910586,27177.85328245,46973.2539597701,32306.3213340649,14544.2666019,13527.7727903,7987.52495190001,25777.7734576255,34076.090666517,23313.7031565228,16276.0236936,13419.1575099,8169.4220962,9917.16517994915,21566.6893468595,14599.0139190341,7485.70730507191,15712.1323572694,18268.270836517,13684.7747936892,11458.7173916668,8184.08418342435,14974.3086079869,15252.2580741109,16514.5794167824,18527.036712475,15583.1755163731,25420.0677688991,10333.5237208635,16558.1935034717,13337.9229455791,24777.0830230756,8879.948247796,34690.9511802234,19855.2999915699,16208.6238434728,19948.8555433955,8780.02225043791,27568.838725046,12269.7163180595,15101.4531134702,18323.5482181535,12612.7068633776,12051.1364986392,18889.0802975783,13112.9241776027,9547.07724975053,13060.323929342,15428.4345927354
