"","BR-Sa3","CA-ARB","CA-ARF","CA-Ca1","CA-Ca2","CA-Cbo","CA-Let","CA-LP1","CA-MA1","CA-Na1","CA-NS1","CA-NS2","CA-NS3","CA-NS4","CA-NS6","CA-NS7","CA-Qcu","CA-Qfo","CA-SCC","CA-SF1","CA-SF2","CA-SF3","CA-TP1","CA-TP2","CA-TP3","CA-TP4","CA-TPD","MX-EMg","MX-Lpa","US-ADR","US-AR1","US-AR2","US-ARM","US-Aud","US-Bar","US-Bi1","US-Bi2","US-Bkg","US-Blk","US-Bn1","US-Bn2","US-Bn3","US-Bo1","US-Bo2","US-Br1","US-Br3","US-BRG","US-BZB","US-CaV","US-CF1","US-CF2","US-CF3","US-CF4","US-ChR","US-Cop","US-CPk","US-CRT","US-Ctn","US-Dia","US-Dk1","US-Dk2","US-Elm","US-Esm","US-Fcr","US-Fmf","US-FPe","US-FR2","US-FR3","US-Fuf","US-Fwf","US-GLE","US-HBK","US-Hn2","US-IB1","US-IB2","US-ICs","US-Ivo","US-Jo1","US-Jo2","US-KFS","US-KLS","US-Kon","US-KUT","US-Me2","US-Me3","US-Me4","US-Me5","US-Me6","US-MOz","US-MRf","US-MtB","US-NC1","US-NC2","US-NC3","US-NC4","US-Oho","US-ONA","US-Prr","US-Rms","US-Ro1","US-Ro4","US-Ro5","US-Ro6","US-Rpf","US-Rwf","US-SCd","US-SCg","US-SCs","US-SCw","US-SdH","US-SFP","US-Slt","US-Snd","US-Snf","US-SO2","US-SO3","US-SO4","US-SRC","US-SRG","US-SRM","US-SRS","US-Sta","US-Syv","US-Ton","US-Tw3","US-Uaf","US-UMB","US-UMd","US-Var","US-WBW","US-WCr","US-Wdn","US-Wlr","US-Wrc","US-xAB","US-xBL","US-xBR","US-xCL","US-xDC","US-xGR","US-xJE","US-xJR","US-xKA","US-xKZ","US-xMB","US-xML","US-xNG","US-xRN","US-xSE","US-xSJ","US-xSR","US-xST","US-xTA","US-xTE","US-xTR","US-xUK","US-xUN"
"US-Bo2",16689.9295,12545.1421265,9924.21607300009,2113.34325000001,4891.47075000001,701.203866749997,6995.14883333324,3662.21663000003,4802.86350000002,3143.24899999999,7481.14950000001,3871.65574999995,4115.82624999997,7637.65049999998,9869.05175,4513.81625000001,28342.8625000002,1387.0555,11769.22925,6763.54500000001,2386.252,3227.05350000001,977.930875,896.746200000001,2104.79410000002,1383.15655,672.955000000001,4958.76150234998,5636.69600000001,7112.95951243005,2848.31350000005,3052.095,7227.4399374999,2817.004,13813.6492499997,5092.62189900001,9104.38532300001,16868.323,2743.077,6390.35449999994,3624.56700000001,3171.581,12090.0320000001,0,5436.122,6026.91350000004,12193.7401249999,5589.18429999994,11298.2305,3240.18114575,2592.08734740002,4990.844325,3352.6697695,6960.51550000011,1247.77250000001,2839.10800000003,32494.9941649999,1962.766,4625.77650000001,10949.1410000001,11244.3120000002,83684.3360000004,42223.0709999998,8604.37670750007,4543.92400000003,2572.5765,3332.17000000002,4281.5905,6099.22650000001,3786.84000000003,3861.17209919048,1213.26549999999,4994.94706183245,19112.6030000002,25286.5529999998,13968.1901500001,13670.69829525,7035.99166666672,3415.24699999997,11636.927235105,20428.1792850002,13997.9275974999,2781.0145,3775.62891666667,873.787,2106.589,1302.467,1148.91244666666,16218.80276,9728.98749999998,2439.542,6710.17994999997,6670.11670000006,15344.0513500002,72964.4529999994,2341.90004813536,4606.38974149999,13072.411322,2542.38973725501,12479.22844,8732.34778,6576.493,4931.28099999997,3218.523494,3892.41109199747,6569.44199999998,1023.191,2413.50699999999,2775.172,1816.1725,4775.97349999996,3990.96749999998,20487.039,9633.91889400006,11444.3955,11425.3450000001,11498.7975,3004.55650000002,1547.106,5384.00043591505,1105.49821855,2582.478,6141.01377499998,5066.41400000004,5010.38475000001,15597.8351197403,2840.64074999999,2006.09349999999,2575.51754,4272.59799999999,17755.5356849999,1916.543,12284.684,6295.23200000006,6775.92991666668,4587.77991666667,2419.46166666667,11321.07425,5573.38858333334,3504.90583333332,4890.33466666667,1004.00858333333,5970.57391666667,9523.88216666667,1091.07608333333,20472.8630833334,2058.13645833333,2095.4985,8192.25358333326,1597.15458333334,6441.14483333333,12057.9410833332,1290.987625,3277.38499999998,2252.20991666667,15080.0238333336,4327.85224999999
"US-Br1",5499.80000000001,7875.29362875001,4681.15343950001,5112.07675,4915.33,6049.97731675,3282.27733333333,8296.44341999999,3881.025,4919.832,2843.48625,4760.03975000001,4626.23675,2160.10975,4121.7205,5847.888,14639.11,4550.44099999999,4148.92525,1492.9485,4294.00999999996,2698.37500000002,6989.737625,6548.93419999998,8214.4299,7484.99494999999,6013.07,11153.7283086,8920.83399999998,13156.4663129605,5112.4255,8827.94699999999,4474.51717916667,8062.02049999991,6683.34462500001,5608.012654,10210.002451,4535.3145,3233.3715,12032.384,3296.19149999999,3487.9405,4320.68899999998,5436.122,0,1001.3805,4477.215125,4083.9152,11811.1695,4491.78244125,5105.8573889,5669.29386999999,4978.2243565,4561.12,7369.75349999999,7777.294,18297.819825,4192.28249999999,4668.66950000001,9465.77050000001,9827.59799999999,68464.403,32348.7345,3987.530633,3652.785,2061.9635,5770.0315,3126.418,4668.45,4097.2375,3390.73444736905,5062.423,10588.6634789824,5610.00549999999,11454.2985,8531.86034999999,8379.02962750001,12794.3172083333,9168.198,6211.477383765,7001.4622075,5133.69021683001,3747.135,4741.66466666666,5797.8365,5081.99250000001,6053.39699999999,7386.46011841667,7533.12583999998,5980.19350000001,9160.52566666667,6798.07835000002,5897.51240000002,7272.64214999999,59550.0944999999,6187.23202744784,3115.71280050001,12651.3386465,4005.48523725499,5167.26802,2463.39366,1518.4415,3073.3145,3710.487744,3049.2534683425,12638.7925,5284.515,4087.0805,9348.01350000001,3360.63549999999,2530.328,9699.991,8768.8185,7814.3896535,17384.475,17357.9105,17431.584,8722.63650000001,7637.1053,11337.517991048,6361.038234,4642.7965,3740.81640000001,5827.88249999999,5004.07049999999,10151.74591409,8818.86165000002,8339.33899999999,4902.99655,4968.58200000004,4848.921115,3202.18349999999,11328.405,5581.899,2900.68275000001,4979.02650000001,4245.66183333334,4366.81025000001,4083.90311111111,4424.61475,4629.41308333332,4873.11466666668,4530.51875,3561.60916666667,7590.07075000001,7199.10899999999,2517.34345833334,5378.24033333333,5342.66291666666,7384.16291666666,12292.8910833333,4134.13325,4463.27766666666,3279.2945,4702.65683333334,7365.96116666667,3408.03791666666
"US-Br3",4581.91250000002,8737.48104524999,6444.63947599998,6001.54075000001,5692.96525,6824.96211675,2956.03499999999,10563.71392,3629.43499999999,7433.53300000003,2189.00675,6631.08,6227.25775,3093.28725,5288.96925,8152.8955,13834.9845,5651.04349999998,3363.65175,1845.9875,5779.47649999999,2760.6345,8069.702875,8048.4642,10312.4349,8999.42449999999,6878.28099999999,12895.445398,12752.5715,18006.460306691,4796.061,11706.927,4246.46977916667,9517.19299999996,6158.40629166667,5204.0179595,11496.200851,3476.5285,4789.48149999994,15160.0425000001,4243.5585,4294.25049999999,3945.29150000002,6026.91350000004,1001.3805,0,3427.376,6044.02729999999,10941.301,4760.18792325,5323.3662839,5576.426735,5331.71829249999,4190.50500000001,9162.399,9850.44949999998,18119.87786,5125.487,4957.918,9246.18099999998,9125.92599999999,67454.3439999997,31531.531,4659.8093395,2829.158,2148.48750000001,6973.34450000001,2898.588,4368.302,3317.2755,3058.82228025001,5313.11950000001,14711.7301725158,4918.16150000001,10864.932,9813.30765,9481.95692625,18119.0984861111,13638.369,5876.78445080501,6239.099985,4082.451088885,4172.8275,4522.63158333333,8008.5995,5716.739,7041.79250000003,9516.54951541667,6839.96585250001,5250.539,10818.5193333333,5090.3833,5590.9865,6148.4207,58565.0375000001,6290.18872234739,4254.21975899999,13512.9272255001,4373.408237255,4204.01232,2185.6726,1244.8815,4727.82799999999,4832.53349399999,2818.3132166575,17177.991,7764.4375,4708.36000000001,11080.1005,3431.8825,2074.489,13839.7185,8600.43099999999,6730.235122,22806.5724999999,22780.042,22853.7145,11761.5605,11296.757725,16610.138541048,8066.84567695,6404.838,3309.22983000001,5440.55350000001,4357.85899999999,11871.747730315,11629.34125,10552.1535,6993.55625999999,4150.12450000001,3929.18536,3582.33299999999,10783.9945,4768.482,2614.8165,3866.04133333333,4355.71416666668,3501.95208333334,3615.19644444445,4531.53149999998,4280.20866666667,7380.16216666669,4176.48183333333,2848.07675,9872.45008333333,6303.79958333333,2375.400875,5502.00483333333,4562.96858333333,10390.7641666667,17532.4155,3115.83891666667,4693.47061111111,3412.39258333333,4563.77433333332,6429.72200000001,3220.45008333333
"US-BRG",3759.40745833331,9670.32103958333,8727.37302133334,8088.46212499999,2868.21154166665,13928.8929584167,3443.39620833333,19203.2843783333,4969.988625,15097.4054583332,6749.76404166666,12253.912875,12936.740875,8587.64295833332,9767.189875,15483.7967083333,13715.9534166667,11408.936125,3170.63516666667,6313.56912500001,12433.9256250001,7873.97195833326,15469.4045,14966.5324916666,18374.2974416666,16938.9149583334,13581.848125,21634.60805365,22078.2207083333,25848.2993157231,5576.32187499998,19793.3292916666,1904.1513875,17889.5124583334,3106.12479166667,6975.95302533334,9834.60466816667,4261.80208333332,10437.897625,23746.6249583334,12618.2227916666,10351.428625,2230.225375,12193.7401249999,4477.215125,3427.376,0,13336.351375,5922.98779166667,5911.32371324998,8950.63738056668,3190.06373666666,5153.48862749999,1461.81662499999,16825.4174583334,18319.447375,17979.0813416666,10685.6822083333,7341.250375,4576.75295833334,4581.96745833333,69708.2797916663,27581.4487916666,10751.5786301667,3745.83104166667,7925.38579166662,12907.405875,5319.477375,4959.30729166667,3765.80612499998,5916.72757741667,9317.267125,22602.6256698491,4927.24679166666,10831.3167916667,15372.3988583333,14317.6473790833,25890.9292361111,21499.8492083333,4547.58661580499,6309.52683833334,2364.11501962167,7061.93962499999,4717.48670833331,13450.440875,10614.781625,13023.8984583333,16910.64483875,4152.95830333332,2689.57295833333,18639.503125,3221.61075833334,2345.08494999999,3667.21934166667,58052.2130416665,8895.37557522433,9006.12849899999,17705.2443568334,9547.46102892167,1829.347045,3733.097195,3329.66233333333,4878.44795833333,8403.07845233331,5126.06396449749,25051.3509583333,14635.8652083333,7397.161375,19194.6737916667,8097.50745833333,4496.38737500001,21711.8452083333,6124.94045833334,2663.12422166666,30490.3358750001,30476.419375,30549.720875,20077.5447083333,18854.8241916666,24219.6687827146,16323.19012145,13715.645125,2736.55799166666,7075.72879166665,4960.34420833333,19962.5690699,19755.2482083333,18456.126875,8600.54901833332,3347.81212500001,3717.64469166667,9378.05637499998,5868.17533333333,1830.56649999999,786.669666666669,3178.68458333335,7082.21587499999,1913.11620833333,1588.32191666667,3026.49512499998,1463.84879166666,14686.722375,2263.53408333333,972.363625000001,17234.4105416666,5532.48312500003,6378.32633333332,7097.18354166666,1600.80220833334,18044.690875,25247.5209583333,720.919041666665,7897.30383333332,6960.39154166664,7077.31062500001,3668.882875,1870.39979166666
"US-BZB",15374.91135,6715.27344425,5067.69630850003,8082.13150000001,10258.00215,5276.93223324999,9553.96659999999,3239.53003000001,8215.3723,2976.76495,6044.489325,4067.8284,3661.58275,2833.097775,2723.03205,2994.62075,20935.4737,3801.0422,11511.75365,3979.29629999999,4115.30109999999,4468.1191,5034.418875,3830.57200000001,3577.59255,3946.04445000001,5366.15824999999,4245.90760235,3009.22944999999,4502.065746364,10140.5161,3571.66535,10523.7953,4513.99394999998,16138.0825083333,9774.26279849999,13105.0994585,13108.6456,3902.85550000002,3148.01509999999,4252.44172499999,3583.97609999999,13230.01565,5589.18429999994,4083.9152,6044.02729999999,13336.351375,0,18550.5314,8368.35302524999,6890.70211639999,9269.790965,7997.76081700001,12957.6315,4089.9407,3607.3108,21535.107355,3720.61100000001,7573.08585000001,16867.02155,19576.5567,48112.5430499999,28321.0255499999,3648.0782395,8823.7013,4182.0588,5773.05940000001,10282.287,9819.82590000002,9244.01125000001,8808.42882202379,7594.16140000001,3126.56191373246,15759.70985,18781.7247,2826.183975,4705.8731375,4792.12770833333,3117.968375,15368.46909292,15469.2868775,15591.412352135,4211.81405000001,9692.23355,6579.74035,8025.77410000003,6601.72230000001,4965.60096625001,17582.846395,16200.576,3921.97238333333,14268.38785,13783.2211,17837.3973,43717.3785500001,7986.33970143984,4662.4246865,5369.68626700002,4766.63846274501,14048.764195,8261.91746000001,4023.39990000001,4547.58515000001,4267.74156100001,8437.73535013251,3954.58865,5048.4123,8310.76674999998,4709.55019999999,5986.05540000002,4804.95825,3940.76605000002,17630.8757,17560.6975455,8392.81845000002,8367.34195000001,8440.98345,3431.7859,4248.68755,4068.0000611845,4124.49768145001,3532.17609999999,10471.5195649999,9773.83935000001,11096.3409,3336.369397005,3732.92075000001,4025.54890000001,6501.63746499999,10856.5009499999,14961.473365,4085.4206,16134.6593,14294.7747,5181.70725833333,10934.7628333333,7841.10019999999,13454.74395,10648.6076944444,9605.22275000001,10902.1572,4169.48495,10814.9386166667,11459.1501,3860.42164999999,17426.3880166667,8133.94377500001,9365.19746666665,14568.4915833333,3492.72164999999,4171.76233333333,13865.42635,7728.16032499999,7895.38221666667,8987.48146666668,17910.999075,7489.85525000001
"US-CaV",3903.37149999999,8090.19135225,13695.469326,8772.99925,6035.68725000001,12717.32476675,7617.56600000001,18902.20842,8241.38149999999,19241.0214999999,9488.40349999999,18707.3375,19209.52475,16422.5532499999,15894.33125,20933.9545,8329.9465,13558.1885,8127.81175000002,13243.6905000001,16219.1740000001,13979.877,13168.012375,12796.0997,16256.5244,14757.5055000001,12512.5905,19435.69112225,22671.6744999999,23753.824681381,8137.0925,18084.0615,7604.21845000001,17486.6109999998,4219.32437500001,5223.43019800001,3604.8493455,6826.29249999999,16271.2249999999,22834.889,13238.7804999999,12093.4215,5445.26699999998,11298.2305,11811.1695,10941.301,5922.98779166667,18550.5314,0,6336.56878325,10815.0105639,6333.99816333335,7370.88546000001,4580.21400000001,15021.8665,17551.1185,5583.80285500001,14908.6145,9364.03050000001,2497.545,2286.583,51589.5120000001,14508.6525,14393.5873285,7362.60749999999,14284.2315,14320.1545,9663.62899999997,5483.4105,6823.742,10157.8854593571,10386.3965,22351.6479438824,5666.40800000001,5703.98449999998,19478.4348500001,17387.7080455,23868.9242916667,19573.0465,3209.90965774,4892.28199375,4340.54609144999,13407.918,7117.39991666667,11901.105,10991.4735,11990.962,14686.7126404166,3093.34372,3581.80600000001,16870.9631666667,4448.63205,3982.54990000001,3099.4385,41420.6274999998,9599.4690953834,12488.731404,15978.9700655,14775.388737255,4802.67054000001,9341.28040000001,10895.7235,12583.5255,16124.979744,9041.53494856751,23147.4564999999,12679.9805,7633.2015,17180.4465,12358.868,9401.478,19427.518,6663.7705,2906.145484,28169.225,28154.6625000001,28227.9829999999,18165.07,16541.163675,21909.250041048,14557.36941185,16855.377,7674.71607000002,6234.20100000001,4886.315,19310.681702035,17554.14275,16132.134,9203.75635999998,5976.4065,5944.851505,13451.744,1712.6735,4820.14250000001,5542.71183333333,5881.31549999998,9877.01483333334,5252.64924999999,5492.12000000001,6745.58533333333,5322.31299999999,14668.7928333333,6991.31991666666,5595.9255,15033.8229166666,4420.52616666667,7494.12995833333,8315.76758333334,4093.37483333333,16562.3701666667,23117.0055833334,4983.20700000001,8301.36183333332,11289.8555,9246.031,3325.47083333333,5415.93875
"US-CF1",7313.80345324998,8317.21270375001,9727.26951175,2417.65983825,1286.01538325,4040.8054815,4682.30686658333,7028.25154975003,4080.40411825,7423.31861174997,6657.82683325,7025.94789875001,7641.89675875,8251.85860374999,9901.02011725,8326.55900825001,20034.12519825,3871.73045774999,7155.94415325001,6541.75578825003,6204.81621324999,5748.40671725,4357.89513825,3814.71223175,5244.48379625002,4668.36162174999,3339.06300375001,4832.66557375,7523.96617949999,7192.55136236901,3437.21398825,5647.87588625,4627.35419241667,5373.02181374996,6746.60521325,2162.17618925,4767.91925025,9280.14852324999,5934.82425325001,7427.71043125005,6489.81880775001,6170.21930824999,5786.51092824998,3240.18114575,4491.78244125,4760.18792325,5911.32371324998,8368.35302524999,6336.56878325,0,1972.0603819,2675.70829158334,1743.22647825,3280.94835325,4356.53078275001,6128.68621625,24752.78961325,4991.92801675001,1898.4770485,6353.48548825001,6052.47998825,74136.70285825,34237.43320825,9177.94171324999,3799.67165825,4741.42081424999,4034.46986825,2868.23528025,4031.27375325,1976.66195825,4690.39606503572,3850.33567825,6929.44458889912,10665.69032325,16332.45620825,14805.43728325,13613.30778275,7299.68027916666,5906.16473324999,5525.662212455,11740.04493325,6078.234434625,5134.43819225001,1657.88696025,2894.40918325,3224.74252125,3341.48639524999,3691.486467,8221.23377825,4156.18249325,4860.81130925,3313.73999325,3123.06145325,6898.10672825,62978.81900825,4446.50947746504,4508.62243575,14916.63287775,3931.612097795,5742.81314825,6392.82482825001,5624.55835825001,5733.29529325,5300.15730175001,2466.620416408,7049.75970525002,3627.73630225001,2246.83997325,4746.52822424999,4649.34239824999,4857.74107825001,6792.44109375002,12567.25293325,4590.69493975,10730.79462925,10716.3681292499,10789.68462925,5715.54773425001,4047.63917124999,6397.679904199,4405.25408259999,6145.84199325,4414.83254324999,1710.86146425,1933.74536825,15786.34673585,5497.47231525,4649.92058975001,1305.61124775,1466.57648824999,9413.87620324999,4612.90656425,5906.39982825001,2795.67989825,2352.85299008333,1933.86736991666,4707.19884825,4527.73848658332,2585.33769825,2514.55343491667,2752.68242658334,4233.74323208334,4336.81461658334,4988.40631325,3652.25446425,10503.9965715834,1882.07944325,2539.61291991667,3368.57228991667,4244.13248875001,6817.17796975001,4993.71967824999,2567.99964436111,2708.55220425,3778.54323325,7147.35850825,2930.72178325
"US-CF2",12461.2742288999,11061.1014564,8141.31557739997,2263.6827984,2886.0272654,2923.95242315001,6494.11996056666,5027.16336840002,5186.6833289,4977.8835584,8146.39238389998,5050.5220229,5460.25257290001,8267.67320690001,9243.8520144,5739.9765104,26108.8331389,2640.1329224,8894.61610889998,6501.2628239,4327.47274339998,4988.00350989998,3122.1882794,2556.8644549,3546.20093990001,2964.86727740001,2426.2378779,3327.82925965,5331.94576524999,5534.21942300751,3530.4101589,4076.53083739999,5727.9745414,3507.31222540002,11147.9479872333,4078.4479849,7063.76013940001,13685.3340389,4177.5233434,5815.4838754,4864.7495929,4688.3145929,9957.89603389993,2592.08734740002,5105.8573889,5323.3662839,8950.63738056668,6890.70211639999,10815.0105639,1972.0603819,0,4193.4641289,2503.0532799,6034.16837889999,2605.76478790001,4321.7661319,31735.7245739,2862.1974619,2103.1977869,10110.6105939,10258.2146539,79696.7215189,42427.0493189,9030.8917519,4701.1175889,3424.37885705,2848.4065579,2242.4253204,5312.3868989,2762.6307354,4357.68632289999,3125.0325789,4697.57901228332,16656.9269989,22848.1936389001,14613.5102382333,13889.4857964,5181.08101350556,3713.8148299,10383.34285827,17678.8905989,10713.22370437,3543.4754514,2345.0455719,2157.8688134,2012.78086640001,2061.79514690001,2277.24216548333,13352.8256439,8251.9831439,2814.43891123333,5910.24470390001,6479.54085889997,11850.1304739,69276.9285688998,4294.63048194896,2943.99836885,15060.1005419,1746.976317605,9182.2894989,7839.1583489,5998.95830890001,4587.5628989,3849.21233965001,2526.2071237535,5459.72804289998,2192.8669229,2774.2315889,3106.9250859,3397.65407890001,4428.2272289,4484.9525719,19198.9507939,8086.8399484,7821.73320234997,7806.28470234999,7879.72620235002,3704.5142649,2155.3444317,4634.939058373,3047.5571213,4240.6168394,5674.28793889999,3451.11488690001,4144.7124444,15591.396875995,3938.3873254,3073.0282584,1450.1470539,2873.64243290002,14714.3276539,2865.0940619,11031.5455339,5531.60099389999,6230.25972471667,3794.8060039,4418.27300056668,8498.35591556667,3973.14156223333,3158.73835723334,4728.4214339,2716.30316156667,5544.65710723333,6964.12756889999,2192.1528969,16590.5888305667,2087.72027656666,2568.2863039,6514.07632223333,2821.44714623333,5165.4283259,8858.36493889999,2453.97931334443,1823.44799823334,3382.50319056666,11715.0313872333,3961.47598223334
"US-CF3",6577.52212166668,8553.06508566666,8062.01984899998,2464.36995333334,2019.00922333333,5710.26045674999,4038.12299166667,9242.23631499998,3929.90129666667,7106.25471999998,7487.30254,7429.59648,7583.51779166667,8868.09528666666,10406.759655,8045.63818,18327.512105,5362.18064499999,5263.64142,8053.76564500001,6403.72928500003,6629.02797166675,5564.50010500001,5501.162615,7462.39910499996,6479.10818499998,5541.43070999999,10452.8910695,9357.84190000001,11785.5424532775,2876.88675666667,8901.46736500001,2586.96179916667,8652.34182500012,5259.31980333333,3149.31193433333,7592.57357183333,7775.88467,6282.74601833343,11792.1267950001,7471.55800500002,7096.96318833336,4393.76633499998,4990.844325,5669.29386999999,5576.426735,3190.06373666666,9269.790965,6333.99816333335,2675.70829158334,4193.4641289,0,1858.54263,2215.29247833333,6853.51585999999,8477.49395500001,22699.69562,5821.06401166667,3523.95990166666,5285.65402666665,5557.88489,74067.1028149999,32169.476975,10834.8166545,3188.38515166667,5583.86353166667,6703.201715,3450.20828166666,4062.29927166667,2394.99322166666,4008.33794382143,3621.65807,10330.8914593175,9432.31879500002,15227.511005,15078.131305,13773.1598554166,10064.39398,10150.17933,5541.09685677001,10637.281285,4760.436608345,4813.99249499999,2170.61022333333,5061.46707,3681.28795666666,4771.42894,6710.16545724998,6917.56063583331,3695.94754166667,8152.05281666668,3189.96864833334,2656.292765,6029.52111833333,62309.25659,3844.00348214304,5713.29459066667,15407.351421,6069.501422745,4140.10855,5352.08370166667,5488.948145,5092.20543166668,5700.3642975,2703.54111619251,12176.188005,5160.73259,1780.38366333334,8350.23471499998,4621.16135666667,5001.31322,10391.792775,10497.366425,3572.18169900001,12131.546165,12118.312665,12119.410665,9080.17869000001,8137.874695,10845.171173952,6258.64539759998,6795.86837,2612.42330333333,4178.40141499999,2658.21864833333,15737.335781135,8580.11033999998,7316.69068,3778.09513666666,1467.70237333334,8153.53771500001,5692.6427,6888.95999500002,2097.881885,1936.42646333333,2276.05858,3735.59883166667,3509.52756333333,1767.91714833333,1572.708095,1491.163285,6345.623115,2324.63157333333,2636.23287999999,6820.39102666666,9781.73321000002,2454.24681833334,2247.72395333333,2483.108405,8139.91337166668,11342.272185,3135.1865,2318.39484499999,3467.75701666666,2943.04863666667,5864.54418666667,1933.32132666667
"US-CF4",8507.97809250007,9546.95625250001,9134.81032249995,1860.8938225,1317.4397605,3928.94185275,4520.3587875,6999.92538099999,4156.2968875,5920.9081465,7303.67410750002,5998.540137,6021.43283149999,8917.0707525,10394.3825625,6313.40007283332,21206.2403825,4097.21763650001,6594.91354499999,7357.67865649993,5463.55600850001,5955.57240699999,4393.17916199998,3713.946687,5734.25037299998,5091.952819,3427.44456249999,6333.86872179999,7059.027243,9141.29574046399,2665.1335975,6293.69455349999,2961.03429583334,5717.00491949999,6655.03911083333,3267.22444799999,6880.9508255,10513.0087075,5811.19383100004,7929.74722750001,6512.65445400002,6975.68450400002,5554.21991249999,3352.6697695,4978.2243565,5331.71829249999,5153.48862749999,7997.76081700001,7370.88546000001,1743.22647825,2503.0532799,1858.54263,0,2645.50873,5095.682896,6660.04755450001,25736.8176825,4706.36794699999,2501.6493975,6029.99546249999,6074.10681750001,76348.7226225003,35148.7314375,11141.088787,3389.56855750001,5038.22716950001,4591.9510505,3037.7198565,4432.93979999999,1981.62633,4208.02033465476,2738.0615325,8368.86045368245,11976.2240625,17819.6940425,15742.5565561666,14622.622146,8103.23309722223,6268.93482949998,6340.537139625,13151.6282625,6413.15294705999,4833.392195,1368.2907565,2598.5781685,2807.22700949999,2949.5477815,4404.29660341666,8978.84038250004,4251.6398,5259.44815466669,3398.6162175,3052.29502000001,7467.7295,64715.2594775001,3054.82630683024,4589.4730955,14979.0340515,4214.701255255,5388.783355,5899.1793725,5434.73202750001,5590.86879249999,5329.09449,2405.054951293,8626.02652849996,2669.06323600001,2060.47590999999,4901.358294,4621.83888249998,4986.82563,6718.64767599996,13357.5867175,4530.38732,10194.5878725,10181.3543725,10182.4523725,6115.7145145,4398.388951,7747.038392548,4864.34840679998,5377.3852035,3165.50145250001,2566.730323,2637.7197995,15548.85131644,6061.80321200001,5372.66371750001,1894.487909,1454.9386445,10522.3190675,4565.413271,7818.59883499997,2580.744275,3042.98323,1825.59226250001,3042.1752375,4675.03458749998,2262.40120166667,1941.33356750001,2489.50021166666,4094.13788650001,3128.11530750001,3900.76733000001,3872.44303366666,12183.1618108334,1831.13373066666,1884.30539233333,3362.43182,4984.01379166666,8621.49221249999,4696.11216666667,1789.61917066666,2280.95908433334,2554.18362083334,7505.28132,2419.94052416666
"US-ChR",2988.40250000001,8202.4266215,7971.58444150002,4344.55825,1674.93675,8768.43816675002,2253.16400000001,14935.44842,3735.3005,11875.2355,5615.82074999999,10114.62675,11432.01225,8713.29224999999,9455.33075000001,12842.6845,12791.647,8022.09350000002,3226.99875,6566.82600000001,9805.06200000006,6872.53450000002,9630.779375,9154.94070000002,12705.0904,11205.4215,8366.9555,16479.44581345,18671.2235,20212.9936577075,3180.3035,14369.57,1583.60719166667,13624.9700000002,2593.86070833333,3781.20746,7919.73298049999,3883.85500000001,9508.68100000011,19066.1049999999,9717.32350000003,9341.77450000001,1412.918,6960.51550000011,4561.12,4190.50500000001,1461.81662499999,12957.6315,4580.21400000001,3280.94835325,6034.16837889999,2215.29247833333,2645.50873,0,11328.229,13708.3565,16978.96789,7812.6365,5182.88150000001,3541.006,3456.998,68448.4704999997,27109.0645000001,10621.1387235,2772.8405,7556.93049999999,9577.588,4348.787,3864.84699999999,1597.831,4377.89145919048,5489.31049999999,17573.5241191325,4159.5275,9790.42350000003,15359.84615,13684.8631707499,20199.3660138889,15785.381,2627.08664618499,5597.90955625001,1794.066833865,5454.105,2672.49475,7701.54450000001,7175.92499999999,7970.07050000001,11203.7784004167,3676.69253750001,1176.812,13185.6031666667,1813.03395,795.664299999996,2940.34335,57119.9425000001,4067.4006708792,6643.25918400001,15462.43445,8025.62973725499,1928.30742,3494.96843999999,4233.8325,4483.4125,7286.694244,2955.3393930575,19588.4324999999,8772.84250000001,3654.098,13816.7255,6291.10449999999,4604.195,15861.235,5768.736,2020.8097495,24633.681,24617.4525000001,24690.8219999999,14356.6725,13024.16495,18381.600141048,10711.27205765,10632.958,1806.453335,3991.1615,2696.768,17166.368850685,14005.75875,12601.51,5536.80756,1610.8155,3384.75556,6922.2835,4897.313,814.8615,875.175916666666,1171.54058333333,4120.86658333333,1298.7085,1184.9855,1855.814,1024.85275,9810.48733333335,1824.04575,1199.22008333334,11590.2505833333,4798.78083333333,3204.506875,3439.29741666667,1127.5895,12452.56025,19571.72625,997.929499999998,3810.624875,4624.90266666666,3768.06533333333,3033.79374999999,1461.52208333333
