Site_ID,Variable,Start_Date,Height,Instrument_Model,Instrument_Model2,Comment,BASE_Version
CA-Cbo,W_U_COV_UNROT,,33,,,,2-5
CA-Cbo,W_V_COV_UNROT,,33,,,,2-5
CA-Cha,TA_1_1_1,,18,,,,1-5
CA-Cha,SW_IN,,15,,,,1-5
CA-Cha,TA_1_3_1,,13.4,,,,1-5
CA-Cha,TA_1_2_1,,16.2,,,,1-5
CA-Cha,TA_1_5_1,,2.5,,,,1-5
CA-Cha,TA_1_4_1,,6.9,,,,1-5
CA-Cha,RH_1_2_1,,13.4,,,,1-5
CA-Cha,RH_1_1_1,,16.2,,,,1-5
CA-Cha,RH_1_4_1,,2.5,,,,1-5
CA-Cha,RH_1_3_1,,6.9,,,,1-5
CA-Cha,PPFD_IN,,15,,,,1-5
CA-Cha,NETRAD,,15,,,,1-5
CA-Cha,TS_1_3_1,,-0.1,,,,1-5
CA-Cha,TS_1_4_1,,-0.2,,,,1-5
CA-Cha,TS_1_1_1,,-0.02,,,,1-5
CA-Cha,TS_1_5_1,,-0.5,,,,1-5
CA-Cha,TS_1_2_1,,-0.05,,,,1-5
CA-Cha,SWC_1_2_1,,-0.1,,,,1-5
CA-Cha,SWC_1_3_1,,-0.2,,,,1-5
CA-Cha,SWC_1_4_1,,-0.5,,,,1-5
CA-Cha,SWC_1_1_1,,-0.05,,,,1-5
CA-Cha,SWC_2_2_1,,-0.1,,,,1-5
CA-Cha,SWC_2_3_1,,-0.2,,,,1-5
CA-Cha,SWC_2_4_1,,-0.5,,,,1-5
CA-Cha,SWC_2_1_1,,-0.05,,,,1-5
CA-Cha,PA,,1.5,,,,1-5
CA-Cha,SW_OUT,,15,,,,1-5
CA-Cha,WD,,21,,,,1-5
CA-Cha,WS,,21,,,,1-5
CA-Gro,CO2_1_1_1,,43,GA-Other,,LI-7000 (IRGA) as part of the,2-5
CA-Gro,CO2_1_2_1,,42,GA-Other,,LI-6262 IRGA as part of the pr,2-5
CA-Gro,FC,,43,,,,2-5
CA-Gro,G_1_1_1,,-0,SOIL_H-Other,,HFT3 heat flux plates,2-5
CA-Gro,H,,43,,,,2-5
CA-Gro,H2O,,43,,,,2-5
CA-Gro,LE,,43,,,,2-5
CA-Gro,PPFD_IN_1_1_1,,37,RAD-Other,,LI-COR Quantum Sensor,2-5
CA-Gro,PPFD_DIF,,37,,,,2-5
CA-Gro,PPFD_OUT,,37,RAD-Other,,LI-COR LI-190 Quantum Sensor a,2-5
CA-Gro,PA,,1.6,,,,2-5
CA-Gro,SW_IN,,37,RAD-Other,,Kipp & Zonen CNR1 Net Radiometer,2-5
CA-Gro,LW_IN,,37,RAD-Other,,Kipp & Zonen CNR1 Net Radiometer,2-5
CA-Gro,LW_OUT,,37,RAD-Other,,Kipp & Zonen CNR1 Net Radiometer,2-5
CA-Gro,SW_OUT,,37,RAD-Other,,Kipp & Zonen CNR1 Net Radiometer,2-5
CA-Gro,RH_1_1_1,,43,RH-Other,,Vaisala HMP45C Temperature and RH Probe in MetOne Aspirated Radiation Shield,2-5
CA-Gro,NETRAD_1_1_1,,37,RAD-Other,,Kipp & Zonen CNR1 Net Radiometer above canopy,2-5
CA-Gro,SWC_1_1_1,,-0.15,,,,2-5
CA-Gro,SWC_1_2_1,,-0.3,,,,2-5
CA-Gro,TA_1_1_1,,43,TEMP-Other,,Vaisala HMP45C Temperature and RH Probe,2-5
CA-Gro,TS_1_1_1,,-0.02,TEMP-Other,,thermocouple in soil pit west of flux tower,2-5
CA-Gro,TS_1_2_1,,-0.05,TEMP-Other,,thermocouple in soil pit west of flux tower,2-5
CA-Gro,USTAR,,43,,,,2-5
CA-Gro,VPD_PI,,43,,,,2-5
CA-Gro,WD_1_1_1,,43,WIND-Other,,Young (05103) Wind Monitor above canopy,2-5
CA-Gro,WS_1_1_1,,43,WIND-Other,,Young (05103) Wind Monitor above canopy,2-5
CA-Let,TA_1_2_1,,1,,,,1-5
CA-Let,TA_1_2_2,,1,,,,1-5
CA-Let,TA_1_1_1,,5,,,,1-5
CA-Let,CO2,,6,,,,1-5
CA-Let,H2O,,6,,,,1-5
CA-Let,PPFD_IN,,3,,,,1-5
CA-Let,ET,,6,,,,1-5
CA-Let,LE,,6,,,,1-5
CA-Let,NEE_PI,,6,,,,1-5
CA-Let,NETRAD,,3,,,,1-5
CA-Let,RH,,1,,,,1-5
CA-Let,H,,6,,,,1-5
CA-Let,G_1_1_1,,-0.02,,,,1-5
CA-Let,G_1_1_2,,-0.02,,,,1-5
CA-Let,G_1_1_3,,-0.02,,,,1-5
CA-Let,G_1_1_4,,-0.02,,,,1-5
CA-Let,TS_1_4_1,,-0.16,,,,1-5
CA-Let,TS_1_1_1,,-0.02,,,,1-5
CA-Let,TS_1_5_1,,-0.32,,,,1-5
CA-Let,TS_1_2_1,,-0.04,,,,1-5
CA-Let,TS_1_3_1,,-0.08,,,,1-5
CA-Let,TS_2_4_1,,-0.16,,,,1-5
CA-Let,TS_2_1_1,,-0.02,,,,1-5
CA-Let,TS_2_5_1,,-0.32,,,,1-5
CA-Let,TS_2_2_1,,-0.04,,,,1-5
CA-Let,TS_2_3_1,,-0.08,,,,1-5
CA-Let,PPFD_OUT,,3,,,,1-5
CA-Let,SWC_3_1_1,,-0.075,,,,1-5
CA-Let,SWC_4_1_1,,-0.075,,,,1-5
CA-Let,SWC_5_1_1,,-0.075,,,,1-5
CA-Let,SWC_6_1_1,,-0.075,,,,1-5
CA-Let,SWC_1_1_1,,-0.15,,,,1-5
CA-Let,SWC_2_1_1,,-0.15,,,,1-5
CA-Let,SWC_1_2_1,,-0.3,,,,1-5
CA-Let,SWC_2_2_1,,-0.3,,,,1-5
CA-Let,WD,,6,,,,1-5
CA-Let,WS,,6,,,,1-5
CA-Man,CO2_1,,29,,,,2-1
CA-Man,FC,,29,,,,2-1
CA-Man,H,,29,,,,2-1
CA-Man,H2O,,29,,,,2-1
CA-Man,LE,,29,,,,2-1
CA-Man,PPFD_IN,,30,,,,2-1
CA-Man,NETRAD,,30,,,,2-1
CA-Man,TA,,30,,,,2-1
CA-Man,USTAR,,29,,,,2-1
CA-Man,WD,,29,,,,2-1
CA-Man,WS,,29,,,,2-1
CA-Man,TS_1,,-0.05,,,,2-1
CA-Man,TS_2,,-0.1,,,,2-1
CA-Na1,PPFD_IN_1_1_1,,14.5,,,,1-5
CA-Na1,CO2_1_1_1,,15.12,,,,1-5
CA-Na1,CO2_1_2_1,,13.92,,,,1-5
CA-Na1,TA_1_1_1,,18,,,,1-5
CA-Na1,PPFD_DIF,,14.5,,,,1-5
CA-Na1,CO2_1_3_1,,10.42,,,,1-5
CA-Na1,CO2_1_4_1,,7.55,,,,1-5
CA-Na1,LW_IN,,15.8,,,,1-5
CA-Na1,SW_IN,,15.8,,,,1-5
CA-Na1,NETRAD,,15.8,,,,1-5
CA-Na1,TA_1_3_1,,13.4,,,,1-5
CA-Na1,TA_1_2_1,,16.2,,,,1-5
CA-Na1,TA_1_6_1,,3.4,,,,1-5
CA-Na1,TA_1_5_1,,5.4,,,,1-5
CA-Na1,TA_1_4_1,,6.9,,,,1-5
CA-Na1,RH_1_2_1,,13.4,,,,1-5
CA-Na1,RH_1_1_1,,16.2,,,,1-5
CA-Na1,RH_1_5_1,,3.4,,,,1-5
CA-Na1,RH_1_4_1,,5.4,,,,1-5
CA-Na1,RH_1_3_1,,6.9,,,,1-5
CA-Na1,PPFD_IN_1_1_2,,14.5,,,,1-5
CA-Na1,PPFD_IN_1_2_1,,3.4,,,,1-5
CA-Na1,PPFD_OUT,,14.5,,,,1-5
CA-Na1,TA_1_1_2,,18,,,,1-5
CA-Na1,D_SNOW,,1.8,,,,1-5
CA-Na1,G_1_1_1,,-0.1,,,,1-5
CA-Na1,G_2_1_1,,-0.1,,,,1-5
CA-Na1,G_3_1_1,,-0.1,,,,1-5
CA-Na1,TS_1_3_1,,-0.1,,,,1-5
CA-Na1,TS_1_4_1,,-0.2,,,,1-5
CA-Na1,TS_1_1_1,,-0.02,,,,1-5
CA-Na1,TS_1_5_1,,-0.5,,,,1-5
CA-Na1,TS_1_2_1,,-0.05,,,,1-5
CA-Na1,TS_1_6_1,,-0.65,,,,1-5
CA-Na1,SWC_1_1_1,,-0.05,,,,1-5
CA-Na1,SWC_1_2_1,,-0.1,,,,1-5
CA-Na1,SWC_1_3_1,,-0.2,,,,1-5
CA-Na1,SWC_1_4_1,,-0.5,,,,1-5
CA-Na1,SWC_2_2_1,,-0.1,,,,1-5
CA-Na1,SWC_2_3_1,,-0.2,,,,1-5
CA-Na1,SWC_2_1_1,,-0.05,,,,1-5
CA-Na1,PA,,1.5,,,,1-5
CA-Na1,P_RAIN,,21,,,,1-5
CA-Na1,T_BOLE_2_1_1,,1.3,,,,1-5
CA-Na1,T_BOLE_3_1_1,,1.3,,,,1-5
CA-Na1,T_BOLE_1_1_1,,1.3,,,,1-5
CA-Na1,LW_OUT,,15.8,,,,1-5
CA-Na1,SW_OUT,,15.8,,,,1-5
CA-Na1,WD,,21,,,,1-5
CA-Na1,WS,,21,,,,1-5
CA-NS1,CO2,,24,,,,3-5
CA-NS1,FC,,24,,,,3-5
CA-NS1,H,,24,,,,3-5
CA-NS1,LE,,24,,,,3-5
CA-NS1,SW_IN,,24,,,,3-5
CA-NS1,NETRAD,,24,,,,3-5
CA-NS1,SWC,,-0.32,,,,3-5
CA-NS1,TA_1_1_1,,24,TEMP-Other,,Vasaila Relative Humidity/ Temperature Probe,3-5
CA-NS1,TS_1_1_1,,-0,,,,3-5
CA-NS1,TS_1_2_1,,-0.07,,,,3-5
CA-NS1,WS,,24,,,,3-5
CA-NS2,CO2,,20,,,,3-5
CA-NS2,FC,,20,,,,3-5
CA-NS2,H,,20,,,,3-5
CA-NS2,LE,,20,,,,3-5
CA-NS2,SWC_1_1_1,,-0.18,,,,3-5
CA-NS2,SWC_1_2_1,,-0.28,,,,3-5
CA-NS2,TA_1_1_1,,,TEMP-Other,,Vasaila Relative Humidity/ Temperature Probe,3-5
CA-NS2,TS_1_1_1,,-0,,,,3-5
CA-NS2,TS_1_2_1,,-0.06,,,,3-5
CA-NS2,WS,,20,,,,3-5
CA-NS3,CO2,,10,,,,3-5
CA-NS3,FC,,10,,,,3-5
CA-NS3,H,,10,,,,3-5
CA-NS3,LE,,10,,,,3-5
CA-NS3,SWC_1_1_1,,-0.05,,,,3-5
CA-NS3,SWC_1_2_1,,-0.1,,,,3-5
CA-NS3,TA_1_1_1,,,TEMP-Other,,Vasaila Relative Humidity/ Temperature Probe,3-5
CA-NS3,TS_1_1_1,,-0,,,,3-5
CA-NS3,TS_1_2_1,,-0.02,,,,3-5
CA-NS4,CO2,,10,,,,3-5
CA-NS4,FC,,10,,,,3-5
CA-NS4,H,,10,,,,3-5
CA-NS4,LE,,10,,,,3-5
CA-NS4,SWC_1_1_1,,-0.25,,,,3-5
CA-NS4,SWC_1_2_1,,-0.35,,,,3-5
CA-NS4,TA_1_1_1,,,TEMP-Other,,Vasaila Relative Humidity/ Temperature Probe,3-5
CA-NS5,SW_IN,,9,,,,3-5
CA-NS4,TS_1_1_1,,-0,,,,3-5
CA-NS4,TS_1_2_1,,-0.05,,,,3-5
CA-NS4,WS,,10,,,,3-5
CA-NS5,CO2,,9,,,,3-5
CA-NS5,FC,,9,,,,3-5
CA-NS5,H,,9,,,,3-5
CA-NS5,LE,,9,,,,3-5
CA-NS5,NETRAD,,9,,,,3-5
CA-NS5,SWC,,-0.09,,,,3-5
CA-NS5,TA_1_1_1,,9,TEMP-Other,,Vasaila Relative Humidity/ Temperature Probe,3-5
CA-NS5,TS_1_1_1,,-0,,,,3-5
