site,start,end,htower
FR-LBr,all,all,41
FR-Lq1,all,all,2
FR-Lq2,all,all,2
FR-Pue,all,all,12.2
GF-Guy,all,all,57
GH-Ank,all,all,50
HU-He1,all,all,82
ID-Pag,all,all,41
IE-Dri,all,all,3
IL-Yat,all,all,18.7
IT-Amp,all,all,4
IT-BCi,all,all,2
IT-Be1,all,all,3
IT-Be2,all,all,2
IT-Bon,all,all,25
IT-CA1,all,all,6.7
IT-CA2,all,all,3.2
IT-CA3,all,all,5.5
IT-Col,all,all,33
IT-Cp2,all,all,20
IT-Cpz,all,all,18
IT-Lav,all,all,36
IT-Lec,all,all,14
IT-LMa,all,all,26
IT-Mal,all,all,2.8
IT-MBo,all,all,2.5
IT-Neg,all,all,4.5
IT-Noe,all,all,3.5
IT-Non,all,all,15
IT-PT1,all,all,27.5
IT-Ren,all,all,32
IT-Ro1,all,all,18.5
IT-Ro2,all,all,20
IT-Ro3,all,all,4.5
IT-Ro4,all,all,4.5
IT-SRo,all,all,21.5
IT-Tol,all,all,21
IT-Tor,all,all,2.5
IT-VdA,all,all,6
JP-FHK,all,all,35
JP-Mas,all,all,3.1
JP-MBF,all,all,21.1
JP-MMF,all,all,31.6
JP-SMF,all,all,19
JP-Tak,all,all,25
JP-Tef,all,all,4.6
JP-Tom,all,all,27
KR-Kw1,all,all,40
KR-Kw2,all,all,40
KR-Seo,all,all,19.2
ML-AgG,all,all,4.2
ML-Kem,all,all,12
MX-Lpa,all,all,13
MY-PSO,all,all,54
NL-Ca1,all,all,5
NL-Hor,all,all,4.3
NL-Loo,all,all,27
NL-Mol,all,all,2.5
PL-Brd,all,all,4.7
PL-wet,all,all,4.85
RU-Cok,all,all,4.68
RU-Fyo,all,all,29
RU-Ha1,all,all,4.5
RU-Ha2,all,all,4.5
RU-Ha3,all,all,4.5
SD-Dem,all,all,9
SE-Fla,all,all,14
SE-Nor,all,all,35
TW-Chn,all,all,23.4
UG-Jin,all,all,6.5
UK-ESa,all,all,3
UK-Gri,all,all,25
US-Akn,all,all,25
US-AR1,all,all,2.84
US-AR2,all,all,2.95
US-ARb,all,all,3.45
US-ARc,all,all,4.05
US-Atq,all,all,2
US-Aud,all,all,4
US-Bar,all,all,30
US-Bkg,all,all,4
US-Blk,all,all,24
US-Blo,all,all,8.5
US-Bn1,all,all,9.5
US-Bn2,all,all,10
US-Bn3,all,all,7.8
US-Bo1,all,all,10
US-Bo2,all,all,10
US-Brw,all,all,3
US-CaV,all,all,4
US-Ced,all,all,15
US-ChR,all,all,43
US-Cop,all,200110070000,1.25
US-Cop,200110070000,all,1.85
US-Ctn,all,all,20
US-Dia,all,all,2.1
US-Dix,all,all,15.5
US-Esm,all,all,3
US-Fmf,all,all,23
